fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(5.089438509540927), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(11.236393308323596), np.float64(11.236393308323596), np.float64(11.236393308323596), np.float64(11.87257265225451)]","[np.float64(5.913166256526631), np.float64(5.913166256526631), np.float64(6.232102715746405), np.float64(6.589295439473952), np.float64(6.83606623569607), np.float64(6.900584323789238), np.float64(7.9835519682454645), np.float64(12.289384892858275), np.float64(14.484514081269994)]","[np.float64(19.83325863998673), np.float64(19.83325863998673), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(24.335922028297908), np.float64(24.335922028297908), np.float64(35.58644899229768)]"
1,"[np.float64(4.070367516975993), np.float64(4.274806729301081), np.float64(5.490338073722595), np.float64(7.038115035832141), np.float64(7.038115035832141), np.float64(7.5938096480441395), np.float64(9.998424377104895), np.float64(10.352169184430576), np.float64(11.647899664186669)]","[np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(8.822908174322993), np.float64(9.315358706156038)]","[np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586)]"
2,"[np.float64(3.306806670161977), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(5.779473449310087), np.float64(6.288524718646698), np.float64(10.509806807305226), np.float64(12.905529850664283)]","[np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(5.3262725701332245), np.float64(7.093562887651254), np.float64(7.093562887651254), np.float64(11.989536438083771)]","[np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(6.132844284560697), np.float64(6.353580859525398), np.float64(8.030279983868645), np.float64(8.030279983868645), np.float64(16.014465608317312)]"
3,"[np.float64(2.864911064067352), np.float64(4.513064181662056), np.float64(4.513064181662056), np.float64(4.513064181662056), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(8.092128459593779)]","[np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(9.11898004318365)]","[np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(5.176674090566041), np.float64(6.058265422847676), np.float64(8.424268259138973), np.float64(8.66615744820724), np.float64(8.66615744820724)]"
4,"[np.float64(4.732526648950187), np.float64(4.767503845437283), np.float64(4.80473100122548), np.float64(4.80473100122548), np.float64(4.80473100122548), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444)]","[np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(4.044850316130667), np.float64(4.044850316130667), np.float64(4.044850316130667), np.float64(4.139728250640135), np.float64(4.20298020697978)]","[np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453)]"
5,"[np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.585906297032504)]","[np.float64(3.830005363994425), np.float64(3.830005363994425), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.404992078783746), np.float64(4.404992078783746)]","[np.float64(3.809199420779914), np.float64(3.809199420779914), np.float64(4.616530886451707), np.float64(4.616530886451707), np.float64(4.616530886451707), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473)]"
6,"[np.float64(3.992242630356303), np.float64(3.992242630356303), np.float64(4.117556233632894), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(6.619370068540027)]","[np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.5361379171265126), np.float64(5.024060076579805)]","[np.float64(4.623953443745633), np.float64(4.623953443745633), np.float64(4.623953443745633), np.float64(5.082738228026389), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946)]"
7,"[np.float64(3.589561822268011), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.407337375772935), np.float64(4.407337375772935)]","[np.float64(2.4629568256597225), np.float64(2.4629568256597225), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(5.808087022479891)]","[np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.438842980853736)]"
