fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(2.0298844432830814)], [np.float64(2.352941842079163)], [np.float64(2.713914337158203)], [np.float64(2.888874807357788)], [np.float64(3.221309900283813)], [np.float64(3.904706392288208)], [np.float64(4.268281383514405)], [np.float64(4.897168154716493)], [np.float64(8.527224960327159)]]","[[np.float64(1.5271228112628026)], [np.float64(1.571307113749625)], [np.float64(1.6144129811615804)], [np.float64(1.635841134565854)], [np.float64(1.6727627783817265)], [np.float64(1.714744655958098)], [np.float64(1.7864216398066475)], [np.float64(1.8389867979959589)], [np.float64(2.253584190798467)]]","[[np.float64(1.7018584281797784)], [np.float64(1.7453052365029644)], [np.float64(1.7890273402572898)], [np.float64(1.8361325043355905)], [np.float64(1.910019369506526)], [np.float64(1.9738669997219775)], [np.float64(2.004484570127181)], [np.float64(2.064547471032367)], [np.float64(2.2595522461398803)]]"
1,"[[np.float64(1.7466248512268063)], [np.float64(2.038309478759766)], [np.float64(2.1599656534194946)], [np.float64(2.623295116424561)], [np.float64(2.93674578666687)], [np.float64(3.1514277839660645)], [np.float64(3.368653726577759)], [np.float64(3.803955888748169)], [np.float64(4.444848585128785)]]","[[np.float64(1.2313856658369107)], [np.float64(1.2455680531932878)], [np.float64(1.2551927701234316)], [np.float64(1.2638431756974946)], [np.float64(1.2750510640851789)], [np.float64(1.2856384123512683)], [np.float64(1.3039560454658106)], [np.float64(1.3401192634772945)], [np.float64(1.447537255433323)]]","[[np.float64(1.0297952519272242)], [np.float64(1.0369778021116707)], [np.float64(1.0453086309666209)], [np.float64(1.0507853981863222)], [np.float64(1.062896134746419)], [np.float64(1.0766703783526297)], [np.float64(1.0958661021617957)], [np.float64(1.1403416903202468)], [np.float64(1.2591715246253197)]]"
2,"[[np.float64(1.6893338155746462)], [np.float64(2.074890060424805)], [np.float64(2.6125503540039063)], [np.float64(2.8562264823913575)], [np.float64(3.310265636444092)], [np.float64(3.669698710441589)], [np.float64(4.109408292770386)], [np.float64(5.255772533416749)], [np.float64(24.601478481292805)]]","[[np.float64(1.2287571455453987)], [np.float64(1.2528647294250248)], [np.float64(1.2676209656559663)], [np.float64(1.2802280803888055)], [np.float64(1.2936352622868434)], [np.float64(1.3192934925111122)], [np.float64(1.3794572180055105)], [np.float64(1.5865339146244832)], [np.float64(2.089979397480437)]]","[[np.float64(1.0423221233848168)], [np.float64(1.054364283386132)], [np.float64(1.0680658500210298)], [np.float64(1.0798245128101007)], [np.float64(1.0942918933456847)], [np.float64(1.121274108410948)], [np.float64(1.175173422952908)], [np.float64(1.4504195300297464)], [np.float64(1.9314579869309179)]]"
3,"[[np.float64(1.726166272163391)], [np.float64(2.0339812707901)], [np.float64(2.398494381904602)], [np.float64(2.798606276512146)], [np.float64(2.921677350997925)], [np.float64(3.247895293235779)], [np.float64(3.7374290084838875)], [np.float64(4.714733219146729)], [np.float64(7.360510635375979)]]","[[np.float64(1.2093063920983589)], [np.float64(1.2262583975585524)], [np.float64(1.2357685982053883)], [np.float64(1.259523153492156)], [np.float64(1.2758840396727154)], [np.float64(1.3075316132021741)], [np.float64(1.3519056600726183)], [np.float64(1.4916614832586943)], [np.float64(1.7184984226051514)]]","[[np.float64(1.0656935535729626)], [np.float64(1.0755370616814839)], [np.float64(1.09484114180804)], [np.float64(1.1133089772485576)], [np.float64(1.1256144659019454)], [np.float64(1.169557904599223)], [np.float64(1.2510156701067543)], [np.float64(1.3323944217888324)], [np.float64(1.4839484044945497)]]"
4,"[[np.float64(1.572589282989502)], [np.float64(1.809793405532837)], [np.float64(1.9406747961044313)], [np.float64(2.1768512725830083)], [np.float64(2.374096345901489)], [np.float64(2.60194974899292)], [np.float64(2.803522081375123)], [np.float64(3.356655998229981)], [np.float64(4.277808227539064)]]","[[np.float64(1.1564049033429358)], [np.float64(1.1622519353170473)], [np.float64(1.17447939983415)], [np.float64(1.1849624902308042)], [np.float64(1.194916003764126)], [np.float64(1.2196691683564689)], [np.float64(1.2588226503219986)], [np.float64(1.3091654676466045)], [np.float64(1.4248499550901272)]]","[[np.float64(1.0397971471368923)], [np.float64(1.057769786563959)], [np.float64(1.0713512667837195)], [np.float64(1.080791001389795)], [np.float64(1.091901708973681)], [np.float64(1.1219783227270237)], [np.float64(1.1826897001721985)], [np.float64(1.2562227886481216)], [np.float64(1.4420773266287858)]]"
5,"[[np.float64(1.8962902641296389)], [np.float64(2.4482811212539675)], [np.float64(2.7665248489379883)], [np.float64(3.035694026947022)], [np.float64(3.2173319339752195)], [np.float64(3.629563550949097)], [np.float64(3.939645051956177)], [np.float64(4.500150032043457)], [np.float64(4.9601115703582765)]]","[[np.float64(1.1402607929919284)], [np.float64(1.16002539682165)], [np.float64(1.1778823378078307)], [np.float64(1.2007753247316495)], [np.float64(1.217681910132224)], [np.float64(1.251706855053776)], [np.float64(1.3127072889087652)], [np.float64(1.423113860968283)], [np.float64(1.54350804906584)]]","[[np.float64(0.9806912499256625)], [np.float64(0.9927701494715232)], [np.float64(1.0027618585770182)], [np.float64(1.007863256410025)], [np.float64(1.016078879260219)], [np.float64(1.0306371774736705)], [np.float64(1.051154094143958)], [np.float64(1.0564162427721404)], [np.float64(1.095505484396652)]]"
6,"[[np.float64(2.0153611278533936)], [np.float64(2.298321523666382)], [np.float64(2.5178985261917113)], [np.float64(2.7374391555786133)], [np.float64(2.8528023838996885)], [np.float64(3.005823974609375)], [np.float64(3.3897314429283143)], [np.float64(4.213427429199219)], [np.float64(5.549240899085999)]]","[[np.float64(1.1297057639931487)], [np.float64(1.1498626222523423)], [np.float64(1.1606672193514065)], [np.float64(1.1821179617684068)], [np.float64(1.2100442484557177)], [np.float64(1.2530791823044711)], [np.float64(1.2888923568046002)], [np.float64(1.3671306496292996)], [np.float64(1.5193126367870686)]]","[[np.float64(1.01248838877465)], [np.float64(1.0209521180561223)], [np.float64(1.0420779398930156)], [np.float64(1.055292540623619)], [np.float64(1.0670474679454625)], [np.float64(1.0830303261861403)], [np.float64(1.110141803451592)], [np.float64(1.147609175382136)], [np.float64(1.2254870681728194)]]"
7,"[[np.float64(2.1016792249679566)], [np.float64(2.4327781295776374)], [np.float64(2.952597944736481)], [np.float64(3.2677968978881835)], [np.float64(3.5197055697441098)], [np.float64(3.817828073501587)], [np.float64(4.281380159854889)], [np.float64(4.732992458343507)], [np.float64(12.557381858825675)]]","[[np.float64(1.2919340497328913)], [np.float64(1.3177085594612883)], [np.float64(1.3552786652508455)], [np.float64(1.3922536764752182)], [np.float64(1.4423741226896274)], [np.float64(1.5250479637748162)], [np.float64(1.574115174741824)], [np.float64(1.7067585620803207)], [np.float64(2.138558340286772)]]","[[np.float64(1.052230022944599)], [np.float64(1.0771349597594277)], [np.float64(1.0953102280969949)], [np.float64(1.1018394502425182)], [np.float64(1.1438044057434742)], [np.float64(1.1625688451442697)], [np.float64(1.2087028255149743)], [np.float64(1.2707701945975844)], [np.float64(1.4647785290254618)]]"
