fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(6.77511047538391), np.float64(6.77511047538391), np.float64(6.77511047538391), np.float64(6.77511047538391), np.float64(6.77511047538391), np.float64(6.77511047538391), np.float64(6.77511047538391), np.float64(11.561935240317645), np.float64(24.91999011990812)]","[np.float64(5.065234959004523), np.float64(5.065234959004523), np.float64(6.291601027212299), np.float64(6.291601027212299), np.float64(6.291601027212299), np.float64(6.291601027212299), np.float64(6.291601027212299), np.float64(9.62024788821174), np.float64(33.53222431766876)]","[np.float64(7.250623499962777), np.float64(7.250623499962777), np.float64(9.915943525965497), np.float64(10.487762933591503), np.float64(10.487762933591503), np.float64(10.487762933591503), np.float64(10.487762933591503), np.float64(10.487762933591503), np.float64(10.487762933591503)]"
1,"[np.float64(7.608108043117098), np.float64(7.608108043117098), np.float64(7.608108043117098), np.float64(7.608108043117098), np.float64(7.608108043117098), np.float64(8.375126613622895), np.float64(8.375126613622895), np.float64(8.375126613622895), np.float64(8.993469236691867)]","[np.float64(5.659495466345787), np.float64(5.964576455636675), np.float64(5.964576455636675), np.float64(5.964576455636675), np.float64(5.964576455636675), np.float64(5.964576455636675), np.float64(7.682182606848781), np.float64(8.072077284716876), np.float64(8.246629023923761)]","[np.float64(7.040117080072754), np.float64(7.040117080072754), np.float64(7.040117080072754), np.float64(7.040117080072754), np.float64(8.550016044650167), np.float64(8.550016044650167), np.float64(9.428274679784895), np.float64(9.428274679784895), np.float64(10.621704411396351)]"
2,"[np.float64(6.769757689092069), np.float64(8.424898053342448), np.float64(8.424898053342448), np.float64(8.424898053342448), np.float64(8.424898053342448), np.float64(8.424898053342448), np.float64(9.544059109878905), np.float64(10.663928133760066), np.float64(25.810210515695395)]","[np.float64(6.65305779718841), np.float64(6.65305779718841), np.float64(6.824888635916092), np.float64(6.824888635916092), np.float64(7.482439033395903), np.float64(9.766564703119023), np.float64(9.766564703119023), np.float64(10.139609030464996), np.float64(10.139609030464996)]","[np.float64(7.340600530172591), np.float64(7.340600530172591), np.float64(8.148900905385226), np.float64(8.148900905385226), np.float64(8.211696597927146), np.float64(9.405592723927159), np.float64(10.14978579046424), np.float64(10.14978579046424), np.float64(16.115655699852066)]"
3,"[np.float64(5.975510053423649), np.float64(5.975510053423649), np.float64(6.055426025224117), np.float64(6.108703339757761), np.float64(6.108703339757761), np.float64(8.059276768352872), np.float64(14.408298545296184), np.float64(14.408298545296184), np.float64(18.390680557716475)]","[np.float64(5.836057679227376), np.float64(5.836057679227376), np.float64(5.836057679227376), np.float64(5.836057679227376), np.float64(5.836057679227376), np.float64(5.836057679227376), np.float64(5.836057679227376), np.float64(5.912635173550407), np.float64(25.501158233739847)]","[np.float64(6.199716390847915), np.float64(6.199716390847915), np.float64(6.199716390847915), np.float64(6.199716390847915), np.float64(7.66790028622867), np.float64(8.086695636191651), np.float64(8.086695636191651), np.float64(21.611118612256245), np.float64(21.611118612256245)]"
4,"[np.float64(5.242689249154819), np.float64(6.372447992833077), np.float64(6.983651706747132), np.float64(6.983651706747132), np.float64(6.983651706747132), np.float64(6.983651706747132), np.float64(6.983651706747132), np.float64(6.983651706747132), np.float64(7.803650367992854)]","[np.float64(6.630488903831508), np.float64(6.630488903831508), np.float64(6.630488903831508), np.float64(6.630488903831508), np.float64(6.630488903831508), np.float64(6.630488903831508), np.float64(6.693513518131737), np.float64(6.788050439582074), np.float64(7.065389564651296)]","[np.float64(6.767063909386943), np.float64(6.767063909386943), np.float64(6.767063909386943), np.float64(6.767063909386943), np.float64(6.767063909386943), np.float64(6.767063909386943), np.float64(6.767063909386943), np.float64(7.672954945728759), np.float64(8.074213034970942)]"
5,"[np.float64(4.586538285842618), np.float64(4.586538285842618), np.float64(4.586538285842618), np.float64(5.053753666387587), np.float64(6.704583884170692), np.float64(6.704583884170692), np.float64(7.193416531991894), np.float64(7.193416531991894), np.float64(7.193416531991894)]","[np.float64(3.8727046509007828), np.float64(5.947549505101884), np.float64(5.947549505101884), np.float64(5.947549505101884), np.float64(5.947549505101884), np.float64(5.947549505101884), np.float64(5.947549505101884), np.float64(5.947549505101884), np.float64(5.947549505101884)]","[np.float64(4.656411162227257), np.float64(5.717330092872177), np.float64(5.717330092872177), np.float64(5.717330092872177), np.float64(7.064417023227181), np.float64(7.064417023227181), np.float64(7.064417023227181), np.float64(7.064417023227181), np.float64(7.064417023227181)]"
6,"[np.float64(4.574479419604117), np.float64(4.574479419604117), np.float64(4.574479419604117), np.float64(4.574479419604117), np.float64(4.574479419604117), np.float64(4.574479419604117), np.float64(4.574479419604117), np.float64(5.149234453735577), np.float64(6.4969535117434685)]","[np.float64(3.433536485269898), np.float64(3.433536485269898), np.float64(3.433536485269898), np.float64(4.74662529405295), np.float64(4.74662529405295), np.float64(4.74662529405295), np.float64(4.74662529405295), np.float64(4.74662529405295), np.float64(5.7502629412527115)]","[np.float64(4.997952995944579), np.float64(4.997952995944579), np.float64(4.997952995944579), np.float64(4.997952995944579), np.float64(5.887716354106246), np.float64(5.887716354106246), np.float64(5.887716354106246), np.float64(10.482868645340703), np.float64(10.482868645340703)]"
7,"[np.float64(3.960074319857807), np.float64(3.960074319857807), np.float64(3.960074319857807), np.float64(4.380052425771528), np.float64(4.486714765944021), np.float64(4.486714765944021), np.float64(4.724662682193818), np.float64(4.724662682193818), np.float64(8.236753236814709)]","[np.float64(4.3970611281791605), np.float64(4.3970611281791605), np.float64(4.3970611281791605), np.float64(4.3970611281791605), np.float64(4.553420919254141), np.float64(4.553420919254141), np.float64(4.553420919254141), np.float64(5.966039839194626), np.float64(7.304685497311587)]","[np.float64(4.638754712757132), np.float64(4.638754712757132), np.float64(4.638754712757132), np.float64(5.111017819634838), np.float64(5.111017819634838), np.float64(5.111017819634838), np.float64(5.541260672948612), np.float64(6.979563415432885), np.float64(6.979563415432885)]"
