fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(4.581243228912354)], [np.float64(7.837013540267944)], [np.float64(9.06075761795044)], [np.float64(9.603775167465212)], [np.float64(10.25002326965332)], [np.float64(11.049037799835205)], [np.float64(11.727947411537171)], [np.float64(16.800533981323245)], [np.float64(21.66523401260376)]]","[[np.float64(2.0398115991428996)], [np.float64(2.090003217231375)], [np.float64(2.1204163221052528)], [np.float64(2.139778650337243)], [np.float64(2.2199746945727563)], [np.float64(2.2856121344736646)], [np.float64(2.6726975217000986)], [np.float64(3.0604673626034895)], [np.float64(3.9851275078326167)]]","[[np.float64(1.6769168500045468)], [np.float64(1.7509202500122438)], [np.float64(1.8053116710180952)], [np.float64(1.8731310431021955)], [np.float64(1.9462966159936368)], [np.float64(2.0779741858795093)], [np.float64(2.343013206073688)], [np.float64(2.7609269509468466)], [np.float64(3.0666556488243413)]]"
1,"[[np.float64(2.1718984985351564)], [np.float64(2.6709666633605957)], [np.float64(2.9131450843811035)], [np.float64(3.164517278671265)], [np.float64(3.2421809911727903)], [np.float64(3.8190362071990966)], [np.float64(5.0468888473510765)], [np.float64(13.310005035400392)], [np.float64(18.601192073822027)]]","[[np.float64(1.6231905272875533)], [np.float64(1.6381686779046554)], [np.float64(1.6443225571233266)], [np.float64(1.6644345758909467)], [np.float64(1.6886170383876322)], [np.float64(1.7470237239881674)], [np.float64(1.822986680468473)], [np.float64(1.908965430223698)], [np.float64(2.3297819686498333)]]","[[np.float64(1.1921676337355522)], [np.float64(1.208580562510524)], [np.float64(1.218376902072835)], [np.float64(1.222971668555698)], [np.float64(1.2389301590291752)], [np.float64(1.2514401733786968)], [np.float64(1.2626136367174783)], [np.float64(1.2744654716679915)], [np.float64(1.3663441084914756)]]"
2,"[[np.float64(2.581676216125488)], [np.float64(3.074914560317993)], [np.float64(3.3194298219680785)], [np.float64(3.8335248184204103)], [np.float64(4.262646150588989)], [np.float64(4.829964342117309)], [np.float64(6.588628406524658)], [np.float64(13.118539218902587)], [np.float64(24.424492950439454)]]","[[np.float64(1.402551618500354)], [np.float64(1.422819352660038)], [np.float64(1.4530086886871956)], [np.float64(1.5090192719617772)], [np.float64(1.5860582500636897)], [np.float64(1.6752172236257459)], [np.float64(1.7611691852340547)], [np.float64(1.9223642285497453)], [np.float64(2.39246395323595)]]","[[np.float64(1.2476570561982978)], [np.float64(1.2596287746673929)], [np.float64(1.2825597801814583)], [np.float64(1.3271590573999852)], [np.float64(1.3696900199729198)], [np.float64(1.420682936968476)], [np.float64(1.5109042299559898)], [np.float64(1.6086922069182747)], [np.float64(2.1961493926877598)]]"
3,"[[np.float64(2.1719844007492064)], [np.float64(2.493920783996582)], [np.float64(2.670862579345704)], [np.float64(2.9049893617630005)], [np.float64(3.4453545570373536)], [np.float64(3.9945015859603883)], [np.float64(4.827637786865235)], [np.float64(6.40947151184082)], [np.float64(10.775535297393803)]]","[[np.float64(1.3015522170598404)], [np.float64(1.3120735358776492)], [np.float64(1.3184732523417189)], [np.float64(1.335149993727248)], [np.float64(1.374874568998001)], [np.float64(1.4185181730931102)], [np.float64(1.460557645991194)], [np.float64(1.7077838070849178)], [np.float64(1.9365436616339209)]]","[[np.float64(1.2387035912315607)], [np.float64(1.2468992199175353)], [np.float64(1.2569470061479469)], [np.float64(1.2655912637445497)], [np.float64(1.2757606371966108)], [np.float64(1.2994041397855243)], [np.float64(1.3232713691922797)], [np.float64(1.3624193812635046)], [np.float64(1.4518408185688203)]]"
4,"[[np.float64(2.0576838397979738)], [np.float64(2.3985821628570556)], [np.float64(2.6562095212936403)], [np.float64(3.2388901424407956)], [np.float64(3.32506320476532)], [np.float64(3.801535110473632)], [np.float64(4.543162117004394)], [np.float64(5.155624127388)], [np.float64(10.77378053665162)]]","[[np.float64(1.2622898754686274)], [np.float64(1.2983615994481554)], [np.float64(1.3373062344543485)], [np.float64(1.3811214200230575)], [np.float64(1.4129905326727334)], [np.float64(1.4585285012493785)], [np.float64(1.6260186302781148)], [np.float64(1.9369936178219258)], [np.float64(2.646726327313081)]]","[[np.float64(1.1812542292574628)], [np.float64(1.1838370446604483)], [np.float64(1.187673042734285)], [np.float64(1.1973679844572738)], [np.float64(1.2010504819894652)], [np.float64(1.2110452036414823)], [np.float64(1.2333517331608272)], [np.float64(1.2875492321696207)], [np.float64(1.4870239528596054)]]"
5,"[[np.float64(2.2708143043518065)], [np.float64(2.5534205055236816)], [np.float64(2.9867593622207647)], [np.float64(3.52360906124115)], [np.float64(3.9379598617553713)], [np.float64(5.10504545211792)], [np.float64(5.909911298751831)], [np.float64(8.475309944152837)], [np.float64(17.987283306121842)]]","[[np.float64(1.2621872849267433)], [np.float64(1.2858085088876863)], [np.float64(1.3474573137319468)], [np.float64(1.3887534444827387)], [np.float64(1.49431438377325)], [np.float64(1.5775659789980745)], [np.float64(1.6363573132398588)], [np.float64(2.0153338491795307)], [np.float64(2.4724460831556194)]]","[[np.float64(1.1743228197350868)], [np.float64(1.1823432332966177)], [np.float64(1.1887942739514386)], [np.float64(1.194114951734015)], [np.float64(1.2013075511911184)], [np.float64(1.2095913520911068)], [np.float64(1.255134079553344)], [np.float64(1.2710831507035354)], [np.float64(1.390787718649565)]]"
6,"[[np.float64(2.2230656576156616)], [np.float64(3.124473075866699)], [np.float64(3.2947150468826294)], [np.float64(3.4846846961975095)], [np.float64(3.826182568073273)], [np.float64(4.50214349269867)], [np.float64(4.983600420951843)], [np.float64(6.111523981094362)], [np.float64(17.989914178848267)]]","[[np.float64(1.2176864898836637)], [np.float64(1.2346420693036981)], [np.float64(1.2480172617757617)], [np.float64(1.331179046639799)], [np.float64(1.3819613377205833)], [np.float64(1.4535673429248652)], [np.float64(1.4795360778190771)], [np.float64(1.6911356210834163)], [np.float64(2.5314897290878213)]]","[[np.float64(1.1517063952775435)], [np.float64(1.1634297804955023)], [np.float64(1.1700130380055223)], [np.float64(1.1825773806314395)], [np.float64(1.1934609457952645)], [np.float64(1.2304991698717294)], [np.float64(1.2960471202514598)], [np.float64(1.4696220470980783)], [np.float64(1.7497440253218883)]]"
7,"[[np.float64(2.4866694617271423)], [np.float64(3.1190259218215943)], [np.float64(3.496766579151154)], [np.float64(4.05935157775879)], [np.float64(4.269581902027131)], [np.float64(4.903422918319702)], [np.float64(6.688542993068697)], [np.float64(15.277979030609146)], [np.float64(32.29661342620849)]]","[[np.float64(1.3823836474036653)], [np.float64(1.413602926532076)], [np.float64(1.4531338862958314)], [np.float64(1.491323121581199)], [np.float64(1.536683131948955)], [np.float64(1.6139059730418264)], [np.float64(1.9472576909980908)], [np.float64(2.17204502064221)], [np.float64(3.1023419576339952)]]","[[np.float64(1.13513763662086)], [np.float64(1.1482035560505912)], [np.float64(1.159228286877742)], [np.float64(1.1784276630545398)], [np.float64(1.1819133866464366)], [np.float64(1.2066740164170273)], [np.float64(1.2565908800067596)], [np.float64(1.5253551055027308)], [np.float64(1.8157953270854805)]]"
