fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(5.480522155761719)], [np.float64(6.527033081054688)], [np.float64(7.741970052719117)], [np.float64(8.69065999031067)], [np.float64(9.516049098968503)], [np.float64(10.448397884368896)], [np.float64(10.727371759414675)], [np.float64(11.884908866882325)], [np.float64(13.489076461791992)]]","[[np.float64(2.4183629840322816)], [np.float64(2.4459638762707727)], [np.float64(2.4662530069893935)], [np.float64(2.471957804589446)], [np.float64(2.5146708101170194)], [np.float64(2.552607701394813)], [np.float64(2.6376886977282332)], [np.float64(2.708478392856526)], [np.float64(2.891925054346022)]]","[[np.float64(7.795218441475014)], [np.float64(8.077023157599841)], [np.float64(8.241144328157626)], [np.float64(8.390611040949947)], [np.float64(8.516716696699548)], [np.float64(8.640413600142368)], [np.float64(8.8144161200325)], [np.float64(9.010451953418357)], [np.float64(9.114533003570193)]]"
1,"[[np.float64(1.489793405532837)], [np.float64(2.044157667160034)], [np.float64(2.2257980251312257)], [np.float64(2.3758862590789795)], [np.float64(2.928197240829468)], [np.float64(7.541585960388181)], [np.float64(12.04775100708008)], [np.float64(13.368174400329591)], [np.float64(14.255785636901855)]]","[[np.float64(1.5212117903533693)], [np.float64(1.5366410839037155)], [np.float64(1.546682948725488)], [np.float64(1.5671231073873888)], [np.float64(1.5747794337524874)], [np.float64(1.595477660249351)], [np.float64(1.6146373938092875)], [np.float64(1.6654698687496254)], [np.float64(1.7438788197346005)]]","[[np.float64(6.816886018674846)], [np.float64(7.159890178245301)], [np.float64(7.827773522839306)], [np.float64(8.111019498300452)], [np.float64(8.227198360878916)], [np.float64(8.410979173593525)], [np.float64(8.53067338016681)], [np.float64(8.648866587616256)], [np.float64(8.772495491091167)]]"
2,"[[np.float64(1.8286577224731446)], [np.float64(2.266672720909119)], [np.float64(2.5027762174606325)], [np.float64(2.639126348495483)], [np.float64(3.0524810791015624)], [np.float64(3.7272083902359006)], [np.float64(4.245998392105105)], [np.float64(8.46635069847107)], [np.float64(14.956250114440934)]]","[[np.float64(1.2980187937296694)], [np.float64(1.304131990480225)], [np.float64(1.310616822035571)], [np.float64(1.320079174599129)], [np.float64(1.343500488256982)], [np.float64(1.3760679673763219)], [np.float64(1.4400969339366436)], [np.float64(1.7691824122426125)], [np.float64(2.284024197654508)]]","[[np.float64(1.490800292970204)], [np.float64(1.5086805158041672)], [np.float64(1.5176313940832906)], [np.float64(1.5299615973992788)], [np.float64(1.5440266857221145)], [np.float64(1.5574004509612291)], [np.float64(1.5937257420743773)], [np.float64(1.7175310524981655)], [np.float64(2.1788768069703983)]]"
3,"[[np.float64(1.9355355739593507)], [np.float64(2.20629421710968)], [np.float64(2.38324903011322)], [np.float64(2.5124869918823243)], [np.float64(2.683622097969056)], [np.float64(2.7320968532562255)], [np.float64(3.0470238256454483)], [np.float64(3.8274746608734134)], [np.float64(8.453557777404793)]]","[[np.float64(1.1865382481148192)], [np.float64(1.2023944461739666)], [np.float64(1.2162577929731992)], [np.float64(1.2236376050427182)], [np.float64(1.2317583973830175)], [np.float64(1.255181360266594)], [np.float64(1.308254645295073)], [np.float64(1.438104106481158)], [np.float64(1.6979507965008607)]]","[[np.float64(1.3442020342625534)], [np.float64(1.3504404606726503)], [np.float64(1.3540044953693688)], [np.float64(1.3561171427195737)], [np.float64(1.3604672911285092)], [np.float64(1.3618727006673153)], [np.float64(1.3655877832894678)], [np.float64(1.3804594918039155)], [np.float64(1.6780299997279533)]]"
4,"[[np.float64(1.898086142539978)], [np.float64(2.0837680530548095)], [np.float64(2.4096258449554444)], [np.float64(2.5467028713226316)], [np.float64(2.6944272041320803)], [np.float64(3.1079795074462893)], [np.float64(3.2539325094223024)], [np.float64(3.9328909301757813)], [np.float64(4.94990758419037)]]","[[np.float64(1.1977010568547217)], [np.float64(1.20643712632195)], [np.float64(1.2099564468430943)], [np.float64(1.218147850931844)], [np.float64(1.229107727044554)], [np.float64(1.2492451712490957)], [np.float64(1.2650354875626522)], [np.float64(1.3399303587538234)], [np.float64(1.414556277361081)]]","[[np.float64(1.2272235732816847)], [np.float64(1.2353244534489112)], [np.float64(1.24242919176627)], [np.float64(1.2468781268671232)], [np.float64(1.253471803527921)], [np.float64(1.259146202924795)], [np.float64(1.262047412409454)], [np.float64(1.2700921576906354)], [np.float64(1.2779137773804932)]]"
5,"[[np.float64(1.6996530294418335)], [np.float64(1.9499892234802245)], [np.float64(2.184309973716736)], [np.float64(2.3859509372711183)], [np.float64(2.4957417249679565)], [np.float64(2.600819702148437)], [np.float64(3.2129822158813477)], [np.float64(3.9477773666381837)], [np.float64(6.113249797821045)]]","[[np.float64(1.1345199729811295)], [np.float64(1.141008762217909)], [np.float64(1.154094622388497)], [np.float64(1.1701418466551583)], [np.float64(1.1884466648835645)], [np.float64(1.2023934451498621)], [np.float64(1.2340154265673193)], [np.float64(1.254264513928773)], [np.float64(1.5868111395745823)]]","[[np.float64(1.211025328501711)], [np.float64(1.2182747069164084)], [np.float64(1.2239883212197298)], [np.float64(1.2278378857722447)], [np.float64(1.231732559329116)], [np.float64(1.2359717065105336)], [np.float64(1.2397199585401228)], [np.float64(1.243003737899965)], [np.float64(1.2563337522327689)]]"
6,"[[np.float64(1.6824594688415528)], [np.float64(1.8616211223602295)], [np.float64(2.164255449771881)], [np.float64(2.3974698638916014)], [np.float64(2.5754306077957154)], [np.float64(2.922196683883667)], [np.float64(3.1273356342315672)], [np.float64(3.5454463529586797)], [np.float64(4.913597011566162)]]","[[np.float64(1.1117956871064938)], [np.float64(1.145224787695251)], [np.float64(1.1526339479296497)], [np.float64(1.1630665811502863)], [np.float64(1.1701023578411442)], [np.float64(1.1823659318520643)], [np.float64(1.2006004627946751)], [np.float64(1.2461300703602216)], [np.float64(1.3510122655693477)]]","[[np.float64(1.1892187180545226)], [np.float64(1.1963074738910298)], [np.float64(1.2015994530001362)], [np.float64(1.2060210138341392)], [np.float64(1.209425670058166)], [np.float64(1.2151639336643807)], [np.float64(1.2187165983338235)], [np.float64(1.2246234916367396)], [np.float64(1.2467295538971839)]]"
7,"[[np.float64(1.6637821435928344)], [np.float64(1.948916187286377)], [np.float64(2.0948215603828433)], [np.float64(2.3192304706573488)], [np.float64(2.4772699117660517)], [np.float64(2.653837571144104)], [np.float64(2.9526597261428837)], [np.float64(3.491656813621521)], [np.float64(3.9781178855895996)]]","[[np.float64(1.1803448790086069)], [np.float64(1.2018180966623673)], [np.float64(1.2143219500483824)], [np.float64(1.225717121276753)], [np.float64(1.232833470825802)], [np.float64(1.2501323193178286)], [np.float64(1.2729037132042724)], [np.float64(1.3226610632038007)], [np.float64(1.391295999092169)]]","[[np.float64(1.1328473121639424)], [np.float64(1.1420661134895387)], [np.float64(1.1493187277916344)], [np.float64(1.1556064692811678)], [np.float64(1.168417291584051)], [np.float64(1.1765865362364545)], [np.float64(1.1836216283441827)], [np.float64(1.2026888644978924)], [np.float64(1.2465204458986932)]]"
