fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(11.05099053830533), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(26.32155136795371)]","[np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(12.59922341448369), np.float64(24.154574255696485), np.float64(24.154574255696485)]","[np.float64(9.627665489993035), np.float64(9.84546219245731), np.float64(10.136609787444513), np.float64(12.492718542541137), np.float64(12.492718542541137), np.float64(12.492718542541137), np.float64(16.218199232185018), np.float64(16.218199232185018), np.float64(16.218199232185018)]"
1,"[np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(8.830701980435812)]","[np.float64(8.06329101791615), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234)]","[np.float64(7.76282967284644), np.float64(7.76282967284644), np.float64(7.76282967284644), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(8.081328782811092), np.float64(11.323435893276761), np.float64(11.323435893276761)]"
2,"[np.float64(6.468180122392324), np.float64(6.468180122392324), np.float64(7.421297769827116), np.float64(7.421297769827116), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.76579726851068), np.float64(20.128509814390416)]","[np.float64(5.588988100656261), np.float64(6.251635348435745), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163)]","[np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(44.599243401638944)]"
3,"[np.float64(5.299421621315904), np.float64(5.98188058182075), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(8.660783211955849), np.float64(18.441556471578377), np.float64(18.441556471578377)]","[np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.785323035040552), np.float64(7.093268098023654), np.float64(13.913000181177498), np.float64(18.45948823661338)]","[np.float64(6.65685755851516), np.float64(6.65685755851516), np.float64(7.458991711679678), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(8.473555260302245), np.float64(8.473555260302245), np.float64(8.473555260302245)]"
4,"[np.float64(9.35113967228354), np.float64(9.550217181387486), np.float64(9.848833445043406), np.float64(9.848833445043406), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(12.21839339797393)]","[np.float64(7.562344275712941), np.float64(8.212055023618307), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522)]","[np.float64(7.721880793981936), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(10.091609572439888), np.float64(11.379233829679164), np.float64(11.379233829679164), np.float64(11.379233829679164), np.float64(11.826968238119598)]"
5,"[np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(10.071244460173158), np.float64(10.071244460173158), np.float64(10.071244460173158)]","[np.float64(8.285330744656928), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(9.343519259983879)]","[np.float64(7.662563196929105), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(11.531473854151763), np.float64(15.449385155049654)]"
6,"[np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.938187327111206), np.float64(7.938187327111206), np.float64(7.938187327111206), np.float64(10.001942859149205), np.float64(10.001942859149205), np.float64(14.500194285914917)]","[np.float64(6.415272348470003), np.float64(6.524605347804377), np.float64(6.524605347804377), np.float64(6.68743182069592), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(8.863676980578225)]","[np.float64(8.578117988346333), np.float64(8.578117988346333), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.622788847858068), np.float64(8.633858351840784), np.float64(13.874427095604496)]"
7,"[np.float64(7.542687366278354), np.float64(7.542687366278354), np.float64(7.582515887314168), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(10.51301249788786), np.float64(28.783877191727576)]","[np.float64(6.094009978109631), np.float64(6.094009978109631), np.float64(6.094009978109631), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(7.691753588325821), np.float64(7.724316652238069), np.float64(7.724316652238069)]","[np.float64(5.65389672135108), np.float64(5.65389672135108), np.float64(7.861745988560755), np.float64(8.333280336275878), np.float64(8.333280336275878), np.float64(8.333280336275878), np.float64(9.050281919554765), np.float64(9.050281919554765), np.float64(9.050281919554765)]"
