fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(6.527033081054688)], [np.float64(8.69065999031067)], [np.float64(10.448397884368896)], [np.float64(11.884908866882325)]]","[[np.float64(2.4459638762707727)], [np.float64(2.471957804589446)], [np.float64(2.552607701394813)], [np.float64(2.708478392856526)]]","[[np.float64(8.077023157599841)], [np.float64(8.390611040949947)], [np.float64(8.640413600142368)], [np.float64(9.010451953418357)]]"
1,"[[np.float64(2.044157667160034)], [np.float64(2.3758862590789795)], [np.float64(7.541585960388192)], [np.float64(13.368174400329591)]]","[[np.float64(1.5366410839037155)], [np.float64(1.5671231073873888)], [np.float64(1.595477660249351)], [np.float64(1.6654698687496254)]]","[[np.float64(7.159890178245301)], [np.float64(8.111019498300452)], [np.float64(8.410979173593525)], [np.float64(8.648866587616256)]]"
2,"[[np.float64(2.266672720909119)], [np.float64(2.639126348495483)], [np.float64(3.727208390235901)], [np.float64(8.46635069847107)]]","[[np.float64(1.304131990480225)], [np.float64(1.320079174599129)], [np.float64(1.3760679673763219)], [np.float64(1.7691824122426125)]]","[[np.float64(1.5086805158041672)], [np.float64(1.5299615973992788)], [np.float64(1.5574004509612291)], [np.float64(1.7175310524981655)]]"
3,"[[np.float64(2.20629421710968)], [np.float64(2.5124869918823243)], [np.float64(2.7320968532562255)], [np.float64(3.8274746608734134)]]","[[np.float64(1.2023944461739666)], [np.float64(1.2236376050427182)], [np.float64(1.255181360266594)], [np.float64(1.438104106481158)]]","[[np.float64(1.3504404606726503)], [np.float64(1.3561171427195737)], [np.float64(1.3618727006673153)], [np.float64(1.3804594918039155)]]"
4,"[[np.float64(2.0837680530548095)], [np.float64(2.5467028713226316)], [np.float64(3.1079795074462893)], [np.float64(3.9328909301757813)]]","[[np.float64(1.20643712632195)], [np.float64(1.218147850931844)], [np.float64(1.2492451712490957)], [np.float64(1.3399303587538234)]]","[[np.float64(1.2353244534489112)], [np.float64(1.2468781268671232)], [np.float64(1.259146202924795)], [np.float64(1.2700921576906354)]]"
5,"[[np.float64(1.9499892234802245)], [np.float64(2.3859509372711183)], [np.float64(2.6008197021484376)], [np.float64(3.9477773666381837)]]","[[np.float64(1.141008762217909)], [np.float64(1.1701418466551583)], [np.float64(1.2023934451498621)], [np.float64(1.254264513928773)]]","[[np.float64(1.2182747069164084)], [np.float64(1.2278378857722447)], [np.float64(1.2359717065105336)], [np.float64(1.243003737899965)]]"
6,"[[np.float64(1.8616211223602295)], [np.float64(2.3974698638916014)], [np.float64(2.922196683883667)], [np.float64(3.5454463529586797)]]","[[np.float64(1.145224787695251)], [np.float64(1.1630665811502863)], [np.float64(1.1823659318520643)], [np.float64(1.2461300703602216)]]","[[np.float64(1.1963074738910298)], [np.float64(1.2060210138341392)], [np.float64(1.2151639336643807)], [np.float64(1.2246234916367396)]]"
7,"[[np.float64(1.948916187286377)], [np.float64(2.3192304706573488)], [np.float64(2.6538375711441042)], [np.float64(3.491656813621521)]]","[[np.float64(1.2018180966623673)], [np.float64(1.225717121276753)], [np.float64(1.2501323193178286)], [np.float64(1.3226610632038007)]]","[[np.float64(1.1420661134895387)], [np.float64(1.1556064692811678)], [np.float64(1.1765865362364545)], [np.float64(1.2026888644978924)]]"
