fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(7.837013540267944)], [np.float64(9.603775167465212)], [np.float64(11.049037799835206)], [np.float64(16.800533981323245)]]","[[np.float64(2.090003217231375)], [np.float64(2.139778650337243)], [np.float64(2.2856121344736646)], [np.float64(3.0604673626034895)]]","[[np.float64(1.7509202500122438)], [np.float64(1.8731310431021955)], [np.float64(2.0779741858795093)], [np.float64(2.7609269509468466)]]"
1,"[[np.float64(2.6709666633605957)], [np.float64(3.164517278671265)], [np.float64(3.8190362071990975)], [np.float64(13.310005035400392)]]","[[np.float64(1.6381686779046554)], [np.float64(1.6644345758909467)], [np.float64(1.7470237239881674)], [np.float64(1.908965430223698)]]","[[np.float64(1.208580562510524)], [np.float64(1.222971668555698)], [np.float64(1.2514401733786968)], [np.float64(1.2744654716679915)]]"
2,"[[np.float64(3.074914560317993)], [np.float64(3.8335248184204103)], [np.float64(4.829964342117311)], [np.float64(13.118539218902587)]]","[[np.float64(1.422819352660038)], [np.float64(1.5090192719617772)], [np.float64(1.675217223625746)], [np.float64(1.9223642285497453)]]","[[np.float64(1.2596287746673929)], [np.float64(1.3271590573999852)], [np.float64(1.420682936968476)], [np.float64(1.6086922069182747)]]"
3,"[[np.float64(2.493920783996582)], [np.float64(2.9049893617630005)], [np.float64(3.9945015859603883)], [np.float64(6.40947151184082)]]","[[np.float64(1.3120735358776492)], [np.float64(1.335149993727248)], [np.float64(1.4185181730931102)], [np.float64(1.7077838070849178)]]","[[np.float64(1.2468992199175353)], [np.float64(1.2655912637445497)], [np.float64(1.2994041397855243)], [np.float64(1.3624193812635046)]]"
4,"[[np.float64(2.3985821628570556)], [np.float64(3.2388901424407956)], [np.float64(3.8015351104736332)], [np.float64(5.155624127388)]]","[[np.float64(1.2983615994481554)], [np.float64(1.3811214200230575)], [np.float64(1.4585285012493787)], [np.float64(1.9369936178219258)]]","[[np.float64(1.1838370446604483)], [np.float64(1.1973679844572738)], [np.float64(1.2110452036414823)], [np.float64(1.2875492321696207)]]"
5,"[[np.float64(2.5534205055236816)], [np.float64(3.52360906124115)], [np.float64(5.10504545211792)], [np.float64(8.475309944152837)]]","[[np.float64(1.2858085088876863)], [np.float64(1.3887534444827387)], [np.float64(1.5775659789980747)], [np.float64(2.0153338491795307)]]","[[np.float64(1.1823432332966177)], [np.float64(1.194114951734015)], [np.float64(1.2095913520911068)], [np.float64(1.2710831507035354)]]"
6,"[[np.float64(3.124473075866699)], [np.float64(3.4846846961975095)], [np.float64(4.50214349269867)], [np.float64(6.111523981094362)]]","[[np.float64(1.2346420693036981)], [np.float64(1.331179046639799)], [np.float64(1.4535673429248654)], [np.float64(1.6911356210834163)]]","[[np.float64(1.1634297804955023)], [np.float64(1.1825773806314395)], [np.float64(1.2304991698717294)], [np.float64(1.4696220470980783)]]"
7,"[[np.float64(3.1190259218215943)], [np.float64(4.05935157775879)], [np.float64(4.903422918319703)], [np.float64(15.277979030609146)]]","[[np.float64(1.413602926532076)], [np.float64(1.491323121581199)], [np.float64(1.6139059730418264)], [np.float64(2.17204502064221)]]","[[np.float64(1.1482035560505912)], [np.float64(1.1784276630545398)], [np.float64(1.2066740164170275)], [np.float64(1.5253551055027308)]]"
