fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(2.352941842079163)], [np.float64(2.888874807357788)], [np.float64(3.904706392288208)], [np.float64(4.897168154716493)]]","[[np.float64(1.571307113749625)], [np.float64(1.635841134565854)], [np.float64(1.714744655958098)], [np.float64(1.8389867979959589)]]","[[np.float64(1.7453052365029644)], [np.float64(1.8361325043355905)], [np.float64(1.9738669997219775)], [np.float64(2.064547471032367)]]"
1,"[[np.float64(2.038309478759766)], [np.float64(2.623295116424561)], [np.float64(3.1514277839660645)], [np.float64(3.803955888748169)]]","[[np.float64(1.2455680531932878)], [np.float64(1.2638431756974946)], [np.float64(1.2856384123512683)], [np.float64(1.3401192634772945)]]","[[np.float64(1.0369778021116707)], [np.float64(1.0507853981863222)], [np.float64(1.0766703783526297)], [np.float64(1.1403416903202468)]]"
2,"[[np.float64(2.074890060424805)], [np.float64(2.8562264823913575)], [np.float64(3.6696987104415895)], [np.float64(5.255772533416749)]]","[[np.float64(1.2528647294250248)], [np.float64(1.2802280803888055)], [np.float64(1.3192934925111122)], [np.float64(1.5865339146244832)]]","[[np.float64(1.054364283386132)], [np.float64(1.0798245128101007)], [np.float64(1.121274108410948)], [np.float64(1.4504195300297464)]]"
3,"[[np.float64(2.0339812707901)], [np.float64(2.798606276512146)], [np.float64(3.247895293235779)], [np.float64(4.714733219146729)]]","[[np.float64(1.2262583975585524)], [np.float64(1.259523153492156)], [np.float64(1.3075316132021741)], [np.float64(1.4916614832586943)]]","[[np.float64(1.0755370616814839)], [np.float64(1.1133089772485576)], [np.float64(1.169557904599223)], [np.float64(1.3323944217888324)]]"
4,"[[np.float64(1.809793405532837)], [np.float64(2.1768512725830083)], [np.float64(2.60194974899292)], [np.float64(3.356655998229981)]]","[[np.float64(1.1622519353170473)], [np.float64(1.1849624902308042)], [np.float64(1.2196691683564689)], [np.float64(1.3091654676466045)]]","[[np.float64(1.057769786563959)], [np.float64(1.080791001389795)], [np.float64(1.1219783227270237)], [np.float64(1.2562227886481216)]]"
5,"[[np.float64(2.4482811212539675)], [np.float64(3.035694026947022)], [np.float64(3.6295635509490976)], [np.float64(4.500150032043457)]]","[[np.float64(1.16002539682165)], [np.float64(1.2007753247316495)], [np.float64(1.251706855053776)], [np.float64(1.423113860968283)]]","[[np.float64(0.9927701494715232)], [np.float64(1.007863256410025)], [np.float64(1.0306371774736705)], [np.float64(1.0564162427721404)]]"
6,"[[np.float64(2.298321523666382)], [np.float64(2.7374391555786133)], [np.float64(3.005823974609376)], [np.float64(4.213427429199219)]]","[[np.float64(1.1498626222523423)], [np.float64(1.1821179617684068)], [np.float64(1.2530791823044711)], [np.float64(1.3671306496292996)]]","[[np.float64(1.0209521180561223)], [np.float64(1.055292540623619)], [np.float64(1.0830303261861403)], [np.float64(1.147609175382136)]]"
7,"[[np.float64(2.4327781295776374)], [np.float64(3.2677968978881835)], [np.float64(3.8178280735015875)], [np.float64(4.732992458343507)]]","[[np.float64(1.3177085594612883)], [np.float64(1.3922536764752182)], [np.float64(1.5250479637748164)], [np.float64(1.7067585620803207)]]","[[np.float64(1.0771349597594277)], [np.float64(1.1018394502425182)], [np.float64(1.1625688451442697)], [np.float64(1.2707701945975844)]]"
