fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(1.6548377332687378)], [np.float64(1.9360067710876465)], [np.float64(2.104661079406738)], [np.float64(2.1845435400009157)], [np.float64(2.352941842079163)], [np.float64(2.5721461448669434)], [np.float64(2.681284978866577)], [np.float64(2.7343912658691405)], [np.float64(2.7890534038543704)], [np.float64(2.888874807357788)], [np.float64(2.9740357408523557)], [np.float64(3.1867323818206788)], [np.float64(3.33494575881958)], [np.float64(3.719259329795838)], [np.float64(3.904706392288208)], [np.float64(4.087670565605164)], [np.float64(4.173662826538086)], [np.float64(4.355285358428955)], [np.float64(4.537154297828675)], [np.float64(4.897168154716493)], [np.float64(5.424303108215334)], [np.float64(6.465484756469726)], [np.float64(12.319382036209122)], [np.float64(16.63322193908692)]]","[[np.float64(1.5108108774339712)], [np.float64(1.519020979157434)], [np.float64(1.527915955854202)], [np.float64(1.5397558207312683)], [np.float64(1.571307113749625)], [np.float64(1.5802614057902433)], [np.float64(1.6069542049663412)], [np.float64(1.618331022068712)], [np.float64(1.63186760478595)], [np.float64(1.635841134565854)], [np.float64(1.6527246850144746)], [np.float64(1.671814657583518)], [np.float64(1.6956356276800486)], [np.float64(1.699896947264423)], [np.float64(1.714744655958098)], [np.float64(1.74783107499809)], [np.float64(1.7775512406647929)], [np.float64(1.7918549305357292)], [np.float64(1.8367581838737335)], [np.float64(1.8389867979959589)], [np.float64(1.8819665541703514)], [np.float64(2.1089226859033356)], [np.float64(2.353247769948956)], [np.float64(3.579377556160889)]]","[[np.float64(1.6509869136787976)], [np.float64(1.6746872268038475)], [np.float64(1.712806587670668)], [np.float64(1.7426316839605938)], [np.float64(1.7453052365029644)], [np.float64(1.758369760647224)], [np.float64(1.7836706331703542)], [np.float64(1.7918804232025611)], [np.float64(1.8131546933301883)], [np.float64(1.8361325043355905)], [np.float64(1.8581074294103093)], [np.float64(1.8975554165971698)], [np.float64(1.922773128137376)], [np.float64(1.9326919057288523)], [np.float64(1.9738669997219775)], [np.float64(1.9850182767351765)], [np.float64(1.9996015398109943)], [np.float64(2.0191801375673544)], [np.float64(2.0535079585748344)], [np.float64(2.064547471032367)], [np.float64(2.1169788897161728)], [np.float64(2.2186277527988656)], [np.float64(2.289559653848206)], [np.float64(2.4502404126577564)]]"
1,"[[np.float64(1.4723355312347413)], [np.float64(1.6903968839645387)], [np.float64(1.817592582702637)], [np.float64(1.8971075563430786)], [np.float64(2.038309478759766)], [np.float64(2.063099431037903)], [np.float64(2.117171537399292)], [np.float64(2.231977843284607)], [np.float64(2.4990537548065186)], [np.float64(2.6232951164245604)], [np.float64(2.7607286167144776)], [np.float64(2.897183089256287)], [np.float64(2.9780453901290893)], [np.float64(3.076232080459595)], [np.float64(3.1514277839660645)], [np.float64(3.3296193962097167)], [np.float64(3.3497480564117432)], [np.float64(3.456217321395875)], [np.float64(3.616958145141602)], [np.float64(3.803955888748169)], [np.float64(4.017025463104248)], [np.float64(4.255555450439453)], [np.float64(4.889869578361513)], [np.float64(6.450100723266603)]]","[[np.float64(1.223646742259529)], [np.float64(1.229097371428831)], [np.float64(1.235840676008054)], [np.float64(1.243303133514223)], [np.float64(1.2455680531932878)], [np.float64(1.2476310573784186)], [np.float64(1.2510458339084616)], [np.float64(1.2584447524541262)], [np.float64(1.261756909048248)], [np.float64(1.2638431756974946)], [np.float64(1.2669290081012605)], [np.float64(1.2731032021110666)], [np.float64(1.2777141083255372)], [np.float64(1.282295132880424)], [np.float64(1.2856384123512683)], [np.float64(1.297820635968997)], [np.float64(1.3023309220922044)], [np.float64(1.3139436952740726)], [np.float64(1.3341021036367566)], [np.float64(1.3401192634772945)], [np.float64(1.3692912478273334)], [np.float64(1.4257892740704252)], [np.float64(1.4582192431079177)], [np.float64(1.5205261715092777)]]","[[np.float64(1.0215424111882967)], [np.float64(1.0280441353194774)], [np.float64(1.0311062679123881)], [np.float64(1.0355743802318795)], [np.float64(1.0369778021116707)], [np.float64(1.0413581241174379)], [np.float64(1.0452931129523109)], [np.float64(1.0453354239328654)], [np.float64(1.0471853621029878)], [np.float64(1.0507853981863222)], [np.float64(1.0526407343497848)], [np.float64(1.0611322373577319)], [np.float64(1.0684660176376612)], [np.float64(1.0710773123894286)], [np.float64(1.0766703783526297)], [np.float64(1.0811913590729345)], [np.float64(1.090288203205226)], [np.float64(1.0989025300152955)], [np.float64(1.1118138334103356)], [np.float64(1.1403416903202468)], [np.float64(1.1519884555218476)], [np.float64(1.1970179940074899)], [np.float64(1.2739996125544897)], [np.float64(1.3630637617579133)]]"
2,"[[np.float64(1.4336361846923829)], [np.float64(1.5556063308715822)], [np.float64(1.7415027112960817)], [np.float64(1.8847420120239258)], [np.float64(2.074890060424805)], [np.float64(2.310730061531067)], [np.float64(2.5165931587219235)], [np.float64(2.6863312911987305)], [np.float64(2.7467161445617676)], [np.float64(2.856226482391357)], [np.float64(2.9780694427490237)], [np.float64(3.2938223600387575)], [np.float64(3.3861372928619384)], [np.float64(3.5951099214553834)], [np.float64(3.6696987104415895)], [np.float64(3.8586064586639406)], [np.float64(4.033917116165161)], [np.float64(4.1888661823272715)], [np.float64(4.4589929885864255)], [np.float64(5.255772533416749)], [np.float64(6.381743110656747)], [np.float64(9.406056783676144)], [np.float64(57.469743469238395)], [np.float64(84.75777565002444)]]","[[np.float64(1.2168174429765992)], [np.float64(1.2257344741906362)], [np.float64(1.231893629195732)], [np.float64(1.2408023202119154)], [np.float64(1.2528647294250248)], [np.float64(1.2539434514522696)], [np.float64(1.2615103093036613)], [np.float64(1.2717981735702397)], [np.float64(1.2741242405100182)], [np.float64(1.2802280803888055)], [np.float64(1.2820612065518462)], [np.float64(1.2889063408493202)], [np.float64(1.296974136849876)], [np.float64(1.3119377066160909)], [np.float64(1.3192934925111122)], [np.float64(1.3575993656177938)], [np.float64(1.3703335959494196)], [np.float64(1.3809341442840988)], [np.float64(1.5587656176523168)], [np.float64(1.5865339146244832)], [np.float64(1.6077352655682933)], [np.float64(1.7217713201061464)], [np.float64(2.678684752086457)], [np.float64(3.3839626309696276)]]","[[np.float64(1.0369617578918477)], [np.float64(1.039845348157097)], [np.float64(1.0442018742268186)], [np.float64(1.0493620828570842)], [np.float64(1.054364283386132)], [np.float64(1.0628648915753947)], [np.float64(1.067950446222468)], [np.float64(1.0700586297289363)], [np.float64(1.0773927440771498)], [np.float64(1.0798245128101007)], [np.float64(1.0848017758290336)], [np.float64(1.0905601847655886)], [np.float64(1.0989699628255774)], [np.float64(1.110430817302949)], [np.float64(1.121274108410948)], [np.float64(1.1583767414815096)], [np.float64(1.1744223681226231)], [np.float64(1.2169607364488881)], [np.float64(1.3379075631015047)], [np.float64(1.4504195300297464)], [np.float64(1.5515877109694505)], [np.float64(1.8073793536839762)], [np.float64(2.0580686309467406)], [np.float64(2.312396083323082)]]"
3,"[[np.float64(1.6171697797775269)], [np.float64(1.661427628517151)], [np.float64(1.7885719118118288)], [np.float64(1.9036717891693111)], [np.float64(2.0339812707901)], [np.float64(2.281728677749634)], [np.float64(2.379473234176636)], [np.float64(2.4226934194564818)], [np.float64(2.7183352890014647)], [np.float64(2.798606276512146)], [np.float64(2.821191252708435)], [np.float64(2.908553066253662)], [np.float64(2.961354145050049)], [np.float64(3.0571476726531985)], [np.float64(3.247895293235779)], [np.float64(3.4262816066741943)], [np.float64(3.5470603256225584)], [np.float64(3.862593383789063)], [np.float64(4.1834709796905525)], [np.float64(4.714733219146729)], [np.float64(5.04742401123047)], [np.float64(6.664137424468992)], [np.float64(8.06740151023865)], [np.float64(14.556147041320802)]]","[[np.float64(1.1993453818706152)], [np.float64(1.2071851849109039)], [np.float64(1.2147767231219742)], [np.float64(1.2194153576236302)], [np.float64(1.2262583975585524)], [np.float64(1.2301447727091055)], [np.float64(1.2343997093078183)], [np.float64(1.2388486761103752)], [np.float64(1.2404233778287745)], [np.float64(1.259523153492156)], [np.float64(1.2614978593328974)], [np.float64(1.2730117396404417)], [np.float64(1.286343512650968)], [np.float64(1.299041146381003)], [np.float64(1.3075316132021741)], [np.float64(1.332643667815804)], [np.float64(1.3429239509648923)], [np.float64(1.3637182098282097)], [np.float64(1.4219423361851737)], [np.float64(1.4916614832586943)], [np.float64(1.5309870789515054)], [np.float64(1.647057219259509)], [np.float64(1.9157664299318389)], [np.float64(2.2594364532735347)]]","[[np.float64(1.0504289439206675)], [np.float64(1.0638995197042302)], [np.float64(1.0689165115352526)], [np.float64(1.070831565457825)], [np.float64(1.0755370616814839)], [np.float64(1.0834496471975492)], [np.float64(1.0908603416389182)], [np.float64(1.0993764515668063)], [np.float64(1.1049746344424287)], [np.float64(1.1133089772485576)], [np.float64(1.1180748796999664)], [np.float64(1.1241505185407896)], [np.float64(1.1276032868406831)], [np.float64(1.1477369906025396)], [np.float64(1.169557904599223)], [np.float64(1.1793362607293996)], [np.float64(1.2192408824059857)], [np.float64(1.2775185762435595)], [np.float64(1.3007226419604259)], [np.float64(1.3323944217888324)], [np.float64(1.412179653617684)], [np.float64(1.457947193233854)], [np.float64(1.5261498135142082)], [np.float64(1.787502068772723)]]"
4,"[[np.float64(1.32742142868042)], [np.float64(1.5352491960525512)], [np.float64(1.63747483253479)], [np.float64(1.7239729881286618)], [np.float64(1.809793405532837)], [np.float64(1.8524959268569947)], [np.float64(1.9110216255187988)], [np.float64(1.9740581846237182)], [np.float64(2.032873510360718)], [np.float64(2.1768512725830074)], [np.float64(2.317250555038452)], [np.float64(2.370982508659363)], [np.float64(2.392417684555054)], [np.float64(2.5231458683013916)], [np.float64(2.60194974899292)], [np.float64(2.6408205919265746)], [np.float64(2.6836568775177)], [np.float64(3.030890447616578)], [np.float64(3.225431128501892)], [np.float64(3.356655998229981)], [np.float64(3.5418377475738536)], [np.float64(3.974151977539062)], [np.float64(4.743216260910035)], [np.float64(8.978024059295661)]]","[[np.float64(1.1451150435107282)], [np.float64(1.154636936202459)], [np.float64(1.158215604511761)], [np.float64(1.1603710827800167)], [np.float64(1.1622519353170473)], [np.float64(1.1664852294550563)], [np.float64(1.171659124465615)], [np.float64(1.1759788932692627)], [np.float64(1.1777593076249249)], [np.float64(1.1849624902308042)], [np.float64(1.1903034909080863)], [np.float64(1.1948267399819978)], [np.float64(1.2007382674868132)], [np.float64(1.2058697821647368)], [np.float64(1.2196691683564689)], [np.float64(1.2274369889967904)], [np.float64(1.2508385199202188)], [np.float64(1.2677961637749218)], [np.float64(1.2800917379220669)], [np.float64(1.3091654676466045)], [np.float64(1.3527635293505464)], [np.float64(1.4111309440020432)], [np.float64(1.428285689200368)], [np.float64(1.9554241011594666)]]","[[np.float64(1.012704816591387)], [np.float64(1.0317829507489549)], [np.float64(1.0403588876592726)], [np.float64(1.0513587839134948)], [np.float64(1.057769786563959)], [np.float64(1.0657618033271457)], [np.float64(1.06770047203002)], [np.float64(1.0741139948620197)], [np.float64(1.076876825561268)], [np.float64(1.080791001389795)], [np.float64(1.0851436857520764)], [np.float64(1.0911858952145763)], [np.float64(1.1009543226336729)], [np.float64(1.1150801661110976)], [np.float64(1.1219783227270237)], [np.float64(1.1379214893054723)], [np.float64(1.1607111596343125)], [np.float64(1.1889558976322803)], [np.float64(1.209949809646351)], [np.float64(1.2562227886481216)], [np.float64(1.3704889416526849)], [np.float64(1.426521020674887)], [np.float64(1.4868159439080006)], [np.float64(1.579748390430074)]]"
5,"[[np.float64(1.768430582046509)], [np.float64(1.849801704406738)], [np.float64(2.017287643432617)], [np.float64(2.194094386100769)], [np.float64(2.4482811212539675)], [np.float64(2.68738397026062)], [np.float64(2.745374195098877)], [np.float64(2.817623502731323)], [np.float64(2.978049302101135)], [np.float64(3.0356940269470214)], [np.float64(3.072529344558716)], [np.float64(3.175876741409302)], [np.float64(3.311011116027832)], [np.float64(3.400916575431824)], [np.float64(3.6295635509490976)], [np.float64(3.7464790782928468)], [np.float64(3.898794801712036)], [np.float64(4.02609156036377)], [np.float64(4.252791584014893)], [np.float64(4.500150032043457)], [np.float64(4.600419689178467)], [np.float64(4.869486852645873)], [np.float64(5.127013065338135)], [np.float64(6.960545551300052)]]","[[np.float64(1.1316020124787043)], [np.float64(1.1383728296143882)], [np.float64(1.1440924724822485)], [np.float64(1.151898131509574)], [np.float64(1.16002539682165)], [np.float64(1.1672077950551079)], [np.float64(1.1768052114859533)], [np.float64(1.17851333193275)], [np.float64(1.1904909274143358)], [np.float64(1.2007753247316495)], [np.float64(1.2018870163021294)], [np.float64(1.2137981520602463)], [np.float64(1.2209762864076372)], [np.float64(1.2302691037391742)], [np.float64(1.251706855053776)], [np.float64(1.267033454077665)], [np.float64(1.3010455391369906)], [np.float64(1.3266819880682736)], [np.float64(1.3480661993765268)], [np.float64(1.423113860968283)], [np.float64(1.4544551675352948)], [np.float64(1.508161164316968)], [np.float64(1.5667163713850518)], [np.float64(1.806340403406371)]]","[[np.float64(0.9718044813187889)], [np.float64(0.9791797129749779)], [np.float64(0.9812858710127919)], [np.float64(0.9856959783620329)], [np.float64(0.9927701494715232)], [np.float64(0.9992406256984485)], [np.float64(1.0015840757184693)], [np.float64(1.0034236174472444)], [np.float64(1.0050717308202568)], [np.float64(1.007863256410025)], [np.float64(1.0125155410419573)], [np.float64(1.0157196624981424)], [np.float64(1.0165783929916357)], [np.float64(1.026553226277869)], [np.float64(1.0306371774736705)], [np.float64(1.0402691176324652)], [np.float64(1.0489907791356987)], [np.float64(1.0516048979733936)], [np.float64(1.0532687053590628)], [np.float64(1.0564162427721404)], [np.float64(1.0605788705195605)], [np.float64(1.0788668540465183)], [np.float64(1.1024393644401502)], [np.float64(1.140540528328255)]]"
6,"[[np.float64(1.4391573181152344)], [np.float64(2.0099793367385863)], [np.float64(2.044664457321167)], [np.float64(2.2358848276138303)], [np.float64(2.298321523666382)], [np.float64(2.3776090164184573)], [np.float64(2.4490230407714844)], [np.float64(2.546058536529541)], [np.float64(2.606031054496765)], [np.float64(2.7374391555786133)], [np.float64(2.814201622009277)], [np.float64(2.8455070476531983)], [np.float64(2.861150550842285)], [np.float64(2.898600049972534)], [np.float64(3.005823974609376)], [np.float64(3.209191414833069)], [np.float64(3.3519513473510743)], [np.float64(3.533027804374696)], [np.float64(3.971535978317261)], [np.float64(4.213427429199219)], [np.float64(4.5358112449646)], [np.float64(5.116742591857912)], [np.float64(6.063324466705323)], [np.float64(40.82600208282473)]]","[[np.float64(1.1062549016035914)], [np.float64(1.1285745858483252)], [np.float64(1.132288026451448)], [np.float64(1.1431870172763652)], [np.float64(1.1498626222523423)], [np.float64(1.150544802645699)], [np.float64(1.158355031760513)], [np.float64(1.1664087066537403)], [np.float64(1.170489424532826)], [np.float64(1.1821179617684068)], [np.float64(1.190265030494039)], [np.float64(1.203494123801845)], [np.float64(1.217621877617134)], [np.float64(1.2378095999344578)], [np.float64(1.2530791823044711)], [np.float64(1.2638139494232155)], [np.float64(1.288460427628995)], [np.float64(1.2990152604316274)], [np.float64(1.3378569428578262)], [np.float64(1.3671306496292996)], [np.float64(1.3834250527916283)], [np.float64(1.445481131679948)], [np.float64(1.5373750249515743)], [np.float64(1.9640244559331437)]]","[[np.float64(1.0008759133794929)], [np.float64(1.0053426376268937)], [np.float64(1.0132229367924281)], [np.float64(1.0159753553580118)], [np.float64(1.0209521180561223)], [np.float64(1.029442822062971)], [np.float64(1.0341797667486334)], [np.float64(1.0423010051568395)], [np.float64(1.0477167740742084)], [np.float64(1.055292540623619)], [np.float64(1.062937200692914)], [np.float64(1.0655211437458882)], [np.float64(1.0700768199611588)], [np.float64(1.0766616494521597)], [np.float64(1.0830303261861403)], [np.float64(1.0899678811012854)], [np.float64(1.1002258157591334)], [np.float64(1.1144074040870964)], [np.float64(1.1304177686405104)], [np.float64(1.147609175382136)], [np.float64(1.1718815077404947)], [np.float64(1.196491442786618)], [np.float64(1.3696258235453835)], [np.float64(1.4530350516026662)]]"
7,"[[np.float64(1.7433818492889404)], [np.float64(2.016817828178406)], [np.float64(2.1327609491348265)], [np.float64(2.1753085641860963)], [np.float64(2.4327781295776374)], [np.float64(2.8514933013916015)], [np.float64(2.9432198219299317)], [np.float64(3.0216050806045534)], [np.float64(3.20567329120636)], [np.float64(3.2677968978881835)], [np.float64(3.346523656845093)], [np.float64(3.455020296096802)], [np.float64(3.5621788444519042)], [np.float64(3.6074158124923708)], [np.float64(3.8178280735015875)], [np.float64(3.9292509803771973)], [np.float64(4.221311832427979)], [np.float64(4.380006279945374)], [np.float64(4.494640090942383)], [np.float64(4.732992458343507)], [np.float64(5.534280703544618)], [np.float64(7.487218460083011)], [np.float64(14.267681932449342)], [np.float64(42.59427562713625)]]","[[np.float64(1.2466981638316483)], [np.float64(1.2854301071127003)], [np.float64(1.296189344182232)], [np.float64(1.3091718375395813)], [np.float64(1.3177085594612883)], [np.float64(1.3233613972793052)], [np.float64(1.3481397327976408)], [np.float64(1.3569443658104994)], [np.float64(1.3667242549056506)], [np.float64(1.3922536764752182)], [np.float64(1.4234073029280292)], [np.float64(1.4380190426543609)], [np.float64(1.4436615841165756)], [np.float64(1.4809851658961601)], [np.float64(1.5250479637748164)], [np.float64(1.5501553826011811)], [np.float64(1.5660050252575484)], [np.float64(1.5794508942345327)], [np.float64(1.667178784597207)], [np.float64(1.7067585620803207)], [np.float64(1.7878450206589125)], [np.float64(1.8947846999238076)], [np.float64(2.293472665750008)], [np.float64(2.4809007128699023)]]","[[np.float64(1.036711025443838)], [np.float64(1.0406505797927121)], [np.float64(1.056312928098228)], [np.float64(1.0619619544963312)], [np.float64(1.0771349597594277)], [np.float64(1.0834114126360788)], [np.float64(1.08973040960814)], [np.float64(1.0971810375832873)], [np.float64(1.0984059286259777)], [np.float64(1.1018394502425182)], [np.float64(1.1145449656461563)], [np.float64(1.13412375032635)], [np.float64(1.1475703950246041)], [np.float64(1.1568645141028187)], [np.float64(1.1625688451442697)], [np.float64(1.1801060093639466)], [np.float64(1.1947467318412814)], [np.float64(1.2145397697130351)], [np.float64(1.2450288566348162)], [np.float64(1.2707701945975844)], [np.float64(1.399345168815068)], [np.float64(1.4572762217619735)], [np.float64(1.5058565157874646)], [np.float64(1.5375364787799024)]]"
