fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(3.567978833198547)], [np.float64(4.228104481697082)], [np.float64(5.794980386734009)], [np.float64(6.213478014945983)], [np.float64(6.527033081054688)], [np.float64(6.92785435295105)], [np.float64(7.2320107688903805)], [np.float64(8.024624368667602)], [np.float64(8.469562259674072)], [np.float64(8.69065999031067)], [np.float64(9.14965491104126)], [np.float64(9.457361019134522)], [np.float64(9.589247119903565)], [np.float64(10.4062451171875)], [np.float64(10.448397884368896)], [np.float64(10.51108218383789)], [np.float64(10.567578680038451)], [np.float64(11.117517375946049)], [np.float64(11.674031120300294)], [np.float64(11.884908866882325)], [np.float64(12.973347457885742)], [np.float64(13.323580108642577)], [np.float64(14.393859703063967)], [np.float64(16.873814086914066)]]","[[np.float64(2.367461021276986)], [np.float64(2.3847614984826198)], [np.float64(2.4248472055112313)], [np.float64(2.434567048246931)], [np.float64(2.4459638762707727)], [np.float64(2.456324286068037)], [np.float64(2.4641481965321304)], [np.float64(2.466589922094676)], [np.float64(2.4678741312470303)], [np.float64(2.471957804589446)], [np.float64(2.4789441683058078)], [np.float64(2.504349467139123)], [np.float64(2.53578266510468)], [np.float64(2.545336215007529)], [np.float64(2.552607701394813)], [np.float64(2.587587460622513)], [np.float64(2.6226690507790886)], [np.float64(2.6586497056547485)], [np.float64(2.666496255745908)], [np.float64(2.708478392856526)], [np.float64(2.7289032064245267)], [np.float64(2.7978184781605613)], [np.float64(3.1281894188933363)], [np.float64(3.6446809155071103)]]","[[np.float64(7.327590101394916)], [np.float64(7.772276192876323)], [np.float64(7.8125828890391515)], [np.float64(8.018286655777443)], [np.float64(8.077023157599841)], [np.float64(8.18519004668906)], [np.float64(8.215310309164488)], [np.float64(8.27821177129562)], [np.float64(8.319024803113736)], [np.float64(8.390611040949945)], [np.float64(8.426593349731597)], [np.float64(8.469258891161045)], [np.float64(8.537494277484623)], [np.float64(8.579741806186487)], [np.float64(8.640413600142368)], [np.float64(8.694942808078746)], [np.float64(8.736817348165761)], [np.float64(8.890784212968974)], [np.float64(8.984101859886852)], [np.float64(9.010451953418357)], [np.float64(9.058178949801313)], [np.float64(9.078451139817503)], [np.float64(9.18021084659218)], [np.float64(9.316984346011514)]]"
1,"[[np.float64(1.3684305820465088)], [np.float64(1.44721360206604)], [np.float64(1.6936855907440187)], [np.float64(1.825849345207214)], [np.float64(2.044157667160034)], [np.float64(2.104612895011902)], [np.float64(2.1914585523605346)], [np.float64(2.228869049072266)], [np.float64(2.321102937698364)], [np.float64(2.3758862590789795)], [np.float64(2.57539608669281)], [np.float64(2.785112794876098)], [np.float64(3.2466435775756834)], [np.float64(4.042956901550293)], [np.float64(7.541585960388192)], [np.float64(10.95369337463379)], [np.float64(11.885184440612793)], [np.float64(12.30203289794922)], [np.float64(12.876599685668946)], [np.float64(13.368174400329591)], [np.float64(13.847573135375978)], [np.float64(14.143699516296385)], [np.float64(14.507658592224121)], [np.float64(24.244356636047378)]]","[[np.float64(1.5079959518058996)], [np.float64(1.5201303966210997)], [np.float64(1.524189929791673)], [np.float64(1.5335030895162751)], [np.float64(1.5366410839037155)], [np.float64(1.5396191006557003)], [np.float64(1.544224631921135)], [np.float64(1.5493999818120916)], [np.float64(1.5583552461580803)], [np.float64(1.5671231073873888)], [np.float64(1.5703819971378021)], [np.float64(1.5745462276358082)], [np.float64(1.5755575283126126)], [np.float64(1.580902100200545)], [np.float64(1.595477660249351)], [np.float64(1.6003393128742465)], [np.float64(1.6105230373348358)], [np.float64(1.6206825338636368)], [np.float64(1.63944874605803)], [np.float64(1.6654698687496254)], [np.float64(1.6837940267201303)], [np.float64(1.7105960323773421)], [np.float64(2.203409433703699)], [np.float64(2.772872002809327)]]","[[np.float64(6.686188144623324)], [np.float64(6.780074247506885)], [np.float64(6.94965928423461)], [np.float64(7.048338178354611)], [np.float64(7.159890178245301)], [np.float64(7.544704502514109)], [np.float64(7.794100731785401)], [np.float64(7.940132623216088)], [np.float64(8.051499102894905)], [np.float64(8.111019498300452)], [np.float64(8.152132061344975)], [np.float64(8.222784479832097)], [np.float64(8.308535905437552)], [np.float64(8.34622947610624)], [np.float64(8.410979173593525)], [np.float64(8.454475330533771)], [np.float64(8.503896505698753)], [np.float64(8.543210634561675)], [np.float64(8.565374759061271)], [np.float64(8.648866587616256)], [np.float64(8.70265887760706)], [np.float64(8.761004449031027)], [np.float64(8.82453184503453)], [np.float64(8.859580253963047)]]"
2,"[[np.float64(1.5434885807037353)], [np.float64(1.7376499710083007)], [np.float64(1.9164632568359374)], [np.float64(2.179725164413452)], [np.float64(2.266672720909119)], [np.float64(2.35701277923584)], [np.float64(2.458179510116577)], [np.float64(2.5700952367782595)], [np.float64(2.6081670093536378)], [np.float64(2.639126348495483)], [np.float64(2.7397325983047485)], [np.float64(2.9608506565094)], [np.float64(3.097831382751465)], [np.float64(3.2250737667083755)], [np.float64(3.727208390235901)], [np.float64(3.913436946868897)], [np.float64(4.110168598175049)], [np.float64(4.578694917678835)], [np.float64(6.497016304016121)], [np.float64(8.46635069847107)], [np.float64(9.637218318939214)], [np.float64(11.359005081176754)], [np.float64(18.07997888946534)], [np.float64(25.23981052398682)]]","[[np.float64(1.287789786787876)], [np.float64(1.2924463703214313)], [np.float64(1.2982342011861383)], [np.float64(1.3015600102980525)], [np.float64(1.304131990480225)], [np.float64(1.306597494807454)], [np.float64(1.3082774202438188)], [np.float64(1.3132177517987682)], [np.float64(1.3181578430804035)], [np.float64(1.320079174599129)], [np.float64(1.3298849462663183)], [np.float64(1.3327247977559726)], [np.float64(1.3515750091786443)], [np.float64(1.3608566140997433)], [np.float64(1.3760679673763219)], [np.float64(1.3925901576216604)], [np.float64(1.4162750160114206)], [np.float64(1.469854922201705)], [np.float64(1.7526680226729332)], [np.float64(1.7691824122426125)], [np.float64(2.1569124441746017)], [np.float64(2.2611590609929912)], [np.float64(2.3706154244891073)], [np.float64(3.1171297781243736)]]","[[np.float64(1.4696149239143257)], [np.float64(1.4838532840728895)], [np.float64(1.498132882733666)], [np.float64(1.5055815360090985)], [np.float64(1.5086805158041672)], [np.float64(1.5127780780319562)], [np.float64(1.516292256344724)], [np.float64(1.519242090084388)], [np.float64(1.5257732432043674)], [np.float64(1.5299615973992788)], [np.float64(1.532263235868116)], [np.float64(1.541382425231399)], [np.float64(1.5495639069456126)], [np.float64(1.5504753914315275)], [np.float64(1.5574004509612291)], [np.float64(1.5635954198755124)], [np.float64(1.5791567000534616)], [np.float64(1.6094111201030878)], [np.float64(1.6634016479744842)], [np.float64(1.7175310524981655)], [np.float64(1.7958629944804414)], [np.float64(2.0949532359313725)], [np.float64(2.2713296712202506)], [np.float64(2.7711364555984423)]]"
3,"[[np.float64(1.772845337867737)], [np.float64(1.9117110853195192)], [np.float64(1.9505072708129882)], [np.float64(2.0502676839828493)], [np.float64(2.20629421710968)], [np.float64(2.260279612541199)], [np.float64(2.3382907133102413)], [np.float64(2.4097318372726444)], [np.float64(2.464195540428162)], [np.float64(2.5124869918823243)], [np.float64(2.6227125463485716)], [np.float64(2.661378471374512)], [np.float64(2.6973455600738525)], [np.float64(2.7201461811065677)], [np.float64(2.7320968532562255)], [np.float64(2.881705189704895)], [np.float64(2.928159909248352)], [np.float64(3.2721833553314217)], [np.float64(3.5493136672973638)], [np.float64(3.8274746608734134)], [np.float64(5.312572174072266)], [np.float64(6.722976539611813)], [np.float64(9.850724121093757)], [np.float64(10.874961055755618)]]","[[np.float64(1.1757010005070487)], [np.float64(1.1838968359653472)], [np.float64(1.1904217362458214)], [np.float64(1.2010966484532684)], [np.float64(1.2023944461739666)], [np.float64(1.2069867180997353)], [np.float64(1.2120594201988262)], [np.float64(1.2182246367750842)], [np.float64(1.220854493248429)], [np.float64(1.2236376050427182)], [np.float64(1.2250372810371477)], [np.float64(1.2263851852808159)], [np.float64(1.2361880806380343)], [np.float64(1.2444209947458922)], [np.float64(1.255181360266594)], [np.float64(1.2597262325913632)], [np.float64(1.2887939338832068)], [np.float64(1.3270247622560158)], [np.float64(1.3529679645383106)], [np.float64(1.438104106481158)], [np.float64(1.5360432575602223)], [np.float64(1.6734755761313906)], [np.float64(1.8091799580434502)], [np.float64(1.9991642080448624)]]","[[np.float64(1.3328702204162457)], [np.float64(1.3436280786323627)], [np.float64(1.34562413509561)], [np.float64(1.3472097249582948)], [np.float64(1.3504404606726503)], [np.float64(1.3528584064664058)], [np.float64(1.3535006905761247)], [np.float64(1.354229760612187)], [np.float64(1.3546473080408783)], [np.float64(1.3561171427195737)], [np.float64(1.358261852188153)], [np.float64(1.3596194006102273)], [np.float64(1.3608591685806632)], [np.float64(1.3614403396895327)], [np.float64(1.3618727006673153)], [np.float64(1.3625033500063264)], [np.float64(1.3632944546427603)], [np.float64(1.3685523767758097)], [np.float64(1.3724771882411313)], [np.float64(1.3804594918039155)], [np.float64(1.4045951720868668)], [np.float64(1.439218038652525)], [np.float64(1.7655652925276812)], [np.float64(2.2764456400156354)]]"
4,"[[np.float64(1.5170833349227903)], [np.float64(1.82615385055542)], [np.float64(1.9138347215652467)], [np.float64(2.0222818908691407)], [np.float64(2.0837680530548095)], [np.float64(2.24165703201294)], [np.float64(2.378856948852539)], [np.float64(2.4358847160339354)], [np.float64(2.489382356643677)], [np.float64(2.5467028713226316)], [np.float64(2.5904098777770996)], [np.float64(2.667334753990173)], [np.float64(2.811932876586914)], [np.float64(2.982532325744629)], [np.float64(3.1079795074462893)], [np.float64(3.1961422061920164)], [np.float64(3.2466108675003054)], [np.float64(3.2883315486907962)], [np.float64(3.5227944622039806)], [np.float64(3.9328909301757813)], [np.float64(4.387862483978273)], [np.float64(4.576135899543762)], [np.float64(5.156656236648559)], [np.float64(6.792614391326906)]]","[[np.float64(1.1873454545017585)], [np.float64(1.196384804506536)], [np.float64(1.2004765635757761)], [np.float64(1.2037435851198017)], [np.float64(1.20643712632195)], [np.float64(1.208311300274592)], [np.float64(1.2094523578886116)], [np.float64(1.2114592196155738)], [np.float64(1.2138946507998607)], [np.float64(1.218147850931844)], [np.float64(1.2234430571159227)], [np.float64(1.225547655977718)], [np.float64(1.232148851658582)], [np.float64(1.239720713674518)], [np.float64(1.2492451712490957)], [np.float64(1.2547457357438223)], [np.float64(1.2615790399349496)], [np.float64(1.277671486814156)], [np.float64(1.3117959258013214)], [np.float64(1.3399303587538234)], [np.float64(1.3666195605083256)], [np.float64(1.404949867046419)], [np.float64(1.4590821266063159)], [np.float64(1.6412340069366842)]]","[[np.float64(1.2170958265375211)], [np.float64(1.2263203462471042)], [np.float64(1.2281601085163978)], [np.float64(1.2330075485562226)], [np.float64(1.2353244534489112)], [np.float64(1.238457689988857)], [np.float64(1.2416626231809236)], [np.float64(1.2437708299882049)], [np.float64(1.2452140720609766)], [np.float64(1.2468781268671232)], [np.float64(1.2488662658361345)], [np.float64(1.2517039605362896)], [np.float64(1.254474498048921)], [np.float64(1.2570867724175938)], [np.float64(1.259146202924795)], [np.float64(1.2601498428298281)], [np.float64(1.2612859648162877)], [np.float64(1.2627119044659096)], [np.float64(1.2668448560307646)], [np.float64(1.2700921576906354)], [np.float64(1.2735625338806027)], [np.float64(1.2776608347258047)], [np.float64(1.2860998442402323)], [np.float64(1.2995106917354506)]]"
5,"[[np.float64(1.4616777944564818)], [np.float64(1.6946375274658203)], [np.float64(1.7188401823043822)], [np.float64(1.7958231868743897)], [np.float64(1.9499892234802245)], [np.float64(2.0127403020858763)], [np.float64(2.129894157409668)], [np.float64(2.20441254901886)], [np.float64(2.351244514465332)], [np.float64(2.3859509372711183)], [np.float64(2.4161545305252075)], [np.float64(2.4321366586685182)], [np.float64(2.5157616271972656)], [np.float64(2.5686024560928344)], [np.float64(2.6008197021484376)], [np.float64(2.750207559585572)], [np.float64(3.131245056152344)], [np.float64(3.2389490871429443)], [np.float64(3.542564088821412)], [np.float64(3.9477773666381837)], [np.float64(5.240277582168583)], [np.float64(5.956866344451904)], [np.float64(6.823188726425173)], [np.float64(8.485370411872864)]]","[[np.float64(1.1116764574907083)], [np.float64(1.1261943458728223)], [np.float64(1.1374642048605075)], [np.float64(1.1397796613164457)], [np.float64(1.141008762217909)], [np.float64(1.1435821482221558)], [np.float64(1.1523867180636476)], [np.float64(1.1598683676527)], [np.float64(1.166119137268539)], [np.float64(1.1701418466551583)], [np.float64(1.1722600974667396)], [np.float64(1.1807725245023666)], [np.float64(1.1906934569544338)], [np.float64(1.1977781250718826)], [np.float64(1.2023934451498621)], [np.float64(1.2137410482696984)], [np.float64(1.2308215987754025)], [np.float64(1.2361163431133266)], [np.float64(1.2459875868183217)], [np.float64(1.254264513928773)], [np.float64(1.3434732768232645)], [np.float64(1.5029626917585583)], [np.float64(1.65492170855952)], [np.float64(1.880622956262279)]]","[[np.float64(1.207467778045633)], [np.float64(1.2096930477099923)], [np.float64(1.2115340107336243)], [np.float64(1.2138484979982647)], [np.float64(1.2182747069164084)], [np.float64(1.2206531289580287)], [np.float64(1.2228977821666633)], [np.float64(1.2242271925869317)], [np.float64(1.2259676273889832)], [np.float64(1.2278378857722447)], [np.float64(1.2301503717692786)], [np.float64(1.2315830099208678)], [np.float64(1.2318559927152763)], [np.float64(1.234567683959942)], [np.float64(1.2359717065105336)], [np.float64(1.2376422643985356)], [np.float64(1.239317415157294)], [np.float64(1.2402908167076476)], [np.float64(1.242166218344771)], [np.float64(1.243003737899965)], [np.float64(1.2448573174187936)], [np.float64(1.2522901199708965)], [np.float64(1.2622448801050616)], [np.float64(1.3369094283475669)]]"
6,"[[np.float64(1.1366837263107303)], [np.float64(1.606478693008423)], [np.float64(1.7037541399002074)], [np.float64(1.8180919036865235)], [np.float64(1.8616211223602295)], [np.float64(1.9690411596298218)], [np.float64(2.1484311361312867)], [np.float64(2.1935685710906982)], [np.float64(2.3190509691238406)], [np.float64(2.3974698638916014)], [np.float64(2.4546258935928345)], [np.float64(2.5673571472167973)], [np.float64(2.61715233707428)], [np.float64(2.755891132354736)], [np.float64(2.922196683883667)], [np.float64(2.9749631776809693)], [np.float64(3.0720187625885007)], [np.float64(3.288485223770143)], [np.float64(3.410131028175354)], [np.float64(3.5454463529586797)], [np.float64(4.268115896224979)], [np.float64(4.6819513330459595)], [np.float64(5.313866423606873)], [np.float64(9.473830657958988)]]","[[np.float64(1.089085540926466)], [np.float64(1.1065242774529296)], [np.float64(1.129027243108086)], [np.float64(1.1383931694854157)], [np.float64(1.145224787695251)], [np.float64(1.1485231025433538)], [np.float64(1.151035139177592)], [np.float64(1.1553883675822851)], [np.float64(1.1613455131381998)], [np.float64(1.1630665811502863)], [np.float64(1.1647689794675038)], [np.float64(1.1671304706656127)], [np.float64(1.172131342664021)], [np.float64(1.1754470035968718)], [np.float64(1.1823659318520643)], [np.float64(1.1953817930023989)], [np.float64(1.200547358508022)], [np.float64(1.2026395022837526)], [np.float64(1.2149714361011574)], [np.float64(1.2461300703602216)], [np.float64(1.287517554144522)], [np.float64(1.3467699502501895)], [np.float64(1.3525482135226445)], [np.float64(1.5712851238692827)]]","[[np.float64(1.1845274639738472)], [np.float64(1.188832647792774)], [np.float64(1.1916235785631002)], [np.float64(1.1956367632577047)], [np.float64(1.1963074738910298)], [np.float64(1.1974986286748082)], [np.float64(1.2008247759196224)], [np.float64(1.203135446326389)], [np.float64(1.2049333911144358)], [np.float64(1.2060210138341392)], [np.float64(1.2074007853979694)], [np.float64(1.2080747748922944)], [np.float64(1.2113706184311543)], [np.float64(1.2128194629715876)], [np.float64(1.2151639336643807)], [np.float64(1.2167592249690447)], [np.float64(1.2178646169095437)], [np.float64(1.219525845053725)], [np.float64(1.2211766389244734)], [np.float64(1.2246234916367396)], [np.float64(1.2357197799133286)], [np.float64(1.2432557796283696)], [np.float64(1.248389095703267)], [np.float64(1.3038452311624844)]]"
7,"[[np.float64(1.4330458621978759)], [np.float64(1.5746350307464603)], [np.float64(1.8128990173339845)], [np.float64(1.8603229427337646)], [np.float64(1.948916187286377)], [np.float64(1.977385048866272)], [np.float64(2.052653734207154)], [np.float64(2.147324870109558)], [np.float64(2.2745670452117923)], [np.float64(2.3192304706573488)], [np.float64(2.3980438966751096)], [np.float64(2.448364521026611)], [np.float64(2.5203453788757324)], [np.float64(2.5839416723251345)], [np.float64(2.6538375711441042)], [np.float64(2.7311306200027468)], [np.float64(2.8955033912658696)], [np.float64(2.9895439395904546)], [np.float64(3.356552833557128)], [np.float64(3.491656813621521)], [np.float64(3.7049241695404054)], [np.float64(3.8462284584045414)], [np.float64(4.021436466217041)], [np.float64(4.770955593109131)]]","[[np.float64(1.1679979625359898)], [np.float64(1.178330348097838)], [np.float64(1.1890422748399825)], [np.float64(1.1969430925623077)], [np.float64(1.2018180966623673)], [np.float64(1.2059456233521002)], [np.float64(1.2122958611911663)], [np.float64(1.215855172011809)], [np.float64(1.2201295106528947)], [np.float64(1.225717121276753)], [np.float64(1.22839828963413)], [np.float64(1.2321092186911524)], [np.float64(1.2356518677496815)], [np.float64(1.2411163194648565)], [np.float64(1.2501323193178286)], [np.float64(1.255289881980623)], [np.float64(1.2683287935767154)], [np.float64(1.281856117530608)], [np.float64(1.2978106925272246)], [np.float64(1.3226610632038007)], [np.float64(1.343410225859861)], [np.float64(1.3740673816094127)], [np.float64(1.4062824069395299)], [np.float64(1.4714937246192537)]]","[[np.float64(1.1210287055111088)], [np.float64(1.1260542189061047)], [np.float64(1.1355201097913448)], [np.float64(1.1399229423413428)], [np.float64(1.1420661134895387)], [np.float64(1.1430825513589917)], [np.float64(1.1473942268120416)], [np.float64(1.1522711804767432)], [np.float64(1.1532812730496194)], [np.float64(1.1556064692811678)], [np.float64(1.1611942322676287)], [np.float64(1.1656028183148452)], [np.float64(1.1689961541759804)], [np.float64(1.1723536946164173)], [np.float64(1.1765865362364545)], [np.float64(1.1781661889504207)], [np.float64(1.1826949234345172)], [np.float64(1.1852738771086726)], [np.float64(1.188079171377588)], [np.float64(1.2026888644978924)], [np.float64(1.2077106612898745)], [np.float64(1.2460512118506575)], [np.float64(1.26826727225601)], [np.float64(1.318605726613955)]]"
