fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(5.089438509540927), np.float64(5.089438509540927), np.float64(5.089438509540927), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(5.818936329821511), np.float64(11.236393308323596), np.float64(11.236393308323596), np.float64(11.236393308323596), np.float64(11.236393308323596), np.float64(11.236393308323596), np.float64(11.236393308323596), np.float64(11.236393308323596), np.float64(11.87257265225451), np.float64(11.87257265225451), np.float64(11.87257265225451), np.float64(19.10613293917634)]","[np.float64(5.913166256526631), np.float64(5.913166256526631), np.float64(5.913166256526631), np.float64(5.913166256526631), np.float64(5.913166256526631), np.float64(6.232102715746405), np.float64(6.232102715746405), np.float64(6.232102715746405), np.float64(6.589295439473952), np.float64(6.589295439473952), np.float64(6.83606623569607), np.float64(6.83606623569607), np.float64(6.83606623569607), np.float64(6.83606623569607), np.float64(6.900584323789238), np.float64(7.158656676161983), np.float64(7.159556975547181), np.float64(10.570274248941628), np.float64(12.289384892858275), np.float64(12.289384892858275), np.float64(12.289384892858275), np.float64(12.289384892858275), np.float64(17.361102224942154), np.float64(48.41913774514767)]","[np.float64(19.83325863998673), np.float64(19.83325863998673), np.float64(19.83325863998673), np.float64(19.83325863998673), np.float64(19.83325863998673), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.212631361072866), np.float64(23.527152747895908), np.float64(24.335922028297908), np.float64(24.335922028297908), np.float64(24.335922028297908), np.float64(24.335922028297908), np.float64(28.72721767411238), np.float64(33.40869934656397), np.float64(35.92443985606026), np.float64(36.32938186026349)]"
1,"[np.float64(2.9818616595847436), np.float64(4.070367516975993), np.float64(4.119432927934014), np.float64(4.274806729301081), np.float64(4.274806729301081), np.float64(4.274806729301081), np.float64(5.490338073722595), np.float64(5.490338073722595), np.float64(5.490338073722595), np.float64(7.038115035832141), np.float64(7.038115035832141), np.float64(7.038115035832141), np.float64(7.38761190242223), np.float64(7.5938096480441395), np.float64(7.5938096480441395), np.float64(9.36593658548587), np.float64(9.998424377104895), np.float64(9.998424377104895), np.float64(10.352169184430576), np.float64(10.352169184430576), np.float64(11.647899664186669), np.float64(11.647899664186669), np.float64(11.647899664186669), np.float64(13.341896826932935)]","[np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(6.477814133635938), np.float64(8.084232376573425), np.float64(8.822908174322993), np.float64(9.315358706156038), np.float64(9.315358706156038), np.float64(10.06656117766806), np.float64(10.209647362717964)]","[np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586), np.float64(20.089068192652586)]"
2,"[np.float64(3.306806670161977), np.float64(3.306806670161977), np.float64(3.306806670161977), np.float64(4.049509756796392), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.4013684240536355), np.float64(4.456492625063926), np.float64(5.779473449310087), np.float64(5.779473449310087), np.float64(5.779473449310087), np.float64(6.288524718646698), np.float64(6.288524718646698), np.float64(7.77085234398217), np.float64(10.509806807305226), np.float64(12.431304245309176), np.float64(12.905529850664283), np.float64(12.905529850664283), np.float64(21.053907271203233)]","[np.float64(3.869384441354927), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(4.884449990753703), np.float64(5.3262725701332245), np.float64(7.093562887651254), np.float64(7.093562887651254), np.float64(7.093562887651254), np.float64(7.093562887651254), np.float64(7.093562887651254), np.float64(11.989536438083771), np.float64(11.989536438083771), np.float64(11.989536438083771), np.float64(11.989536438083771)]","[np.float64(4.951649039637626), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(5.949720554272084), np.float64(6.125519335349044), np.float64(6.132844284560697), np.float64(6.353580859525398), np.float64(6.353580859525398), np.float64(6.353580859525398), np.float64(8.030279983868645), np.float64(8.030279983868645), np.float64(8.030279983868645), np.float64(8.030279983868645), np.float64(8.030279983868645), np.float64(12.675290270163984), np.float64(16.482548104463895), np.float64(28.741582528185987)]"
3,"[np.float64(2.618033988749895), np.float64(2.864911064067352), np.float64(2.864911064067352), np.float64(3.1019159317142764), np.float64(4.513064181662056), np.float64(4.513064181662056), np.float64(4.513064181662056), np.float64(4.513064181662056), np.float64(4.513064181662056), np.float64(4.513064181662056), np.float64(5.547974704713898), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(5.622698528083971), np.float64(7.49946527603142), np.float64(8.092128459593779), np.float64(8.092128459593779)]","[np.float64(3.432349689172942), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(3.989354734775746), np.float64(4.102216955034744), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(4.106919547545527), np.float64(5.311534537887305), np.float64(8.205193121912508), np.float64(9.11898004318365), np.float64(9.11898004318365)]","[np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(4.976625474054143), np.float64(5.084332228848149), np.float64(5.176674090566041), np.float64(5.176674090566041), np.float64(5.282465050439892), np.float64(6.058265422847676), np.float64(6.084636885408805), np.float64(6.970304072623771), np.float64(8.530699502329028), np.float64(8.66615744820724), np.float64(8.66615744820724), np.float64(8.66615744820724), np.float64(8.66615744820724), np.float64(8.66615744820724), np.float64(29.609319373884272)]"
4,"[np.float64(4.724300574992789), np.float64(4.732526648950187), np.float64(4.74092117610709), np.float64(4.767503845437283), np.float64(4.767503845437283), np.float64(4.7853728802156175), np.float64(4.80473100122548), np.float64(4.80473100122548), np.float64(4.80473100122548), np.float64(4.80473100122548), np.float64(4.80473100122548), np.float64(4.80473100122548), np.float64(4.80473100122548), np.float64(4.862284718114436), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(5.284345308633444), np.float64(6.8627476246906784)]","[np.float64(2.268709017146954), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(2.6440809730893844), np.float64(3.9888195424093746), np.float64(4.044850316130667), np.float64(4.044850316130667), np.float64(4.044850316130667), np.float64(4.044850316130667), np.float64(4.044850316130667), np.float64(4.044850316130667), np.float64(4.044850316130667), np.float64(4.139728250640135), np.float64(4.20298020697978), np.float64(4.20298020697978), np.float64(4.20298020697978), np.float64(4.20298020697978)]","[np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453), np.float64(7.01536506688453)]"
5,"[np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(4.677813656173877), np.float64(5.440482509990479), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.4588359479067385), np.float64(5.55540941324232), np.float64(5.585906297032504), np.float64(5.585906297032504)]","[np.float64(2.35483170074866), np.float64(2.9886796430259057), np.float64(3.830005363994425), np.float64(3.830005363994425), np.float64(3.830005363994425), np.float64(3.830005363994425), np.float64(4.03662077534785), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.19896145569696), np.float64(4.289614929855138), np.float64(4.404992078783746), np.float64(4.404992078783746), np.float64(4.404992078783746), np.float64(4.404992078783746), np.float64(4.404992078783746), np.float64(4.404992078783746)]","[np.float64(3.07051310269165), np.float64(3.809199420779914), np.float64(3.809199420779914), np.float64(3.809199420779914), np.float64(3.809199420779914), np.float64(4.196718524302411), np.float64(4.616530886451707), np.float64(4.616530886451707), np.float64(4.616530886451707), np.float64(4.616530886451707), np.float64(4.616530886451707), np.float64(4.616530886451707), np.float64(4.705076389379111), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473), np.float64(6.83016845963473)]"
6,"[np.float64(3.992242630356303), np.float64(3.992242630356303), np.float64(3.992242630356303), np.float64(3.992242630356303), np.float64(3.992242630356303), np.float64(4.022317895142685), np.float64(4.117556233632894), np.float64(4.117556233632894), np.float64(4.117556233632894), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.406597624085), np.float64(4.58113883008419), np.float64(6.845840206146234), np.float64(11.4866320336742)]","[np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.2584844837765936), np.float64(3.5361379171265126), np.float64(3.6502815398728847), np.float64(5.024060076579805), np.float64(5.024060076579805), np.float64(5.096021136112266)]","[np.float64(3.605551275463989), np.float64(4.623953443745633), np.float64(4.623953443745633), np.float64(4.623953443745633), np.float64(4.623953443745633), np.float64(4.623953443745633), np.float64(4.623953443745633), np.float64(4.623953443745633), np.float64(5.082738228026389), np.float64(5.082738228026389), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946), np.float64(5.370858377298946)]"
7,"[np.float64(3.589561822268011), np.float64(3.589561822268011), np.float64(3.589561822268011), np.float64(3.589561822268011), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.021716343515133), np.float64(4.314788328031062), np.float64(4.407337375772935), np.float64(4.407337375772935), np.float64(4.407337375772935), np.float64(5.319064976716553), np.float64(6.287506933030016)]","[np.float64(2.4433467913726368), np.float64(2.4629568256597225), np.float64(2.4629568256597225), np.float64(2.4629568256597225), np.float64(2.4629568256597225), np.float64(2.4629568256597225), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(3.2541890202705237), np.float64(5.808087022479891), np.float64(5.808087022479891), np.float64(5.808087022479891)]","[np.float64(3.605551275463989), np.float64(4.483354569550291), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.6123686368834775), np.float64(4.858500703459226), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.085699534144243), np.float64(5.396465767248548), np.float64(5.438842980853736), np.float64(5.438842980853736)]"
