fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(3.4765588645935055)], [np.float64(4.264498111724854)], [np.float64(5.107234603881836)], [np.float64(6.049175861358643)], [np.float64(7.837013540267944)], [np.float64(8.312940130233764)], [np.float64(8.909474385261536)], [np.float64(9.188946960449218)], [np.float64(9.515348922729492)], [np.float64(9.603775167465212)], [np.float64(10.087815616607665)], [np.float64(10.164782388687135)], [np.float64(10.365494983673095)], [np.float64(10.732389976501464)], [np.float64(11.049037799835206)], [np.float64(11.314793788909913)], [np.float64(11.505507658958432)], [np.float64(11.953988372802737)], [np.float64(14.549268524169927)], [np.float64(16.800533981323245)], [np.float64(19.38933978271486)], [np.float64(20.945057247161866)], [np.float64(23.054537109375005)], [np.float64(35.21026574707034)]]","[[np.float64(2.008049467639625)], [np.float64(2.03798063395655)], [np.float64(2.0456833641129224)], [np.float64(2.0735569634384334)], [np.float64(2.090003217231375)], [np.float64(2.1012524716441012)], [np.float64(2.1195430305616734)], [np.float64(2.121065384842433)], [np.float64(2.1262703294410605)], [np.float64(2.139778650337243)], [np.float64(2.165215472925841)], [np.float64(2.1907054516419513)], [np.float64(2.2226625325546694)], [np.float64(2.2423450074324123)], [np.float64(2.2856121344736646)], [np.float64(2.3739038115099897)], [np.float64(2.5945658909448923)], [np.float64(2.7334938859636324)], [np.float64(2.8111832268664942)], [np.float64(3.0604673626034895)], [np.float64(3.3654533203224375)], [np.float64(3.838457444234866)], [np.float64(4.037847789010028)], [np.float64(4.616285234444674)]]","[[np.float64(1.6307252436628317)], [np.float64(1.663374236240657)], [np.float64(1.6907406707390193)], [np.float64(1.722735921857831)], [np.float64(1.7509202500122438)], [np.float64(1.7744927323373845)], [np.float64(1.7820513490347714)], [np.float64(1.8212520553229414)], [np.float64(1.8522932055739205)], [np.float64(1.8731310431021955)], [np.float64(1.8911952949989284)], [np.float64(1.9405379005118268)], [np.float64(1.959472497285967)], [np.float64(2.046250565774129)], [np.float64(2.0779741858795093)], [np.float64(2.13679591790297)], [np.float64(2.2802329850255547)], [np.float64(2.3495222008261556)], [np.float64(2.6616962557881823)], [np.float64(2.7609269509468466)], [np.float64(2.875911792509617)], [np.float64(2.9950344727433227)], [np.float64(3.1694938367574466)], [np.float64(3.2149441125575504)]]"
1,"[[np.float64(1.4473187637329101)], [np.float64(1.6958545036315917)], [np.float64(2.3453405303955077)], [np.float64(2.4546276712417603)], [np.float64(2.6709666633605957)], [np.float64(2.7565213737487793)], [np.float64(2.8492938871383666)], [np.float64(2.9198015289306642)], [np.float64(3.1082354459762573)], [np.float64(3.164517278671265)], [np.float64(3.2120022468566893)], [np.float64(3.2329566526412963)], [np.float64(3.3213105354309085)], [np.float64(3.5571348648071295)], [np.float64(3.8190362071990975)], [np.float64(4.00575289440155)], [np.float64(4.37407943534851)], [np.float64(5.4988190078735375)], [np.float64(11.756383579254157)], [np.float64(13.310005035400392)], [np.float64(15.66200666046144)], [np.float64(17.984352863311766)], [np.float64(25.03077729797366)], [np.float64(49.118106628418)]]","[[np.float64(1.6052818553125106)], [np.float64(1.616218318800992)], [np.float64(1.6254549166054602)], [np.float64(1.6329257489588889)], [np.float64(1.6381686779046554)], [np.float64(1.6423317454528006)], [np.float64(1.6429548069550857)], [np.float64(1.6459420916619731)], [np.float64(1.660663240651097)], [np.float64(1.6644345758909467)], [np.float64(1.6786620520324296)], [np.float64(1.6855148574574226)], [np.float64(1.694018873307925)], [np.float64(1.7018016081431449)], [np.float64(1.7470237239881674)], [np.float64(1.76079212675837)], [np.float64(1.8212527826662652)], [np.float64(1.8337895497146504)], [np.float64(1.8703551205317006)], [np.float64(1.908965430223698)], [np.float64(1.9324424480958924)], [np.float64(2.1884260898620282)], [np.float64(2.4181872629854784)], [np.float64(3.0205679200819158)]]","[[np.float64(1.1872126145957886)], [np.float64(1.1901113241102024)], [np.float64(1.1946124981780342)], [np.float64(1.202467457845007)], [np.float64(1.208580562510524)], [np.float64(1.2123700102924275)], [np.float64(1.217313780919518)], [np.float64(1.219790144497779)], [np.float64(1.2214029442236178)], [np.float64(1.222971668555698)], [np.float64(1.230991194318396)], [np.float64(1.2372793872829748)], [np.float64(1.2401555334280765)], [np.float64(1.247851716012505)], [np.float64(1.2514401733786968)], [np.float64(1.2537498878281785)], [np.float64(1.25872113869767)], [np.float64(1.262717319128499)], [np.float64(1.272264143244665)], [np.float64(1.2744654716679915)], [np.float64(1.2837974882714418)], [np.float64(1.3287945821877623)], [np.float64(1.3950605007973045)], [np.float64(1.8273142088146332)]]"
2,"[[np.float64(2.018850234031677)], [np.float64(2.393699573516846)], [np.float64(2.6625466022491455)], [np.float64(2.9936740894317624)], [np.float64(3.074914560317993)], [np.float64(3.2514137229919435)], [np.float64(3.28917658996582)], [np.float64(3.469432101249695)], [np.float64(3.740836019515991)], [np.float64(3.83352481842041)], [np.float64(3.9095071086883544)], [np.float64(4.1299921875)], [np.float64(4.343565141677856)], [np.float64(4.562886379241943)], [np.float64(4.829964342117311)], [np.float64(5.363709770202637)], [np.float64(6.195340908050537)], [np.float64(6.665121671676636)], [np.float64(9.691677902221684)], [np.float64(13.118539218902587)], [np.float64(16.705068634033225)], [np.float64(23.90876277160644)], [np.float64(33.318967056274445)], [np.float64(60.74847225952153)]]","[[np.float64(1.3893960871456705)], [np.float64(1.3987675841434364)], [np.float64(1.406291569084261)], [np.float64(1.4203169051658768)], [np.float64(1.422819352660038)], [np.float64(1.4372329408180708)], [np.float64(1.4442349075637122)], [np.float64(1.4609890227924842)], [np.float64(1.4892929886251534)], [np.float64(1.5090192719617772)], [np.float64(1.5362675297163038)], [np.float64(1.5792913572171223)], [np.float64(1.5987181128722927)], [np.float64(1.6395708194965535)], [np.float64(1.675217223625746)], [np.float64(1.7406673695997485)], [np.float64(1.755238589520783)], [np.float64(1.766710783380721)], [np.float64(1.8450210990991263)], [np.float64(1.9223642285497453)], [np.float64(2.0453243418518765)], [np.float64(2.3253824788381983)], [np.float64(2.575923800734235)], [np.float64(2.7284907461909462)]]","[[np.float64(1.220869382782359)], [np.float64(1.2418850100366137)], [np.float64(1.2518066661493898)], [np.float64(1.2554161292853667)], [np.float64(1.2596287746673929)], [np.float64(1.261076042494297)], [np.float64(1.271497786877079)], [np.float64(1.2945657270310302)], [np.float64(1.3094458229904988)], [np.float64(1.3271590573999852)], [np.float64(1.3455808538772973)], [np.float64(1.3601018349873646)], [np.float64(1.3704843325053053)], [np.float64(1.389001098335981)], [np.float64(1.420682936968476)], [np.float64(1.4470119838421767)], [np.float64(1.4975167203934758)], [np.float64(1.5191607576373405)], [np.float64(1.5251735249629812)], [np.float64(1.6086922069182747)], [np.float64(1.7483211442996889)], [np.float64(2.029940248079335)], [np.float64(2.4163742051585793)], [np.float64(2.9477296520781495)]]"
3,"[[np.float64(1.72008238697052)], [np.float64(2.0290381479263306)], [np.float64(2.2934123163223266)], [np.float64(2.3511011123657224)], [np.float64(2.493920783996582)], [np.float64(2.548258807182312)], [np.float64(2.619577003479004)], [np.float64(2.7060341701507573)], [np.float64(2.7895828886032104)], [np.float64(2.9049893617630005)], [np.float64(3.1070829849243164)], [np.float64(3.2416478996276856)], [np.float64(3.4733357524871824)], [np.float64(3.5862031517028825)], [np.float64(3.9945015859603883)], [np.float64(4.084562386512756)], [np.float64(4.6877403182983395)], [np.float64(4.95997763824463)], [np.float64(5.630508548736574)], [np.float64(6.40947151184082)], [np.float64(7.525755828857423)], [np.float64(9.611402332305905)], [np.float64(12.053614269256597)], [np.float64(21.812092712402357)]]","[[np.float64(1.2960100344370595)], [np.float64(1.2995009835175186)], [np.float64(1.3044961300878928)], [np.float64(1.3083176470462456)], [np.float64(1.3120735358776492)], [np.float64(1.3133160107511113)], [np.float64(1.3166769883705574)], [np.float64(1.319888048916212)], [np.float64(1.3322786132765365)], [np.float64(1.335149993727248)], [np.float64(1.340926061884645)], [np.float64(1.3670775853942128)], [np.float64(1.3795154097979072)], [np.float64(1.3980455148522128)], [np.float64(1.4185181730931102)], [np.float64(1.4379174082161936)], [np.float64(1.4518132229088734)], [np.float64(1.462811842285746)], [np.float64(1.5201074366396616)], [np.float64(1.7077838070849178)], [np.float64(1.7624616769570898)], [np.float64(1.871035391466606)], [np.float64(2.0070790960688534)], [np.float64(2.378285951028543)]]","[[np.float64(1.2316422990005464)], [np.float64(1.2350091665647513)], [np.float64(1.2395713624625189)], [np.float64(1.2457988293539983)], [np.float64(1.2468992199175353)], [np.float64(1.2497408409722899)], [np.float64(1.2531877508572786)], [np.float64(1.2583250893472178)], [np.float64(1.261633305670066)], [np.float64(1.2655912637445497)], [np.float64(1.2687778530140417)], [np.float64(1.2734190546896555)], [np.float64(1.277430550030912)], [np.float64(1.292699437199545)], [np.float64(1.2994041397855243)], [np.float64(1.3032955806627995)], [np.float64(1.31462634072141)], [np.float64(1.336808877749019)], [np.float64(1.3523391291031628)], [np.float64(1.3624193812635046)], [np.float64(1.3644398928943726)], [np.float64(1.389118288951593)], [np.float64(1.5836815576400254)], [np.float64(1.7908181227427775)]]"
4,"[[np.float64(1.7749092750549318)], [np.float64(1.9273554182052615)], [np.float64(2.069296829223633)], [np.float64(2.1606936616897583)], [np.float64(2.3985821628570556)], [np.float64(2.4527061347961423)], [np.float64(2.5603596754074096)], [np.float64(2.8113506307601925)], [np.float64(3.0415853157043458)], [np.float64(3.2388901424407956)], [np.float64(3.2940925731658934)], [np.float64(3.3091169319152836)], [np.float64(3.3589853429794307)], [np.float64(3.638426683425904)], [np.float64(3.8015351104736332)], [np.float64(4.468854858398438)], [np.float64(4.496296335220337)], [np.float64(4.583732944488526)], [np.float64(4.859251537322999)], [np.float64(5.155624127388)], [np.float64(6.530230426788338)], [np.float64(8.971000576019286)], [np.float64(14.23732933044435)], [np.float64(19.318680744171147)]]","[[np.float64(1.2584462020717277)], [np.float64(1.261543460485995)], [np.float64(1.263426749624719)], [np.float64(1.2904232091779082)], [np.float64(1.2983615994481554)], [np.float64(1.310023180044902)], [np.float64(1.3125610842064948)], [np.float64(1.3536400350472362)], [np.float64(1.3640285911386978)], [np.float64(1.3811214200230573)], [np.float64(1.3901937671010531)], [np.float64(1.4077704594768987)], [np.float64(1.4155844262485429)], [np.float64(1.4403700455021646)], [np.float64(1.4585285012493787)], [np.float64(1.5204293481635451)], [np.float64(1.589535112896386)], [np.float64(1.6351699362436583)], [np.float64(1.786382628414974)], [np.float64(1.9369936178219258)], [np.float64(2.0700138917595505)], [np.float64(2.4262000973169737)], [np.float64(3.4356025947726714)], [np.float64(3.788742936119664)]]","[[np.float64(1.1769014538651672)], [np.float64(1.180524663566922)], [np.float64(1.1816270457568954)], [np.float64(1.1831384283157307)], [np.float64(1.1838370446604483)], [np.float64(1.185382512385338)], [np.float64(1.186698840761202)], [np.float64(1.1902983069298287)], [np.float64(1.1949838986759083)], [np.float64(1.1973679844572738)], [np.float64(1.197426366371125)], [np.float64(1.1998894327782432)], [np.float64(1.2026220459645456)], [np.float64(1.204398692262549)], [np.float64(1.2110452036414823)], [np.float64(1.215472210485635)], [np.float64(1.2275645344563415)], [np.float64(1.2354097517182667)], [np.float64(1.2672955078871884)], [np.float64(1.2875492321696207)], [np.float64(1.3766066301665587)], [np.float64(1.4644724111340497)], [np.float64(1.6808320631838765)], [np.float64(4.991412598464154)]]"
5,"[[np.float64(2.2156441841125485)], [np.float64(2.2500451984405516)], [np.float64(2.3081255989074707)], [np.float64(2.384720588684082)], [np.float64(2.5534205055236816)], [np.float64(2.6992102785110474)], [np.float64(2.90134375)], [np.float64(3.0196910467147826)], [np.float64(3.191897410392761)], [np.float64(3.5236090612411495)], [np.float64(3.8255454854965207)], [np.float64(3.911248525619507)], [np.float64(4.002379314422607)], [np.float64(4.337535768508915)], [np.float64(5.10504545211792)], [np.float64(5.180060011863708)], [np.float64(5.816531288146972)], [np.float64(5.933453388214112)], [np.float64(6.471395341873171)], [np.float64(8.475309944152837)], [np.float64(11.612435783386234)], [np.float64(14.086219997406005)], [np.float64(20.240575820922857)], [np.float64(59.883994171142646)]]","[[np.float64(1.254845907265257)], [np.float64(1.260259162816223)], [np.float64(1.265643440085511)], [np.float64(1.277121819126522)], [np.float64(1.2858085088876863)], [np.float64(1.2957249720118762)], [np.float64(1.3413841721992534)], [np.float64(1.3495229142535876)], [np.float64(1.3612344188161136)], [np.float64(1.3887534444827387)], [np.float64(1.4201248217716482)], [np.float64(1.4748838634889132)], [np.float64(1.5226173198897888)], [np.float64(1.530161430457494)], [np.float64(1.5775659789980747)], [np.float64(1.5995533654743412)], [np.float64(1.6336907711534143)], [np.float64(1.6915879211185527)], [np.float64(1.8501780830071548)], [np.float64(2.0153338491795307)], [np.float64(2.130342526088285)], [np.float64(2.2871289746637267)], [np.float64(2.522353503392938)], [np.float64(2.6352523580462535)]]","[[np.float64(1.1722865393821271)], [np.float64(1.1734993347911742)], [np.float64(1.1751765481486711)], [np.float64(1.1804205462784607)], [np.float64(1.1823432332966177)], [np.float64(1.1856883291416038)], [np.float64(1.1877201938230162)], [np.float64(1.189685161724821)], [np.float64(1.1928800939459525)], [np.float64(1.194114951734015)], [np.float64(1.1976247374062414)], [np.float64(1.1997386303737094)], [np.float64(1.201817755285431)], [np.float64(1.202073082505934)], [np.float64(1.2095913520911068)], [np.float64(1.2200399394555863)], [np.float64(1.248418419439153)], [np.float64(1.2582018798883234)], [np.float64(1.2654960077958068)], [np.float64(1.2710831507035354)], [np.float64(1.340569080333388)], [np.float64(1.3835718871983542)], [np.float64(1.5311731983795438)], [np.float64(1.8779674010574727)]]"
6,"[[np.float64(1.3881333084106444)], [np.float64(2.2107683801651)], [np.float64(2.3110017156600953)], [np.float64(2.941886578559876)], [np.float64(3.124473075866699)], [np.float64(3.163027798652649)], [np.float64(3.246799936294556)], [np.float64(3.3309228591918947)], [np.float64(3.3991297483444214)], [np.float64(3.4846846961975095)], [np.float64(3.5623349742889405)], [np.float64(3.704224423408508)], [np.float64(3.9698297615051272)], [np.float64(4.179848163604737)], [np.float64(4.50214349269867)], [np.float64(4.802297069549561)], [np.float64(4.971467597961426)], [np.float64(4.9993637104034425)], [np.float64(5.643155220031738)], [np.float64(6.111523981094362)], [np.float64(14.279716480255152)], [np.float64(16.29001036834717)], [np.float64(26.5310162086487)], [np.float64(67.8883747253418)]]","[[np.float64(1.2094260028628538)], [np.float64(1.2164623723592352)], [np.float64(1.2206239830090964)], [np.float64(1.232125915618021)], [np.float64(1.2346420693036981)], [np.float64(1.2405821967031443)], [np.float64(1.24439147692904)], [np.float64(1.2556935658777613)], [np.float64(1.2807738413501102)], [np.float64(1.331179046639799)], [np.float64(1.357065204474422)], [np.float64(1.3746321998528515)], [np.float64(1.4091364555845842)], [np.float64(1.434921559176396)], [np.float64(1.4535673429248654)], [np.float64(1.4683137750196271)], [np.float64(1.476894242962739)], [np.float64(1.5039360840339213)], [np.float64(1.6077851141577588)], [np.float64(1.6911356210834163)], [np.float64(1.8075261452263942)], [np.float64(2.353127879335502)], [np.float64(2.565384257258954)], [np.float64(3.6853271860246815)]]","[[np.float64(1.1419085418390353)], [np.float64(1.1465808159021103)], [np.float64(1.152326341190268)], [np.float64(1.1607702224390386)], [np.float64(1.1634297804955023)], [np.float64(1.1650524164346658)], [np.float64(1.1677729693264691)], [np.float64(1.170781953475498)], [np.float64(1.1751083452008908)], [np.float64(1.1825773806314395)], [np.float64(1.189078276986582)], [np.float64(1.1912563301885828)], [np.float64(1.1954159186077373)], [np.float64(1.2135370638495562)], [np.float64(1.2304991698717294)], [np.float64(1.2407693199676237)], [np.float64(1.2884387438333897)], [np.float64(1.3052758471415038)], [np.float64(1.3916029081938857)], [np.float64(1.4696220470980783)], [np.float64(1.492723899752022)], [np.float64(1.67277383495494)], [np.float64(1.8075282441530405)], [np.float64(2.0366934475883323)]]"
7,"[[np.float64(1.9801333084106445)], [np.float64(2.3827960548400875)], [np.float64(2.5226581306457523)], [np.float64(2.8219459381103515)], [np.float64(3.1190259218215943)], [np.float64(3.1834116668701173)], [np.float64(3.3422307205200195)], [np.float64(3.715031958580017)], [np.float64(3.862454029083252)], [np.float64(4.059351577758789)], [np.float64(4.168693153381348)], [np.float64(4.235327583312989)], [np.float64(4.458663230895996)], [np.float64(4.799307323455811)], [np.float64(4.903422918319703)], [np.float64(5.241588422775269)], [np.float64(6.2613911609649655)], [np.float64(7.589244957923896)], [np.float64(10.627150863647463)], [np.float64(15.277979030609146)], [np.float64(24.027911544799807)], [np.float64(27.89965277862549)], [np.float64(33.032348335266114)], [np.float64(74.7528813323975)]]","[[np.float64(1.3694471931136487)], [np.float64(1.3783475116173345)], [np.float64(1.382641159372373)], [np.float64(1.3920123380060934)], [np.float64(1.413602926532076)], [np.float64(1.4264664975845782)], [np.float64(1.4380723194956677)], [np.float64(1.4590840190767094)], [np.float64(1.4722241925702624)], [np.float64(1.491323121581199)], [np.float64(1.5038360068175949)], [np.float64(1.5218193673815887)], [np.float64(1.5452414449876242)], [np.float64(1.5683817021610804)], [np.float64(1.6139059730418264)], [np.float64(1.652958246885747)], [np.float64(1.783768082364012)], [np.float64(2.017526783756341)], [np.float64(2.0673483300676145)], [np.float64(2.17204502064221)], [np.float64(2.2477568998310034)], [np.float64(2.295247118465772)], [np.float64(3.2669977118796756)], [np.float64(3.4621821478207315)]]","[[np.float64(1.1191596985989563)], [np.float64(1.1281016396939532)], [np.float64(1.137036313867051)], [np.float64(1.1447651251663737)], [np.float64(1.1482035560505912)], [np.float64(1.1515432572789004)], [np.float64(1.1577743859680238)], [np.float64(1.1612982165142625)], [np.float64(1.1701681120251435)], [np.float64(1.1784276630545398)], [np.float64(1.1804119898878607)], [np.float64(1.1816822743647504)], [np.float64(1.1824786293418243)], [np.float64(1.1943977458740813)], [np.float64(1.2066740164170275)], [np.float64(1.218522713417272)], [np.float64(1.24411848784322)], [np.float64(1.2596183536810743)], [np.float64(1.297609143883553)], [np.float64(1.5253551055027308)], [np.float64(1.6070645912408885)], [np.float64(1.7082768588668598)], [np.float64(1.8410852289284019)], [np.float64(3.0921610854563637)]]"
