fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(11.05099053830533), np.float64(11.05099053830533), np.float64(11.05099053830533), np.float64(14.245675644867799), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(16.811126168100607), np.float64(24.039049319988912), np.float64(26.32155136795371), np.float64(32.68161379625656)]","[np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(10.152346999449444), np.float64(11.087993192593784), np.float64(11.087993192593784), np.float64(18.953011171005063), np.float64(24.154574255696485), np.float64(24.154574255696485), np.float64(24.154574255696485), np.float64(24.154574255696485), np.float64(24.154574255696485), np.float64(24.154574255696485)]","[np.float64(9.627665489993035), np.float64(9.627665489993035), np.float64(9.627665489993035), np.float64(9.697360434781585), np.float64(9.84546219245731), np.float64(10.136609787444513), np.float64(10.136609787444513), np.float64(10.136609787444513), np.float64(10.136609787444513), np.float64(12.492718542541137), np.float64(12.492718542541137), np.float64(12.492718542541137), np.float64(12.492718542541137), np.float64(12.492718542541137), np.float64(12.492718542541137), np.float64(12.492718542541137), np.float64(16.218199232185018), np.float64(16.218199232185018), np.float64(16.218199232185018), np.float64(16.218199232185018), np.float64(16.218199232185018), np.float64(16.218199232185018), np.float64(16.218199232185018), np.float64(25.579949510827127)]"
1,"[np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(7.907579206952367), np.float64(8.018353939770387), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(8.830701980435812), np.float64(16.27402936775123), np.float64(30.52380828848035)]","[np.float64(7.071558572985446), np.float64(7.234976516593282), np.float64(8.289629686024853), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(9.00636880170234), np.float64(11.211641069931654), np.float64(44.247416025046405)]","[np.float64(7.76282967284644), np.float64(7.76282967284644), np.float64(7.76282967284644), np.float64(7.76282967284644), np.float64(7.76282967284644), np.float64(7.76282967284644), np.float64(7.76282967284644), np.float64(7.8945376474460325), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(7.968623383158304), np.float64(8.250386882292082), np.float64(10.01730279268386), np.float64(11.323435893276761), np.float64(11.323435893276761), np.float64(11.323435893276761), np.float64(11.323435893276761), np.float64(35.275836539002476)]"
2,"[np.float64(6.468180122392324), np.float64(6.468180122392324), np.float64(6.468180122392324), np.float64(6.468180122392324), np.float64(6.468180122392324), np.float64(6.468180122392324), np.float64(7.421297769827116), np.float64(7.421297769827116), np.float64(7.421297769827116), np.float64(7.421297769827116), np.float64(7.564461119350483), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.583983394285487), np.float64(7.76579726851068), np.float64(17.350924869283446), np.float64(20.128509814390416), np.float64(20.128509814390416), np.float64(42.132077388954514)]","[np.float64(5.588988100656261), np.float64(5.588988100656261), np.float64(5.588988100656261), np.float64(5.588988100656261), np.float64(6.251635348435745), np.float64(7.532978574228259), np.float64(8.28701289285505), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(8.634859817968163), np.float64(9.936674356868677)]","[np.float64(5.495610993501713), np.float64(5.888437806097525), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(7.950778572225424), np.float64(37.115362872845246), np.float64(44.599243401638944), np.float64(44.599243401638944)]"
3,"[np.float64(5.299421621315904), np.float64(5.299421621315904), np.float64(5.429766895531483), np.float64(5.842526930547493), np.float64(5.98188058182075), np.float64(6.2814108657854355), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(6.379452323428138), np.float64(8.185019299347635), np.float64(8.660783211955849), np.float64(8.660783211955849), np.float64(15.207865322366196), np.float64(18.441556471578377), np.float64(18.441556471578377), np.float64(18.441556471578377), np.float64(18.441556471578377), np.float64(19.338493329558062)]","[np.float64(6.021992927418526), np.float64(6.34425962098168), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.708336769294749), np.float64(6.785323035040552), np.float64(7.093268098023654), np.float64(7.093268098023654), np.float64(7.093268098023654), np.float64(7.093268098023654), np.float64(13.913000181177498), np.float64(18.45948823661338), np.float64(18.45948823661338), np.float64(18.45948823661338), np.float64(18.45948823661338)]","[np.float64(6.65685755851516), np.float64(6.65685755851516), np.float64(6.65685755851516), np.float64(6.65685755851516), np.float64(6.65685755851516), np.float64(6.65685755851516), np.float64(6.65685755851516), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(7.9937478137893265), np.float64(8.166478494533987), np.float64(8.473555260302245), np.float64(8.473555260302245), np.float64(8.473555260302245), np.float64(8.473555260302245), np.float64(8.473555260302245), np.float64(8.473555260302245), np.float64(44.483770157901326)]"
4,"[np.float64(9.35113967228354), np.float64(9.35113967228354), np.float64(9.35113967228354), np.float64(9.35113967228354), np.float64(9.550217181387486), np.float64(9.848833445043406), np.float64(9.848833445043406), np.float64(9.848833445043406), np.float64(9.848833445043406), np.float64(9.848833445043406), np.float64(9.848833445043406), np.float64(9.866247504592272), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(9.866973090406807), np.float64(13.097474763869872), np.float64(18.6133742611582)]","[np.float64(7.562344275712941), np.float64(7.562344275712941), np.float64(7.562344275712941), np.float64(7.562344275712941), np.float64(8.212055023618307), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(8.53013755904582), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(9.442582568885522), np.float64(20.03152217079022)]","[np.float64(7.721880793981936), np.float64(7.721880793981936), np.float64(7.919190302302444), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(9.532827065123591), np.float64(10.069258272147236), np.float64(10.091609572439888), np.float64(10.246124483308593), np.float64(11.379233829679164), np.float64(11.379233829679164), np.float64(11.379233829679164), np.float64(11.379233829679164), np.float64(11.379233829679164), np.float64(11.379233829679164), np.float64(11.683693227418662), np.float64(11.826968238119598), np.float64(11.826968238119598), np.float64(20.950610231172554)]"
5,"[np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(8.918118285169669), np.float64(10.071244460173158), np.float64(10.071244460173158), np.float64(10.071244460173158), np.float64(10.071244460173158), np.float64(10.071244460173158), np.float64(10.071244460173158), np.float64(10.071244460173158), np.float64(18.931277401712595), np.float64(39.36951221791288)]","[np.float64(6.329354795806674), np.float64(8.026174776911969), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(8.441808718343358), np.float64(9.343519259983879), np.float64(9.343519259983879), np.float64(9.343519259983879)]","[np.float64(7.662563196929105), np.float64(7.662563196929105), np.float64(7.662563196929105), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(9.888895168605798), np.float64(11.531473854151763), np.float64(12.626526311182271), np.float64(14.771899032521468), np.float64(15.723372325088164), np.float64(15.77556035747645)]"
6,"[np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.697583477150742), np.float64(7.938187327111206), np.float64(7.938187327111206), np.float64(7.938187327111206), np.float64(7.938187327111206), np.float64(7.938187327111206), np.float64(7.938187327111206), np.float64(7.938187327111206), np.float64(8.653193926167987), np.float64(10.001942859149205), np.float64(10.001942859149205), np.float64(10.001942859149205), np.float64(10.001942859149205), np.float64(10.001942859149205), np.float64(10.001942859149205), np.float64(22.854228224529283), np.float64(35.95626410108073)]","[np.float64(6.199315769542061), np.float64(6.215620446973308), np.float64(6.524605347804377), np.float64(6.524605347804377), np.float64(6.524605347804377), np.float64(6.524605347804377), np.float64(6.524605347804377), np.float64(6.576709819129673), np.float64(6.68743182069592), np.float64(6.68743182069592), np.float64(6.68743182069592), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(6.883083079478121), np.float64(8.626005712446219), np.float64(8.863676980578225), np.float64(8.863676980578225)]","[np.float64(8.578117988346333), np.float64(8.578117988346333), np.float64(8.578117988346333), np.float64(8.578117988346333), np.float64(8.578117988346333), np.float64(8.578117988346333), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.596960005231734), np.float64(8.633858351840784), np.float64(8.633858351840784), np.float64(8.633858351840784), np.float64(13.874427095604496), np.float64(13.874427095604496), np.float64(13.874427095604496), np.float64(19.742621695699093)]"
7,"[np.float64(7.1934065343176545), np.float64(7.542687366278354), np.float64(7.542687366278354), np.float64(7.542687366278354), np.float64(7.542687366278354), np.float64(7.542687366278354), np.float64(7.542687366278354), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.675449103064399), np.float64(7.96110273993885), np.float64(8.430768510135046), np.float64(10.51301249788786), np.float64(12.931430717193063), np.float64(16.93931847354721), np.float64(30.089931727927734), np.float64(47.77767446182669)]","[np.float64(4.806325357606034), np.float64(4.909340127246324), np.float64(6.094009978109631), np.float64(6.094009978109631), np.float64(6.094009978109631), np.float64(6.094009978109631), np.float64(6.094009978109631), np.float64(6.222832248269662), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(6.496579572359774), np.float64(7.257631175142585), np.float64(7.724316652238069), np.float64(7.724316652238069), np.float64(7.724316652238069), np.float64(7.724316652238069), np.float64(7.724316652238069), np.float64(7.724316652238069), np.float64(21.60891861941196)]","[np.float64(5.65389672135108), np.float64(5.65389672135108), np.float64(5.65389672135108), np.float64(5.65389672135108), np.float64(5.65389672135108), np.float64(5.65389672135108), np.float64(7.861745988560755), np.float64(7.861745988560755), np.float64(7.861745988560755), np.float64(8.333280336275878), np.float64(8.333280336275878), np.float64(8.333280336275878), np.float64(8.333280336275878), np.float64(8.333280336275878), np.float64(8.333280336275878), np.float64(8.333280336275878), np.float64(8.820841412905523), np.float64(9.050281919554765), np.float64(9.050281919554765), np.float64(9.050281919554765), np.float64(9.050281919554765), np.float64(9.050281919554765), np.float64(9.050281919554765), np.float64(33.46461540395022)]"
