fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(8.596026145454546), np.float64(8.596026145454546), np.float64(8.596026145454546), np.float64(8.596026145454546), np.float64(8.596026145454546), np.float64(8.972638375), np.float64(8.972638375), np.float64(9.930575000000001), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(14.126801883333368), np.float64(18.106367916666667), np.float64(18.106367916666667), np.float64(32.195108963333475), np.float64(38.825104749999994), np.float64(40.29677656), np.float64(56.494006719999994)]","[np.float64(5.806141498666703), np.float64(8.190998066666667), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(12.541906370525991), np.float64(24.973607852631577), np.float64(24.973607852631577), np.float64(24.973607852631577), np.float64(24.973607852631577), np.float64(24.973607852631577), np.float64(24.973607852631577), np.float64(24.973607852631577), np.float64(24.973607852631577), np.float64(24.973607852631577)]","[np.float64(5.684210526315789), np.float64(5.684210526315789), np.float64(5.684210526315789), np.float64(5.684210526315789), np.float64(5.684210526315789), np.float64(5.684210526315789), np.float64(5.684210526315789), np.float64(5.684210526315789), np.float64(5.684210526315789), np.float64(5.936842105263157), np.float64(6.0), np.float64(7.5), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(10.636363636363637), np.float64(32.90000000000001)]"
1,"[np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(9.697723520000007), np.float64(39.55946), np.float64(39.55946), np.float64(55.088952)]","[np.float64(7.669066839999999), np.float64(7.705473940342857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(8.622441820228577), np.float64(9.292439300000002), np.float64(9.292439300000002), np.float64(53.03041765599925), np.float64(66.60322060000001), np.float64(66.60322060000001)]","[np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(8.600000000000016), np.float64(22.083333333333332), np.float64(22.083333333333332), np.float64(22.083333333333332), np.float64(22.083333333333332), np.float64(22.083333333333332)]"
2,"[np.float64(6.360151875), np.float64(6.360151875), np.float64(6.360151875), np.float64(6.360151875), np.float64(6.360151875), np.float64(6.360151875), np.float64(6.360151875), np.float64(8.29958438181818), np.float64(8.29958438181818), np.float64(8.29958438181818), np.float64(8.29958438181818), np.float64(8.29958438181818), np.float64(9.031608566666666), np.float64(9.13115411066667), np.float64(9.861154766666667), np.float64(12.806995520000012), np.float64(43.562722599999994), np.float64(43.562722599999994), np.float64(43.990140448), np.float64(52.42558675), np.float64(52.42558675), np.float64(70.73962212500001), np.float64(70.73962212500001), np.float64(70.73962212500001)]","[np.float64(7.26432672), np.float64(7.26432672), np.float64(7.26432672), np.float64(7.26432672), np.float64(7.26432672), np.float64(7.497000903999999), np.float64(7.73196605), np.float64(7.73196605), np.float64(7.73196605), np.float64(7.73196605), np.float64(7.73196605), np.float64(13.953441842000005), np.float64(33.325035373333336), np.float64(33.325035373333336), np.float64(33.325035373333336), np.float64(33.325035373333336), np.float64(33.325035373333336), np.float64(33.325035373333336), np.float64(33.325035373333336), np.float64(34.10357491933333), np.float64(34.62260128333333), np.float64(34.62260128333333), np.float64(88.48392268533354), np.float64(98.743222)]","[np.float64(4.291666666666667), np.float64(4.291666666666667), np.float64(4.291666666666667), np.float64(4.291666666666667), np.float64(4.291666666666667), np.float64(5.720000000000001), np.float64(15.380645161290303), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(38.717419354838654), np.float64(45.0), np.float64(50.98000000000001)]"
3,"[np.float64(5.796577250000001), np.float64(5.796577250000001), np.float64(7.239388759999999), np.float64(7.239388759999999), np.float64(7.239388759999999), np.float64(7.239388759999999), np.float64(7.239388759999999), np.float64(7.239388759999999), np.float64(7.239388759999999), np.float64(7.280320845333332), np.float64(7.290553866666666), np.float64(7.290553866666666), np.float64(7.290553866666666), np.float64(7.290553866666666), np.float64(7.290553866666666), np.float64(7.5495176), np.float64(7.5495176), np.float64(7.5495176), np.float64(18.122571554666735), np.float64(27.882313666666665), np.float64(27.882313666666665), np.float64(53.96144544999993), np.float64(62.196960749999995), np.float64(70.72841078000002)]","[np.float64(5.6810016125), np.float64(5.6810016125), np.float64(5.6810016125), np.float64(5.6810016125), np.float64(7.018772155555556), np.float64(7.018772155555556), np.float64(7.018772155555556), np.float64(7.018772155555556), np.float64(7.018772155555556), np.float64(7.018772155555556), np.float64(7.018772155555556), np.float64(7.018772155555556), np.float64(7.207929678039225), np.float64(11.747710217647061), np.float64(11.747710217647061), np.float64(11.747710217647061), np.float64(11.747710217647061), np.float64(11.747710217647061), np.float64(11.747710217647061), np.float64(11.747710217647061), np.float64(11.747710217647061), np.float64(86.45559262500001), np.float64(86.45559262500001), np.float64(86.45559262500001)]","[np.float64(3.6875), np.float64(3.6875), np.float64(3.6875), np.float64(3.6875), np.float64(4.0), np.float64(4.0), np.float64(4.0), np.float64(4.539999999999999), np.float64(4.84375), np.float64(4.84375), np.float64(4.84375), np.float64(4.84375), np.float64(4.84375), np.float64(4.84375), np.float64(4.84375), np.float64(10.45058823529414), np.float64(19.323529411764707), np.float64(19.323529411764707), np.float64(19.323529411764707), np.float64(19.323529411764707), np.float64(19.323529411764707), np.float64(19.323529411764707), np.float64(19.323529411764707), np.float64(19.323529411764707)]"
4,"[np.float64(7.02374751), np.float64(7.02374751), np.float64(7.02374751), np.float64(7.02374751), np.float64(7.02374751), np.float64(8.3254787), np.float64(8.3254787), np.float64(8.3254787), np.float64(8.3254787), np.float64(8.3254787), np.float64(8.3254787), np.float64(8.3254787), np.float64(9.501373233333332), np.float64(10.060081445333354), np.float64(14.157274999999998), np.float64(29.03064205833333), np.float64(29.03064205833333), np.float64(29.03064205833333), np.float64(29.03064205833333), np.float64(29.03064205833333), np.float64(29.03064205833333), np.float64(34.389386639999984), np.float64(52.55497292000004), np.float64(54.421612333333336)]","[np.float64(5.363235460799999), np.float64(6.623053109999999), np.float64(6.623053109999999), np.float64(6.623053109999999), np.float64(6.623053109999999), np.float64(6.719872577199999), np.float64(6.824760333333333), np.float64(6.824760333333333), np.float64(7.799151599515151), np.float64(8.178081536363637), np.float64(8.178081536363637), np.float64(8.178081536363637), np.float64(8.178081536363637), np.float64(10.720677671579345), np.float64(29.366382663157896), np.float64(29.366382663157896), np.float64(29.366382663157896), np.float64(29.366382663157896), np.float64(29.366382663157896), np.float64(29.366382663157896), np.float64(29.366382663157896), np.float64(29.366382663157896), np.float64(29.366382663157896), np.float64(140.655494)]","[np.float64(3.875), np.float64(4.2950000000000035), np.float64(6.5), np.float64(6.5), np.float64(6.5), np.float64(6.5), np.float64(6.5), np.float64(6.5), np.float64(6.5), np.float64(6.5), np.float64(11.367499999999989), np.float64(12.03125), np.float64(12.03125), np.float64(12.03125), np.float64(12.03125), np.float64(12.03125), np.float64(12.03125), np.float64(12.03125), np.float64(46.625), np.float64(46.625), np.float64(46.625), np.float64(46.625), np.float64(59.125), np.float64(59.125)]"
5,"[np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(10.138637035714284), np.float64(10.138637035714284), np.float64(10.138637035714284), np.float64(10.138637035714284), np.float64(10.138637035714284), np.float64(10.138637035714284), np.float64(10.138637035714284), np.float64(13.719304400000006), np.float64(25.77643775), np.float64(25.77643775), np.float64(37.4165458), np.float64(37.4165458)]","[np.float64(7.13237965), np.float64(7.13237965), np.float64(7.13237965), np.float64(8.035086999999999), np.float64(8.67476715393939), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(10.849334583151528), np.float64(13.660262379999988), np.float64(22.44968872000003), np.float64(61.62893300000003)]","[np.float64(4.5), np.float64(4.5), np.float64(4.5), np.float64(5.426666666666667), np.float64(6.333333333333333), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(19.494117647058786), np.float64(24.340000000000003), np.float64(39.5)]"
6,"[np.float64(6.36603474), np.float64(6.510492155466667), np.float64(8.171752433333333), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(9.96321975), np.float64(9.96321975), np.float64(15.890236600000009), np.float64(43.62903455999992), np.float64(54.027104800000004), np.float64(54.468160999999995), np.float64(54.468160999999995), np.float64(54.468160999999995), np.float64(54.468160999999995)]","[np.float64(8.030554625), np.float64(8.030554625), np.float64(8.42171565), np.float64(8.6507985), np.float64(8.8052273), np.float64(8.8052273), np.float64(8.837920616), np.float64(8.921989142857141), np.float64(8.921989142857141), np.float64(8.921989142857141), np.float64(13.888070028571425), np.float64(13.888070028571425), np.float64(13.888070028571425), np.float64(13.888070028571425), np.float64(13.888070028571425), np.float64(13.888070028571425), np.float64(13.888070028571425), np.float64(36.41302233333334), np.float64(42.250097200000006), np.float64(44.09338400000001), np.float64(44.09338400000001), np.float64(44.09338400000001), np.float64(44.09338400000001), np.float64(44.09338400000001)]","[np.float64(3.75), np.float64(3.8333333333333335), np.float64(3.913333333333333), np.float64(4.740000000000003), np.float64(10.153846153846153), np.float64(10.153846153846153), np.float64(10.153846153846153), np.float64(10.153846153846153), np.float64(10.153846153846153), np.float64(10.153846153846153), np.float64(10.570153846153847), np.float64(11.1), np.float64(11.1), np.float64(11.1), np.float64(11.1), np.float64(17.556000000000004), np.float64(21.1875), np.float64(21.1875), np.float64(21.1875), np.float64(31.946590909090958), np.float64(34.63636363636363), np.float64(34.63636363636363), np.float64(34.63636363636363), np.float64(34.63636363636363)]"
7,"[np.float64(6.343095), np.float64(7.3659194), np.float64(7.3659194), np.float64(7.3659194), np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(25.791802771428568), np.float64(25.791802771428568), np.float64(25.791802771428568), np.float64(27.15933324685714), np.float64(32.27989157142857), np.float64(32.27989157142857), np.float64(32.27989157142857), np.float64(34.09299665142858), np.float64(37.743432), np.float64(50.64011716000001), np.float64(58.54459780000001)]","[np.float64(5.0603441857142855), np.float64(5.0603441857142855), np.float64(5.0603441857142855), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(11.382912), np.float64(20.752738524444432), np.float64(26.023265944444447), np.float64(26.023265944444447), np.float64(26.023265944444447), np.float64(26.023265944444447), np.float64(43.74591825), np.float64(43.74591825), np.float64(43.74591825), np.float64(43.74591825)]","[np.float64(2.533846153846153), np.float64(3.3461538461538463), np.float64(3.3461538461538463), np.float64(3.3461538461538463), np.float64(3.3461538461538463), np.float64(3.3461538461538463), np.float64(3.3461538461538463), np.float64(8.75), np.float64(8.75), np.float64(8.75), np.float64(8.75), np.float64(8.75), np.float64(8.75), np.float64(8.75), np.float64(16.58823529411765), np.float64(16.58823529411765), np.float64(16.58823529411765), np.float64(16.58823529411765), np.float64(16.58823529411765), np.float64(16.58823529411765), np.float64(16.58823529411765), np.float64(16.58823529411765), np.float64(28.46705882352947), np.float64(34.940000000000005)]"
