fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(1.4616771411895753)], [np.float64(1.5088446035385132)], [np.float64(1.65676362323761)], [np.float64(1.6892377567291257)], [np.float64(1.9767634916305539)], [np.float64(2.0217701873779297)], [np.float64(2.1087934122085574)], [np.float64(2.1919766263961793)], [np.float64(2.3708526868820186)], [np.float64(2.731564683914184)], [np.float64(2.871166177749634)], [np.float64(3.0295357761383057)], [np.float64(3.0998830213546755)], [np.float64(3.3717266035079962)], [np.float64(4.085958461761475)], [np.float64(4.283842087745667)], [np.float64(5.3924813041687)], [np.float64(12.18644788360599)], [np.float64(17.634222259521486)], [np.float64(18.848644561767575)], [np.float64(21.133142265319847)], [np.float64(39.055273559570296)], [np.float64(44.223541259765625)], [np.float64(74.63438418579102)]]","[[np.float64(1.1597454368042908)], [np.float64(1.1779014243692272)], [np.float64(1.2836292337815254)], [np.float64(1.3756698787067003)], [np.float64(1.473583817483893)], [np.float64(1.717692206741812)], [np.float64(1.7376052724450153)], [np.float64(1.8302934853488784)], [np.float64(2.0513808598208674)], [np.float64(2.0896129422235625)], [np.float64(2.2050192651404696)], [np.float64(2.464503991712989)], [np.float64(2.5372032554856845)], [np.float64(3.1027380297445797)], [np.float64(3.5599081444682)], [np.float64(3.5924124461053144)], [np.float64(3.8936200955624014)], [np.float64(4.378892444843795)], [np.float64(4.971850806485342)], [np.float64(5.9628741138935055)], [np.float64(6.830361884061539)], [np.float64(7.904070742325915)], [np.float64(9.08561039482494)], [np.float64(12.000014504726918)]]","[[np.float64(0.7466394418090568)], [np.float64(0.7690252652930885)], [np.float64(0.8043922957913706)], [np.float64(0.9189103339573044)], [np.float64(0.997680238823348)], [np.float64(1.0268015873981522)], [np.float64(1.16931867670477)], [np.float64(1.2087678354835754)], [np.float64(1.2669099695065986)], [np.float64(1.3294975151541606)], [np.float64(1.466296299983601)], [np.float64(1.5394949386390864)], [np.float64(1.599610589490594)], [np.float64(1.8147204970659838)], [np.float64(2.1733671332888447)], [np.float64(2.3326281385166)], [np.float64(2.549910116087048)], [np.float64(2.6045198052430285)], [np.float64(2.8221641536110806)], [np.float64(3.3171274901421874)], [np.float64(4.84540624523536)], [np.float64(6.339340215666235)], [np.float64(7.302093339995065)], [np.float64(14.14938565269267)]]"
1,"[[np.float64(1.2576181068420411)], [np.float64(1.6547677783966064)], [np.float64(1.7429553270339966)], [np.float64(1.8209721117019655)], [np.float64(1.9512586498260498)], [np.float64(2.0918574457168577)], [np.float64(2.2270788679122924)], [np.float64(2.2883977403640747)], [np.float64(2.399386119842529)], [np.float64(2.6677706718444827)], [np.float64(3.1146618318557735)], [np.float64(3.2008838109970092)], [np.float64(3.6452444534301756)], [np.float64(4.266472711563111)], [np.float64(4.760754537582398)], [np.float64(5.2616754198074345)], [np.float64(5.644690361022949)], [np.float64(6.156101272583012)], [np.float64(7.540825107574464)], [np.float64(8.998676891326905)], [np.float64(9.77302890300751)], [np.float64(28.89130104064941)], [np.float64(53.595661956787126)], [np.float64(67.4421502685547)]]","[[np.float64(1.1080507053109443)], [np.float64(1.2327321694370161)], [np.float64(1.3105222928182527)], [np.float64(1.3904791258366795)], [np.float64(1.4889660741095725)], [np.float64(1.537081280965675)], [np.float64(1.6137804707529715)], [np.float64(1.6902449443496825)], [np.float64(1.827151904262974)], [np.float64(2.175471533122414)], [np.float64(2.4359655984706636)], [np.float64(2.5119048583692436)], [np.float64(2.9211569591560136)], [np.float64(3.1434911976807953)], [np.float64(3.6648115784084565)], [np.float64(4.4539400338586335)], [np.float64(4.90614286528223)], [np.float64(5.06562185809508)], [np.float64(5.682971095983909)], [np.float64(6.344975880357581)], [np.float64(8.68529296315121)], [np.float64(10.218327013156726)], [np.float64(10.800074371969366)], [np.float64(12.34074706899235)]]","[[np.float64(0.6761969531401758)], [np.float64(0.7424326091614702)], [np.float64(0.8274495870355337)], [np.float64(0.9349404314408667)], [np.float64(0.964181167329706)], [np.float64(1.0734553534425986)], [np.float64(1.1539108319328355)], [np.float64(1.1982976873143216)], [np.float64(1.256728003170006)], [np.float64(1.2822498588422273)], [np.float64(1.521306382619285)], [np.float64(1.7199186795113253)], [np.float64(1.8054789992874587)], [np.float64(1.8425439733666433)], [np.float64(2.23259022750513)], [np.float64(2.4886107613808206)], [np.float64(2.623966030418244)], [np.float64(3.3633538246335464)], [np.float64(3.8324072594825167)], [np.float64(4.324910723036196)], [np.float64(6.026621176214518)], [np.float64(7.01588933564715)], [np.float64(10.472187486861475)], [np.float64(21.449818613958254)]]"
2,"[[np.float64(2.0910544366836548)], [np.float64(2.2484836006164546)], [np.float64(2.3176756200790405)], [np.float64(2.6427608890533447)], [np.float64(3.236934404373169)], [np.float64(3.4540361003875732)], [np.float64(3.597730140686035)], [np.float64(3.663839611053467)], [np.float64(4.24904218673706)], [np.float64(4.465630340576172)], [np.float64(5.621998975753784)], [np.float64(5.975457235336304)], [np.float64(6.242697490692137)], [np.float64(7.835377899169922)], [np.float64(8.735004615783694)], [np.float64(13.33512538146974)], [np.float64(25.757741760253904)], [np.float64(32.25635452270511)], [np.float64(47.33879661560061)], [np.float64(55.83023986816408)], [np.float64(62.68566220092774)], [np.float64(73.29099385070799)], [np.float64(79.25765798950195)], [np.float64(82.13477815246583)]]","[[np.float64(1.4042246071894189)], [np.float64(1.5685852264228526)], [np.float64(1.714392232403143)], [np.float64(1.7762294891854082)], [np.float64(1.9578321184432963)], [np.float64(2.3429825219479525)], [np.float64(2.522092425609674)], [np.float64(2.7520566394999793)], [np.float64(2.873192936129827)], [np.float64(3.126755523216895)], [np.float64(3.2791515993483706)], [np.float64(3.6640288131433283)], [np.float64(4.2232657584853746)], [np.float64(4.435145948568276)], [np.float64(4.911518101710205)], [np.float64(5.794670537306732)], [np.float64(6.364960131233514)], [np.float64(6.643516081379665)], [np.float64(7.4938882980880726)], [np.float64(7.679711295668662)], [np.float64(8.39418158655345)], [np.float64(9.291720260122002)], [np.float64(12.214621600846192)], [np.float64(14.314062848385914)]]","[[np.float64(0.9507839065624685)], [np.float64(1.0159418490080179)], [np.float64(1.0600334345273659)], [np.float64(1.1259933389776124)], [np.float64(1.1539225979698673)], [np.float64(1.2420502860128269)], [np.float64(1.3959978270461604)], [np.float64(1.5142612735846057)], [np.float64(1.7517790805685876)], [np.float64(2.345876887317758)], [np.float64(2.713554613747138)], [np.float64(2.9613198253989297)], [np.float64(3.4223088985753374)], [np.float64(3.5121133050639606)], [np.float64(4.248610617684289)], [np.float64(4.776321625857341)], [np.float64(6.711650807878777)], [np.float64(6.956178609886154)], [np.float64(8.78096550574292)], [np.float64(12.70862818687722)], [np.float64(16.610403400312446)], [np.float64(25.317228975845516)], [np.float64(29.60920456977755)], [np.float64(55.14032971487446)]]"
3,"[[np.float64(1.6014618501663207)], [np.float64(1.9376104860305787)], [np.float64(2.0598326807022103)], [np.float64(2.205294054985046)], [np.float64(2.45592387676239)], [np.float64(2.5366751155853273)], [np.float64(2.8318115062713622)], [np.float64(3.1369755182266235)], [np.float64(3.3832258310317993)], [np.float64(3.589774985313415)], [np.float64(3.748876001358032)], [np.float64(4.272195833206177)], [np.float64(4.465437784194946)], [np.float64(5.480251850128175)], [np.float64(5.8856214094162)], [np.float64(6.13063931274414)], [np.float64(6.630811639785766)], [np.float64(7.614623687744143)], [np.float64(12.39868690490723)], [np.float64(14.707177295684817)], [np.float64(27.95863075256349)], [np.float64(29.567479747772214)], [np.float64(30.655764724731448)], [np.float64(50.8277024536133)]]","[[np.float64(1.399103085002876)], [np.float64(1.4460520074239276)], [np.float64(1.578804590156658)], [np.float64(1.7503406101429855)], [np.float64(1.7785890262747397)], [np.float64(1.7914158903513262)], [np.float64(1.8708043030176724)], [np.float64(2.0055776311602336)], [np.float64(2.1103460749986707)], [np.float64(2.3817672609413556)], [np.float64(2.610567049390146)], [np.float64(2.6628794691556745)], [np.float64(2.879263134400247)], [np.float64(3.302044640466542)], [np.float64(3.692806999843209)], [np.float64(4.253294993491841)], [np.float64(4.4688826085057585)], [np.float64(4.7121587316182)], [np.float64(5.061391411180417)], [np.float64(6.608622159575663)], [np.float64(7.6544833920886655)], [np.float64(8.979910381930178)], [np.float64(12.928162893364272)], [np.float64(17.740570422827684)]]","[[np.float64(0.7459770327138784)], [np.float64(0.8520508042082796)], [np.float64(0.8673639946354339)], [np.float64(0.9064750528587563)], [np.float64(0.9396875343515151)], [np.float64(0.9763779580959946)], [np.float64(1.0056136487560148)], [np.float64(1.0591437696048747)], [np.float64(1.1253974221441723)], [np.float64(1.2048425795257316)], [np.float64(1.2503272539407706)], [np.float64(1.3616600211521803)], [np.float64(1.6047621367033564)], [np.float64(1.7283235062479083)], [np.float64(1.860392397925789)], [np.float64(2.064898232985139)], [np.float64(2.51133845079387)], [np.float64(2.8685846110157924)], [np.float64(3.1935822347653686)], [np.float64(3.6744874347388317)], [np.float64(4.408504544118569)], [np.float64(5.385210086722466)], [np.float64(11.31028887925453)], [np.float64(16.453891449868934)]]"
4,"[[np.float64(2.0983801603317263)], [np.float64(2.1807269229888915)], [np.float64(2.2321445579528807)], [np.float64(2.3413880624771117)], [np.float64(2.425881233215332)], [np.float64(2.717720703125)], [np.float64(2.8527363767623903)], [np.float64(2.9045591306686402)], [np.float64(3.2179794034957885)], [np.float64(3.4249498128890985)], [np.float64(3.7146891193389893)], [np.float64(4.240956970214844)], [np.float64(6.105683305740356)], [np.float64(6.3479610290527395)], [np.float64(7.941760921478273)], [np.float64(9.512621576309204)], [np.float64(10.816087295532226)], [np.float64(12.927037338256845)], [np.float64(19.948914733886724)], [np.float64(23.235351352691655)], [np.float64(31.592524719238337)], [np.float64(39.64999308776855)], [np.float64(43.20746328735353)], [np.float64(85.15252481079102)]]","[[np.float64(1.3426466918802844)], [np.float64(1.405831050985151)], [np.float64(1.4599846935621466)], [np.float64(1.716418208320477)], [np.float64(1.7792237939348463)], [np.float64(1.85140995125469)], [np.float64(1.9590054051936774)], [np.float64(2.02952015181424)], [np.float64(2.16386759574677)], [np.float64(2.497405322784998)], [np.float64(2.7224768135805393)], [np.float64(3.055117371361344)], [np.float64(3.2887532334279617)], [np.float64(3.341393553064883)], [np.float64(3.443483422411157)], [np.float64(3.5868931439317673)], [np.float64(4.477003020736666)], [np.float64(5.890865747915377)], [np.float64(7.310693547996501)], [np.float64(8.222378785861341)], [np.float64(9.375368174808806)], [np.float64(11.651754625814121)], [np.float64(15.63859173802807)], [np.float64(21.426262816411576)]]","[[np.float64(0.9914687613976285)], [np.float64(1.1301072422039524)], [np.float64(1.2312179080969843)], [np.float64(1.2817389440555367)], [np.float64(1.3692190445254617)], [np.float64(1.4579777108017506)], [np.float64(1.5112297258907499)], [np.float64(1.5363421602147762)], [np.float64(1.5828036245327153)], [np.float64(1.621841249580781)], [np.float64(1.7004313384379703)], [np.float64(1.7731979844622114)], [np.float64(1.8695200315023617)], [np.float64(2.1123557503704093)], [np.float64(2.1592934140229474)], [np.float64(2.5502665238281055)], [np.float64(2.881143980415332)], [np.float64(3.484245289307347)], [np.float64(4.216506910977918)], [np.float64(4.813748891795916)], [np.float64(6.365210326610514)], [np.float64(7.4085411991446595)], [np.float64(14.816244134390292)], [np.float64(18.423342703217415)]]"
5,"[[np.float64(1.1788350868225097)], [np.float64(1.5338178262710571)], [np.float64(1.7316488046646117)], [np.float64(1.917580121994018)], [np.float64(2.038238515853882)], [np.float64(2.3812146310806277)], [np.float64(2.4517785749435426)], [np.float64(2.5036985387802124)], [np.float64(2.5669540882110597)], [np.float64(2.723806962966919)], [np.float64(2.826911389350891)], [np.float64(2.879534475326538)], [np.float64(3.117494686126709)], [np.float64(3.4308106536865237)], [np.float64(3.7105375862121597)], [np.float64(4.266111429214479)], [np.float64(4.898446876525878)], [np.float64(5.481594757080078)], [np.float64(6.694207447052007)], [np.float64(12.748172702789319)], [np.float64(26.11222264099124)], [np.float64(33.19810453796386)], [np.float64(43.35668429565431)], [np.float64(60.43791430664065)]]","[[np.float64(1.224469356074398)], [np.float64(1.350283524656329)], [np.float64(1.3879361581245238)], [np.float64(1.4479295934808454)], [np.float64(1.5131168198976215)], [np.float64(1.598917047512804)], [np.float64(1.7774973537582965)], [np.float64(2.0226299019769782)], [np.float64(2.2860028736976847)], [np.float64(2.3790320699363816)], [np.float64(2.410957047487145)], [np.float64(2.6227743472708065)], [np.float64(2.9419123088530723)], [np.float64(2.977354072678323)], [np.float64(3.0490934759750217)], [np.float64(3.3284105417531373)], [np.float64(3.8114984456942196)], [np.float64(4.060270390176585)], [np.float64(4.629976388399737)], [np.float64(4.883504388709708)], [np.float64(6.242521539606505)], [np.float64(13.724067836749658)], [np.float64(21.069764864455017)], [np.float64(24.39329149090513)]]","[[np.float64(1.072631068838916)], [np.float64(1.1254894951723489)], [np.float64(1.1936270439800254)], [np.float64(1.2331528175672635)], [np.float64(1.287186394593891)], [np.float64(1.3394799206817436)], [np.float64(1.376599594842909)], [np.float64(1.5363156387456924)], [np.float64(1.6365346700514942)], [np.float64(1.6670725487694034)], [np.float64(1.711187463492264)], [np.float64(1.7570396963530814)], [np.float64(1.8124282357790225)], [np.float64(1.9474785318274122)], [np.float64(1.9950363232223487)], [np.float64(2.08921886406101)], [np.float64(2.158035980169397)], [np.float64(2.261503231407936)], [np.float64(2.708241947824272)], [np.float64(3.6942565573592705)], [np.float64(4.597779467585339)], [np.float64(5.716156654616251)], [np.float64(10.193424371284653)], [np.float64(11.357010228633502)]]"
6,"[[np.float64(1.7341522789001462)], [np.float64(1.8556539001464842)], [np.float64(2.0895188026428224)], [np.float64(2.119048309326172)], [np.float64(2.2216133642196656)], [np.float64(2.4471980476379396)], [np.float64(2.8149600772857664)], [np.float64(2.944569760322571)], [np.float64(3.1866064224243162)], [np.float64(3.2849789524078368)], [np.float64(3.4160197381973267)], [np.float64(3.483179500579834)], [np.float64(4.441316006660461)], [np.float64(5.082076177597046)], [np.float64(6.26058999061585)], [np.float64(8.746218905448915)], [np.float64(10.386149440765381)], [np.float64(17.16574522399903)], [np.float64(20.75933496856689)], [np.float64(27.491456069946302)], [np.float64(38.96461965942384)], [np.float64(47.573555816650405)], [np.float64(59.93581250000001)], [np.float64(76.23292965698244)]]","[[np.float64(1.6583262035849735)], [np.float64(1.7878878867549042)], [np.float64(1.8878414823936989)], [np.float64(1.988732556740224)], [np.float64(2.009776759241618)], [np.float64(2.123989371116803)], [np.float64(2.22612636553833)], [np.float64(2.3191110160238297)], [np.float64(2.4230532251997023)], [np.float64(2.5693847880012406)], [np.float64(3.254295142069888)], [np.float64(3.392669314150397)], [np.float64(3.7508368482315873)], [np.float64(3.8568872707303936)], [np.float64(4.092092783308513)], [np.float64(4.399949607917887)], [np.float64(5.009781764729682)], [np.float64(5.680936838129211)], [np.float64(5.9016720340716615)], [np.float64(6.803079851880835)], [np.float64(9.502987692223332)], [np.float64(13.658111479246394)], [np.float64(20.420269023321847)], [np.float64(25.087829590186082)]]","[[np.float64(1.4671776976989583)], [np.float64(1.5508221256892052)], [np.float64(1.5888187390289294)], [np.float64(1.7776543231072979)], [np.float64(1.8386248642346432)], [np.float64(1.8695188390269613)], [np.float64(1.993921010757752)], [np.float64(2.1939220214413133)], [np.float64(2.352454336179499)], [np.float64(2.494163567951161)], [np.float64(3.2518180371992087)], [np.float64(3.586609404595187)], [np.float64(3.614625492230905)], [np.float64(3.9881431477729974)], [np.float64(4.096789235695259)], [np.float64(5.626743018639705)], [np.float64(6.149431855397887)], [np.float64(6.649286252339434)], [np.float64(7.043192751915312)], [np.float64(8.61583276616966)], [np.float64(9.207723525280102)], [np.float64(9.631964157785088)], [np.float64(10.988317207946322)], [np.float64(17.37628485551355)]]"
7,"[[np.float64(1.926628231048584)], [np.float64(2.6472764663696293)], [np.float64(2.784905758857727)], [np.float64(2.830768734931946)], [np.float64(3.3139742994308476)], [np.float64(3.4344875850677488)], [np.float64(3.607004716873169)], [np.float64(3.6640490455627437)], [np.float64(3.7513852310180664)], [np.float64(4.078570575714111)], [np.float64(4.578132141113282)], [np.float64(5.385259444236756)], [np.float64(6.0210990142822265)], [np.float64(8.037015846252444)], [np.float64(9.04775405883789)], [np.float64(11.695865844726564)], [np.float64(17.04393098068237)], [np.float64(24.336627159118663)], [np.float64(28.20398780822754)], [np.float64(29.28516765594483)], [np.float64(37.76953285217286)], [np.float64(50.34774948120119)], [np.float64(70.9156444091797)], [np.float64(81.65309228515626)]]","[[np.float64(1.4383079556238234)], [np.float64(1.5534768533549532)], [np.float64(1.6521431840095788)], [np.float64(1.920445909824606)], [np.float64(1.9692192986296186)], [np.float64(2.0943097736376624)], [np.float64(2.1135875814765512)], [np.float64(2.2199476803579024)], [np.float64(2.3605577766662713)], [np.float64(2.469398711507084)], [np.float64(2.528191748689025)], [np.float64(2.650802096879893)], [np.float64(2.9967865997312852)], [np.float64(3.2704726900120304)], [np.float64(3.5039894745661444)], [np.float64(3.9546326046101785)], [np.float64(4.34990999914925)], [np.float64(4.653276111141984)], [np.float64(5.038752964621492)], [np.float64(5.906344803945948)], [np.float64(7.338473529613232)], [np.float64(8.764932959123254)], [np.float64(15.734699417123112)], [np.float64(23.87050158925058)]]","[[np.float64(0.6988896880113875)], [np.float64(0.7378290092948647)], [np.float64(0.7505100593961904)], [np.float64(0.7985363114039858)], [np.float64(0.870699777525976)], [np.float64(1.0452673722115193)], [np.float64(1.080337237393812)], [np.float64(1.1044736332105478)], [np.float64(1.135199033022025)], [np.float64(1.1538466751509542)], [np.float64(1.1701761904883017)], [np.float64(1.2511533277162716)], [np.float64(1.2685928241373572)], [np.float64(1.3077144171653685)], [np.float64(1.4377478176026413)], [np.float64(1.6196222981437425)], [np.float64(1.7761367699094361)], [np.float64(2.347495347890247)], [np.float64(2.638549978602278)], [np.float64(2.9001807904126253)], [np.float64(3.6800115347756956)], [np.float64(5.751812181293675)], [np.float64(6.318659612686574)], [np.float64(13.844830431732694)]]"
