fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(4.9337184785714285), np.float64(4.9337184785714285), np.float64(4.9337184785714285), np.float64(4.9337184785714285), np.float64(4.9337184785714285), np.float64(4.9337184785714285), np.float64(4.9337184785714285), np.float64(6.023785750000001), np.float64(6.023785750000001), np.float64(6.023785750000001), np.float64(6.09017), np.float64(6.27200175), np.float64(7.028387843999997), np.float64(7.8499281000000005), np.float64(7.8499281000000005), np.float64(7.8499281000000005), np.float64(17.090702), np.float64(17.090702), np.float64(17.090702), np.float64(18.1380215), np.float64(38.12657103200009), np.float64(41.0538454), np.float64(41.0538454), np.float64(119.2852340000001)]","[np.float64(4.981269335294119), np.float64(4.981269335294119), np.float64(4.981269335294119), np.float64(4.981269335294119), np.float64(4.981269335294119), np.float64(4.981269335294119), np.float64(4.981269335294119), np.float64(4.997587552705883), np.float64(5.00676655), np.float64(5.00676655), np.float64(5.00676655), np.float64(5.00676655), np.float64(5.8027756), np.float64(14.357026533333332), np.float64(14.357026533333332), np.float64(14.357026533333332), np.float64(14.357026533333332), np.float64(14.357026533333332), np.float64(14.357026533333332), np.float64(19.358294166666667), np.float64(19.358294166666667), np.float64(19.358294166666667), np.float64(56.56315222000008), np.float64(60.6027355)]","[np.float64(3.0400000000000023), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(8.888253968253995), np.float64(11.857142857142858), np.float64(11.857142857142858), np.float64(11.857142857142858), np.float64(54.875), np.float64(54.875), np.float64(54.875)]"
1,"[np.float64(4.588649515384616), np.float64(4.588649515384616), np.float64(4.588649515384616), np.float64(4.588649515384616), np.float64(4.588649515384616), np.float64(4.622560708000001), np.float64(4.6592978333333335), np.float64(4.6592978333333335), np.float64(4.722837113333334), np.float64(4.747546833333334), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.637401764000002), np.float64(5.9970785), np.float64(6.750839970000007), np.float64(25.47421145999995), np.float64(31.274841), np.float64(31.274841)]","[np.float64(4.102702266666666), np.float64(4.102702266666666), np.float64(4.102702266666666), np.float64(4.147482501333333), np.float64(5.04936018), np.float64(5.04936018), np.float64(5.3918481108666665), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.89290355), np.float64(5.89290355), np.float64(6.3335545), np.float64(6.7335519999999995), np.float64(48.63411489360061), np.float64(55.79387754)]","[np.float64(2.375), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5049999999999737), np.float64(3.625), np.float64(3.6333333333333364), np.float64(3.6666666666666665), np.float64(3.6666666666666665), np.float64(3.6666666666666665), np.float64(3.6666666666666665), np.float64(3.6666666666666665), np.float64(4.233333333333339), np.float64(32.75), np.float64(32.75), np.float64(32.75)]"
2,"[np.float64(6.3035227), np.float64(6.3035227), np.float64(6.3035227), np.float64(6.353924651999999), np.float64(6.461028799999999), np.float64(6.461028799999999), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(8.123684400333351), np.float64(12.249073875), np.float64(12.249073875), np.float64(30.549465480000183), np.float64(38.789965), np.float64(38.789965), np.float64(38.789965)]","[np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(8.064215395733335), np.float64(8.064482313333334), np.float64(8.064482313333334), np.float64(8.064482313333334), np.float64(8.064482313333334), np.float64(8.064482313333334), np.float64(8.064482313333334), np.float64(9.886994295466689), np.float64(26.94180142222222), np.float64(26.94180142222222), np.float64(26.94180142222222), np.float64(26.94180142222222), np.float64(39.12257042355561), np.float64(41.44271690000001)]","[np.float64(3.5), np.float64(3.96875), np.float64(3.96875), np.float64(3.96875), np.float64(3.96875), np.float64(3.96875), np.float64(3.96875), np.float64(3.96875), np.float64(3.96875), np.float64(4.5), np.float64(4.9399999999999995), np.float64(13.249230769231067), np.float64(13.384615384615385), np.float64(13.384615384615385), np.float64(13.384615384615385), np.float64(13.384615384615385), np.float64(13.384615384615385), np.float64(14.315384615384625), np.float64(15.5), np.float64(17.03000000000001), np.float64(18.05), np.float64(18.05), np.float64(18.05), np.float64(18.05)]"
3,"[np.float64(6.567132466666667), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(9.447325501600012), np.float64(15.438753669999986), np.float64(17.13657925), np.float64(21.942751940000008)]","[np.float64(4.564207311111111), np.float64(4.564207311111111), np.float64(4.564207311111111), np.float64(5.948454965701902), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(23.09380704520329)]","[np.float64(2.5714285714285716), np.float64(2.5714285714285716), np.float64(2.914285714285711), np.float64(4.125), np.float64(4.125), np.float64(7.679999999999958), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(9.21875), np.float64(9.21875), np.float64(9.21875), np.float64(9.21875), np.float64(9.21875), np.float64(9.21875), np.float64(9.21875)]"
4,"[np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(7.11247205), np.float64(7.11247205), np.float64(7.11247205), np.float64(7.11247205), np.float64(7.11247205), np.float64(7.11247205), np.float64(7.11247205), np.float64(7.11247205), np.float64(14.713144499999999), np.float64(33.34908035999996), np.float64(39.070407), np.float64(40.94647192000001)]","[np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(6.492051601904763), np.float64(19.57249901500014), np.float64(25.543009375), np.float64(25.543009375), np.float64(25.543009375)]","[np.float64(2.7), np.float64(2.7), np.float64(3.0), np.float64(3.22857142857143), np.float64(3.7142857142857144), np.float64(3.7142857142857144), np.float64(3.7142857142857144), np.float64(3.90625), np.float64(3.90625), np.float64(3.90625), np.float64(3.90625), np.float64(3.90625), np.float64(3.90625), np.float64(3.90625), np.float64(4.0750000000000055), np.float64(4.925000000000001), np.float64(5.375), np.float64(5.650000000000002), np.float64(12.044000000000164), np.float64(16.7), np.float64(16.7), np.float64(31.916666666666668), np.float64(31.916666666666668), np.float64(31.916666666666668)]"
5,"[np.float64(3.8520545625), np.float64(3.8520545625), np.float64(3.8520545625), np.float64(4.2114712333333335), np.float64(4.615360279999999), np.float64(5.469304082000001), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(9.814666520000008), np.float64(35.33661319999993), np.float64(42.964909999999996), np.float64(42.964909999999996)]","[np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.730602200733333), np.float64(4.764036241666667), np.float64(4.764036241666667), np.float64(4.764036241666667), np.float64(4.764036241666667), np.float64(4.764036241666667), np.float64(5.747489076666672), np.float64(7.4218692399999995), np.float64(7.4218692399999995), np.float64(7.4218692399999995), np.float64(7.4218692399999995)]","[np.float64(2.8181818181818183), np.float64(2.8181818181818183), np.float64(2.8181818181818183), np.float64(2.8181818181818183), np.float64(2.8181818181818183), np.float64(3.2916666666666665), np.float64(3.2916666666666665), np.float64(3.2916666666666665), np.float64(3.2916666666666665), np.float64(3.2916666666666665), np.float64(3.2916666666666665), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(7.142857142857143), np.float64(7.142857142857143), np.float64(7.142857142857143), np.float64(7.241428571428572)]"
6,"[np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(4.645798988888888), np.float64(4.645798988888888), np.float64(4.645798988888888), np.float64(4.645798988888888), np.float64(5.756129428888899), np.float64(6.1879246), np.float64(6.1879246), np.float64(6.1879246), np.float64(13.249700552000022), np.float64(24.605299240000004), np.float64(37.435899666666664)]","[np.float64(3.1886061862857153), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(4.516303246857149), np.float64(4.98017884), np.float64(4.98017884), np.float64(5.853065116666667), np.float64(5.853065116666667), np.float64(5.853065116666667), np.float64(6.434713879999999), np.float64(6.434713879999999), np.float64(28.99040079539888), np.float64(30.951764875000002)]","[np.float64(1.25), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.278947368421055), np.float64(2.7666666666666653), np.float64(3.0555555555555554), np.float64(3.0555555555555554), np.float64(3.0555555555555554), np.float64(3.0555555555555554), np.float64(4.666666666666667), np.float64(4.666666666666667), np.float64(4.666666666666667), np.float64(4.666666666666667), np.float64(4.666666666666667), np.float64(4.666666666666667), np.float64(4.666666666666667), np.float64(4.666666666666667)]"
7,"[np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.388022440857143), np.float64(6.421550157142858), np.float64(6.421550157142858), np.float64(6.421550157142858), np.float64(7.181169125), np.float64(7.181169125), np.float64(7.181169125), np.float64(7.181169125), np.float64(15.006282166666667), np.float64(17.30260227999999), np.float64(28.521409600000055), np.float64(44.66329216666667), np.float64(44.66329216666667), np.float64(44.66329216666667), np.float64(46.820935)]","[np.float64(6.253866726666668), np.float64(6.253866726666668), np.float64(6.253866726666668), np.float64(6.253866726666668), np.float64(6.253866726666668), np.float64(6.253866726666668), np.float64(6.253866726666668), np.float64(6.6649674999999995), np.float64(6.731074228), np.float64(6.8485973), np.float64(6.8485973), np.float64(6.8485973), np.float64(6.8485973), np.float64(6.8485973), np.float64(6.8485973), np.float64(12.720404441600023), np.float64(15.93813194), np.float64(15.93813194), np.float64(15.93813194), np.float64(15.93813194), np.float64(21.63022787540003), np.float64(22.714436625), np.float64(22.714436625), np.float64(22.714436625)]","[np.float64(2.5), np.float64(2.524), np.float64(2.8), np.float64(2.8), np.float64(2.8), np.float64(2.8), np.float64(2.9259999999999997), np.float64(3.25), np.float64(3.2950000000000004), np.float64(3.375), np.float64(3.5033333333333334), np.float64(3.6666666666666665), np.float64(3.6666666666666665), np.float64(4.320000000000002), np.float64(4.833333333333333), np.float64(4.833333333333333), np.float64(16.67666666666666), np.float64(26.287142857142875), np.float64(27.857142857142858), np.float64(27.857142857142858), np.float64(27.857142857142858), np.float64(44.190000000000005), np.float64(44.625), np.float64(47.22500000000001)]"
