fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(2.0429361820220953)], [np.float64(2.060691444396973)], [np.float64(2.1205562047958373)], [np.float64(2.34015885925293)], [np.float64(2.5428304862976074)], [np.float64(2.690586943626404)], [np.float64(2.8518223962783815)], [np.float64(2.9697651262283324)], [np.float64(3.039563048362732)], [np.float64(3.1698944187164306)], [np.float64(3.4598654718399042)], [np.float64(3.8322609500885014)], [np.float64(4.042809405326844)], [np.float64(4.616256956100466)], [np.float64(5.412011623382569)], [np.float64(5.709937568664551)], [np.float64(8.906465804100035)], [np.float64(19.770610206604047)], [np.float64(26.41887954711914)], [np.float64(30.825673828125005)], [np.float64(44.142874893188484)], [np.float64(46.25378228759766)], [np.float64(79.46015168762216)], [np.float64(99.72629064941407)]]","[[np.float64(1.3327717975593036)], [np.float64(1.396766415408304)], [np.float64(1.4382376107635921)], [np.float64(1.4608879663556595)], [np.float64(1.5153900115934185)], [np.float64(1.5428061950726402)], [np.float64(1.556181728298923)], [np.float64(1.5993044808531103)], [np.float64(1.773968149217167)], [np.float64(1.9129645321548139)], [np.float64(2.01408141026712)], [np.float64(2.318775155758932)], [np.float64(2.670301656421865)], [np.float64(2.6834621189213936)], [np.float64(2.7476681574631305)], [np.float64(3.1483076885577854)], [np.float64(3.524143658963593)], [np.float64(4.011081582448407)], [np.float64(4.216525617267409)], [np.float64(5.290786174537436)], [np.float64(7.127472192377889)], [np.float64(9.6722624574818)], [np.float64(13.69962201552566)], [np.float64(22.734577108167997)]]","[[np.float64(0.7522082064293442)], [np.float64(0.8355345108219422)], [np.float64(0.8811698811259786)], [np.float64(1.0123593504863433)], [np.float64(1.024735974815146)], [np.float64(1.0815101577179072)], [np.float64(1.1109897916680354)], [np.float64(1.186203729164763)], [np.float64(1.303716235126593)], [np.float64(1.4608750227667362)], [np.float64(1.4878374074072875)], [np.float64(1.626921304744542)], [np.float64(1.7168474992478064)], [np.float64(1.8917455047636524)], [np.float64(2.054015366076103)], [np.float64(2.4045935519486323)], [np.float64(2.63011190077218)], [np.float64(2.7228104070514267)], [np.float64(2.8592827071617957)], [np.float64(3.8587276016837975)], [np.float64(5.198677065382805)], [np.float64(6.473453344282092)], [np.float64(8.215294673746047)], [np.float64(10.819763822795561)]]"
1,"[[np.float64(1.4288990173339844)], [np.float64(1.7357569665908812)], [np.float64(1.838920336723327)], [np.float64(1.9647923364639281)], [np.float64(2.0033432483673095)], [np.float64(2.0954728908538818)], [np.float64(2.183281435012818)], [np.float64(2.2171805715560913)], [np.float64(2.249563137054443)], [np.float64(2.3692491197586056)], [np.float64(2.3859493894577026)], [np.float64(2.5049217166900637)], [np.float64(2.530962642669678)], [np.float64(2.56877364730835)], [np.float64(2.669057445526123)], [np.float64(2.8425896062850953)], [np.float64(2.9449137897491453)], [np.float64(3.181203760147096)], [np.float64(3.699777511596681)], [np.float64(4.918962945938112)], [np.float64(8.196222579956077)], [np.float64(23.485965309143037)], [np.float64(44.06045085144048)], [np.float64(68.24276303100586)]]","[[np.float64(1.1761848728051758)], [np.float64(1.2695131474066328)], [np.float64(1.3183044178153012)], [np.float64(1.4581677471020584)], [np.float64(1.5207421262116443)], [np.float64(1.555541394049154)], [np.float64(1.6492256143426656)], [np.float64(1.6716359669373944)], [np.float64(1.7290485086394558)], [np.float64(1.7846468124067274)], [np.float64(1.811490185344837)], [np.float64(1.8454491326630058)], [np.float64(1.8847773322249737)], [np.float64(1.9668752936213953)], [np.float64(2.0049812699988347)], [np.float64(2.0444784242430956)], [np.float64(2.163271380814297)], [np.float64(2.2678101365782544)], [np.float64(2.690387589574422)], [np.float64(4.177845871673426)], [np.float64(5.305817774212957)], [np.float64(7.2315126850572105)], [np.float64(7.332101247655207)], [np.float64(7.739479953203644)]]","[[np.float64(0.6724661822441262)], [np.float64(0.6971641479879894)], [np.float64(0.7481237555496891)], [np.float64(0.825292919402755)], [np.float64(0.9546573737947264)], [np.float64(0.9691215863527455)], [np.float64(1.015307688304827)], [np.float64(1.0545241310235076)], [np.float64(1.083048554542352)], [np.float64(1.1049311800494261)], [np.float64(1.1735292711863952)], [np.float64(1.226617568506834)], [np.float64(1.296693922836133)], [np.float64(1.303829099575133)], [np.float64(1.317669803223806)], [np.float64(1.3701957438824437)], [np.float64(1.434050995568437)], [np.float64(1.4824815437632481)], [np.float64(1.562271798818538)], [np.float64(1.7014003200818364)], [np.float64(2.6941411914802718)], [np.float64(7.270349628926561)], [np.float64(11.518198370149808)], [np.float64(14.765266077748903)]]"
2,"[[np.float64(1.316478892326355)], [np.float64(1.349011799812317)], [np.float64(1.6936855907440187)], [np.float64(1.816606056213379)], [np.float64(1.9467320203781129)], [np.float64(2.0983801603317263)], [np.float64(2.1829355440139766)], [np.float64(2.357398313522339)], [np.float64(2.51348749256134)], [np.float64(2.5784740781784063)], [np.float64(2.698920986175537)], [np.float64(3.2011194343566896)], [np.float64(3.328443141937256)], [np.float64(3.4186606435775766)], [np.float64(3.908661632537842)], [np.float64(4.23390680885315)], [np.float64(5.403472084045409)], [np.float64(7.801917476654056)], [np.float64(9.693031051635746)], [np.float64(22.836599807739265)], [np.float64(31.04570199584965)], [np.float64(37.26010009765625)], [np.float64(50.07231555175785)], [np.float64(66.59294158935548)]]","[[np.float64(0.8983956689846079)], [np.float64(1.1136639649416356)], [np.float64(1.2160100267008966)], [np.float64(1.2718959066019202)], [np.float64(1.3347237853776337)], [np.float64(1.3816619532232528)], [np.float64(1.4750039678960358)], [np.float64(1.5261719383513568)], [np.float64(1.6343154691952786)], [np.float64(1.6745060358646249)], [np.float64(2.020076512170719)], [np.float64(2.225536142465018)], [np.float64(2.312219458113092)], [np.float64(2.45362639308778)], [np.float64(3.020014471513259)], [np.float64(3.124911262591322)], [np.float64(3.3007320590375455)], [np.float64(3.865123337121964)], [np.float64(4.15465354109963)], [np.float64(4.454527592947287)], [np.float64(5.3077185671845575)], [np.float64(7.342354035587901)], [np.float64(10.024417635067348)], [np.float64(17.795548356810986)]]","[[np.float64(0.7333863358442217)], [np.float64(0.8506620384837169)], [np.float64(0.9316398012711299)], [np.float64(0.9759847372887259)], [np.float64(1.0216139987904942)], [np.float64(1.0731632288104882)], [np.float64(1.090614351725455)], [np.float64(1.1060368298510912)], [np.float64(1.145947617396364)], [np.float64(1.211345854479024)], [np.float64(1.3520594937293036)], [np.float64(1.4067349819889563)], [np.float64(1.417451505415379)], [np.float64(1.4401919702180035)], [np.float64(1.470589924404028)], [np.float64(1.5261698055228157)], [np.float64(1.58280097095561)], [np.float64(1.6632884657171807)], [np.float64(1.9157714467102567)], [np.float64(2.172430224629368)], [np.float64(3.2043287483876934)], [np.float64(3.7027248473283088)], [np.float64(4.770910364444684)], [np.float64(6.3980652585775895)]]"
3,"[[np.float64(1.5040101108551025)], [np.float64(1.8601126194000244)], [np.float64(1.8779527091979982)], [np.float64(2.178268060684204)], [np.float64(2.2725981950759886)], [np.float64(2.4721788330078125)], [np.float64(2.732286654472351)], [np.float64(2.7804537467956543)], [np.float64(2.845406940460205)], [np.float64(2.890971884727478)], [np.float64(2.991150339126586)], [np.float64(3.013878755569458)], [np.float64(3.1489721727371216)], [np.float64(3.2245935096740728)], [np.float64(3.3701724243164066)], [np.float64(3.578517747879028)], [np.float64(3.7159996910095217)], [np.float64(4.284970664024353)], [np.float64(4.700352275848391)], [np.float64(7.321055665016175)], [np.float64(10.604652183532725)], [np.float64(15.162665687561027)], [np.float64(23.006272621154807)], [np.float64(31.38859048461914)]]","[[np.float64(0.9956995643979714)], [np.float64(1.0547779920122313)], [np.float64(1.2342098386961737)], [np.float64(1.3687846980468408)], [np.float64(1.456226351969624)], [np.float64(1.5636227055730982)], [np.float64(1.6510064623276257)], [np.float64(1.7295035244754688)], [np.float64(1.8675546695832885)], [np.float64(1.936530344617829)], [np.float64(1.9933022294279155)], [np.float64(2.0013764422535267)], [np.float64(2.2174154022578554)], [np.float64(2.308910219400762)], [np.float64(2.4234109337195187)], [np.float64(2.5234687235791164)], [np.float64(2.6943333398623777)], [np.float64(3.0308544585205817)], [np.float64(3.3487491314404645)], [np.float64(3.565784179212396)], [np.float64(3.9083520435392978)], [np.float64(4.851207819544915)], [np.float64(6.2888886294972455)], [np.float64(7.546430422906519)]]","[[np.float64(0.5943990005653538)], [np.float64(0.6636842288958182)], [np.float64(0.6975316048702388)], [np.float64(0.7143390806976578)], [np.float64(0.7421186013385054)], [np.float64(0.8292556884217586)], [np.float64(0.8527928877254738)], [np.float64(0.8855888095107979)], [np.float64(0.9447250835627836)], [np.float64(0.9596848646859407)], [np.float64(0.9664126648025967)], [np.float64(1.0224117013821705)], [np.float64(1.031518733687902)], [np.float64(1.0701438877427136)], [np.float64(1.1494492706256842)], [np.float64(1.2644333292352241)], [np.float64(1.3342717295495692)], [np.float64(1.3715638329254947)], [np.float64(1.4955780684153899)], [np.float64(1.5640157859340125)], [np.float64(1.6787509770151186)], [np.float64(1.7788737668084078)], [np.float64(2.129791156168827)], [np.float64(4.64502777550627)]]"
4,"[[np.float64(1.2526603736877442)], [np.float64(1.3357569665908813)], [np.float64(1.4107935762405395)], [np.float64(1.4930033359527588)], [np.float64(1.608677978515625)], [np.float64(1.7827530117034913)], [np.float64(1.9488971853256225)], [np.float64(2.1169539060592655)], [np.float64(2.311012172698974)], [np.float64(2.458637042045593)], [np.float64(2.5033220195770265)], [np.float64(2.6621076011657716)], [np.float64(2.708442403793335)], [np.float64(2.835563393592835)], [np.float64(2.926651568412781)], [np.float64(3.1753934879302985)], [np.float64(3.404822624206543)], [np.float64(3.5452229862213134)], [np.float64(5.3863119792938265)], [np.float64(7.646379051208498)], [np.float64(13.78122279357914)], [np.float64(37.581814666748016)], [np.float64(42.424963958740236)], [np.float64(55.777842620849626)]]","[[np.float64(1.0084911933293323)], [np.float64(1.075697708125033)], [np.float64(1.1044389548729012)], [np.float64(1.1984312350320467)], [np.float64(1.3056368517084838)], [np.float64(1.3871836040336814)], [np.float64(1.455296844865415)], [np.float64(1.4721310083943944)], [np.float64(1.5264988726609297)], [np.float64(1.5593164603815584)], [np.float64(1.641556054205512)], [np.float64(1.7098988850903827)], [np.float64(1.8692876691581006)], [np.float64(1.9595555234383073)], [np.float64(2.4669807366315966)], [np.float64(2.602666158738197)], [np.float64(2.978766628889631)], [np.float64(3.1306095578238624)], [np.float64(3.5942017224807343)], [np.float64(5.369766953316597)], [np.float64(6.4005724407951226)], [np.float64(6.711285532450943)], [np.float64(8.885944500974931)], [np.float64(10.267912367215489)]]","[[np.float64(0.7925524182156456)], [np.float64(0.8319070889906484)], [np.float64(0.8738249432591272)], [np.float64(0.9092833582891638)], [np.float64(0.9505279387272437)], [np.float64(0.9863064824675838)], [np.float64(1.032111751848656)], [np.float64(1.0549090753352781)], [np.float64(1.1212992994405448)], [np.float64(1.2268491991866264)], [np.float64(1.3269141709428818)], [np.float64(1.4912289115771082)], [np.float64(1.5139376663306543)], [np.float64(1.540420104267234)], [np.float64(1.597556315347845)], [np.float64(1.664606083726969)], [np.float64(1.8986547985405517)], [np.float64(2.1609237411892614)], [np.float64(2.2691158298535696)], [np.float64(3.0180644192928603)], [np.float64(3.6967713183569137)], [np.float64(4.999493561646033)], [np.float64(7.2235184522088876)], [np.float64(10.401457862650174)]]"
5,"[[np.float64(1.49442720413208)], [np.float64(1.5444153404235839)], [np.float64(1.640255111694336)], [np.float64(1.7423019227981564)], [np.float64(1.8266248512268066)], [np.float64(1.9013022832870483)], [np.float64(1.9299744482040404)], [np.float64(2.0394241008758547)], [np.float64(2.1548206672668457)], [np.float64(2.298314023017883)], [np.float64(2.387819002151489)], [np.float64(2.4408249244689944)], [np.float64(2.5967905988693234)], [np.float64(2.9321646709442146)], [np.float64(3.211955742835999)], [np.float64(3.306914775848389)], [np.float64(3.4535275659561155)], [np.float64(4.1976358661651645)], [np.float64(5.8119780807495145)], [np.float64(6.832846574783326)], [np.float64(11.418897933959991)], [np.float64(51.14640531921378)], [np.float64(67.97211996459963)], [np.float64(74.86504986572265)]]","[[np.float64(1.0928850899986036)], [np.float64(1.1392318034829452)], [np.float64(1.21185895770696)], [np.float64(1.3367452871227887)], [np.float64(1.394848931457508)], [np.float64(1.4412479427870275)], [np.float64(1.5380367499432768)], [np.float64(1.5821658601180184)], [np.float64(1.6101474003367067)], [np.float64(1.8004777666071101)], [np.float64(1.8984412632771122)], [np.float64(1.9868277547225341)], [np.float64(2.15707153083374)], [np.float64(2.3247322338880414)], [np.float64(2.4770231158436653)], [np.float64(2.8058572054247164)], [np.float64(3.2254592668276385)], [np.float64(3.424161449973164)], [np.float64(3.62579828177116)], [np.float64(4.111183336111528)], [np.float64(4.322129553597027)], [np.float64(5.1695221143272505)], [np.float64(7.950186832402845)], [np.float64(11.171035838444519)]]","[[np.float64(0.6734784980280228)], [np.float64(0.7708365894961884)], [np.float64(0.784217437523132)], [np.float64(0.8133499015243874)], [np.float64(0.8503505417710789)], [np.float64(0.8605507034940523)], [np.float64(0.8922119592924086)], [np.float64(0.922423123604002)], [np.float64(0.9953777932395482)], [np.float64(1.0345305829045128)], [np.float64(1.148088818806137)], [np.float64(1.1969075619786405)], [np.float64(1.2089970028796213)], [np.float64(1.2870246183808665)], [np.float64(1.3193097097091684)], [np.float64(1.3492016508664149)], [np.float64(1.368372583870943)], [np.float64(1.4092755105928856)], [np.float64(1.4322817868083466)], [np.float64(1.488218028988102)], [np.float64(1.8526093082564008)], [np.float64(2.771823821904621)], [np.float64(3.57598768073343)], [np.float64(8.25360034899407)]]"
6,"[[np.float64(1.2517892503738404)], [np.float64(1.3341159973144534)], [np.float64(1.379997522354126)], [np.float64(1.6052395915985107)], [np.float64(1.836265425682068)], [np.float64(1.936432765007019)], [np.float64(1.9795713462829587)], [np.float64(2.063863687515259)], [np.float64(2.165445463180542)], [np.float64(2.199260964393616)], [np.float64(2.277988132476807)], [np.float64(2.4227535161972047)], [np.float64(2.475990758895874)], [np.float64(2.863342101097108)], [np.float64(3.0436594390869143)], [np.float64(3.1958169031143187)], [np.float64(3.6364725189208986)], [np.float64(4.167809625625612)], [np.float64(4.307157559394836)], [np.float64(4.84699287414551)], [np.float64(7.585356670379647)], [np.float64(25.93849172210698)], [np.float64(39.077348579406745)], [np.float64(59.546185241699234)]]","[[np.float64(1.1059199765601702)], [np.float64(1.1701622467977582)], [np.float64(1.2066604872913935)], [np.float64(1.2910235514649981)], [np.float64(1.359265173927233)], [np.float64(1.4163277675566919)], [np.float64(1.5030662267581119)], [np.float64(1.5191767694374092)], [np.float64(1.5320947262588982)], [np.float64(1.570752045747514)], [np.float64(1.6459572190984406)], [np.float64(1.726757887331542)], [np.float64(1.7686628743751551)], [np.float64(1.9066600443654045)], [np.float64(1.9911045347781477)], [np.float64(2.0337404676335384)], [np.float64(2.2007617142079865)], [np.float64(2.427410510772176)], [np.float64(2.583791120875696)], [np.float64(3.271723593906682)], [np.float64(3.8341335622795203)], [np.float64(4.0992091981809295)], [np.float64(4.367559055243283)], [np.float64(7.446818463454641)]]","[[np.float64(0.7024242242512287)], [np.float64(0.7749721628556789)], [np.float64(0.810801861320434)], [np.float64(0.8549314550711251)], [np.float64(0.896072403854825)], [np.float64(0.9043273237840055)], [np.float64(0.9214877008099142)], [np.float64(0.9287168575213703)], [np.float64(0.964590749178847)], [np.float64(1.0198085786912305)], [np.float64(1.087145572298059)], [np.float64(1.1099844828380292)], [np.float64(1.15334319305323)], [np.float64(1.1977482322571245)], [np.float64(1.2458671885423995)], [np.float64(1.2740178128798023)], [np.float64(1.5643906277544597)], [np.float64(1.703780262964141)], [np.float64(1.7751487828935184)], [np.float64(1.8355729760665804)], [np.float64(1.879313129362271)], [np.float64(2.0244671110489083)], [np.float64(2.200826670932843)], [np.float64(2.6246934338909202)]]"
7,"[[np.float64(2.200619821548462)], [np.float64(2.394732502937317)], [np.float64(2.707123699188233)], [np.float64(2.835328729629517)], [np.float64(3.115292820930481)], [np.float64(3.279499025344849)], [np.float64(3.8744815444946274)], [np.float64(4.3022771739959715)], [np.float64(4.715056257247925)], [np.float64(4.804896574020385)], [np.float64(4.990031631469726)], [np.float64(5.192869875907898)], [np.float64(5.2595704097747795)], [np.float64(5.479278938293458)], [np.float64(6.070974864959719)], [np.float64(7.2942167778015135)], [np.float64(11.199570479393003)], [np.float64(21.87445033264162)], [np.float64(26.681590789794917)], [np.float64(37.28353588104252)], [np.float64(44.17564547729494)], [np.float64(48.805460800170906)], [np.float64(56.51703979492188)], [np.float64(61.03499310302735)]]","[[np.float64(1.5594310709571928)], [np.float64(1.727892692716379)], [np.float64(1.8574283636250564)], [np.float64(2.06017570899829)], [np.float64(2.3340304538287153)], [np.float64(2.3652867528605177)], [np.float64(2.5600035754790764)], [np.float64(2.6338476738008083)], [np.float64(2.7791856467730582)], [np.float64(2.9763063411096664)], [np.float64(3.184583606002423)], [np.float64(3.548586809264795)], [np.float64(3.685805804829075)], [np.float64(3.945219423422537)], [np.float64(4.426531590391183)], [np.float64(4.826767573814912)], [np.float64(5.876217802752651)], [np.float64(6.193612208785076)], [np.float64(6.766213796476834)], [np.float64(7.854618054508923)], [np.float64(8.321857335054856)], [np.float64(9.813122178237787)], [np.float64(11.94425700855811)], [np.float64(14.295934160339044)]]","[[np.float64(0.7809357755954721)], [np.float64(0.8486563655407409)], [np.float64(0.9293785289748605)], [np.float64(0.9627814257719122)], [np.float64(0.970811398518657)], [np.float64(1.069500375575107)], [np.float64(1.328602983146465)], [np.float64(1.4728879488774664)], [np.float64(1.5491280652404693)], [np.float64(1.6816934547820568)], [np.float64(1.8022069817816628)], [np.float64(1.926579498383711)], [np.float64(2.0075487349674774)], [np.float64(2.0848200905849072)], [np.float64(2.3218012721209957)], [np.float64(2.4001875595633537)], [np.float64(2.6848723822308402)], [np.float64(3.1618946290903214)], [np.float64(3.7896730099454103)], [np.float64(5.333081816797881)], [np.float64(6.13704784270422)], [np.float64(8.500543152819997)], [np.float64(10.948480088932676)], [np.float64(13.198781280310026)]]"
