fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.561552750000001), np.float64(7.71268422), np.float64(7.71268422), np.float64(7.71268422), np.float64(7.71268422), np.float64(8.384097288000008), np.float64(11.06974956), np.float64(11.06974956), np.float64(11.06974956), np.float64(11.06974956), np.float64(12.527649729000004), np.float64(13.499583175), np.float64(22.58634216199998), np.float64(57.86421816000009), np.float64(62.92008466666667)]","[np.float64(3.9960189000000006), np.float64(3.9960189000000006), np.float64(3.9960189000000006), np.float64(4.074937812000001), np.float64(4.886098383333334), np.float64(4.886098383333334), np.float64(4.886098383333334), np.float64(4.886098383333334), np.float64(4.886098383333334), np.float64(4.886098383333334), np.float64(6.214436733333333), np.float64(6.214436733333333), np.float64(6.214436733333333), np.float64(6.214436733333333), np.float64(8.964079333333332), np.float64(9.307062813333337), np.float64(10.189020333333334), np.float64(10.368034), np.float64(10.368034), np.float64(34.60929207142858), np.float64(34.60929207142858), np.float64(34.60929207142858), np.float64(52.85474427142866), np.float64(56.3300685)]","[np.float64(2.5833333333333335), np.float64(2.5833333333333335), np.float64(2.6974509803921567), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(6.566666666666666), np.float64(6.611111111111111), np.float64(6.611111111111111), np.float64(6.611111111111111), np.float64(6.999999999999999), np.float64(8.0), np.float64(8.0), np.float64(9.045454545454545), np.float64(9.045454545454545), np.float64(9.045454545454545), np.float64(9.045454545454545), np.float64(9.045454545454545), np.float64(11.763636363636367)]"
1,"[np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(6.2014083949565215), np.float64(6.3864035999999995), np.float64(6.444421796266673), np.float64(7.836858506666666), np.float64(7.836858506666666), np.float64(7.836858506666666), np.float64(7.836858506666666), np.float64(7.836858506666666), np.float64(7.836858506666666), np.float64(7.836858506666666), np.float64(8.393059125), np.float64(8.393059125), np.float64(16.174054740000052), np.float64(20.929487720000008)]","[np.float64(4.780303374000001), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(6.745520443999995), np.float64(7.6411150999999995), np.float64(7.6411150999999995), np.float64(7.6411150999999995), np.float64(7.6411150999999995), np.float64(7.6411150999999995), np.float64(8.027693), np.float64(8.165871875), np.float64(8.165871875), np.float64(8.165871875), np.float64(8.165871875), np.float64(12.976532020000004)]","[np.float64(3.1666666666666665), np.float64(3.527999999999999), np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(4.416473684210529), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(6.319157894736858), np.float64(7.2), np.float64(7.2), np.float64(12.639999999999969)]"
2,"[np.float64(3.591299933333333), np.float64(3.591299933333333), np.float64(4.6191002333333335), np.float64(4.627032249333333), np.float64(4.643887783333334), np.float64(4.643887783333334), np.float64(4.915796277999998), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(13.820728149999999), np.float64(13.820728149999999), np.float64(13.820728149999999), np.float64(13.820728149999999), np.float64(13.820728149999999), np.float64(17.725257740000032), np.float64(33.11444331999997), np.float64(45.348230666666666), np.float64(68.95433525333337)]","[np.float64(3.7381460428571427), np.float64(3.7381460428571427), np.float64(3.7381460428571427), np.float64(3.8070429891428574), np.float64(3.953449), np.float64(4.217716780000001), np.float64(4.504006875), np.float64(4.927599147000002), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.304967375), np.float64(5.304967375), np.float64(11.311464866666668), np.float64(11.311464866666668), np.float64(11.311464866666668), np.float64(11.311464866666668), np.float64(11.311464866666668), np.float64(11.311464866666668)]","[np.float64(2.5714285714285716), np.float64(2.5714285714285716), np.float64(2.5714285714285716), np.float64(2.708571428571429), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.6600000000000077), np.float64(11.78888888888889), np.float64(12.055555555555555), np.float64(12.055555555555555), np.float64(12.055555555555555), np.float64(12.055555555555555), np.float64(94.84666666666669)]"
3,"[np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(3.836380648631577), np.float64(6.140827798666663), np.float64(6.401279873333335), np.float64(6.401279873333335), np.float64(6.401279873333335), np.float64(6.401279873333335), np.float64(6.401279873333335), np.float64(6.401279873333335), np.float64(6.808025558933332), np.float64(7.631749666666668), np.float64(7.7598123333333335), np.float64(15.216653600000011), np.float64(24.33796975), np.float64(24.33796975), np.float64(28.155962000000002), np.float64(41.8229055)]","[np.float64(3.511896825), np.float64(3.511896825), np.float64(3.511896825), np.float64(3.511896825), np.float64(3.511896825), np.float64(3.511896825), np.float64(3.511896825), np.float64(3.5545397999999997), np.float64(3.5545397999999997), np.float64(4.890413130909079), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(10.083896919999999), np.float64(10.083896919999999), np.float64(10.083896919999999), np.float64(10.083896919999999)]","[np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(3.3300000000000014), np.float64(3.4583333333333335), np.float64(3.4583333333333335), np.float64(3.4583333333333335), np.float64(3.4583333333333335), np.float64(3.4583333333333335), np.float64(3.9), np.float64(3.9), np.float64(3.9359999999999995), np.float64(4.0), np.float64(10.307692307692308), np.float64(10.307692307692308), np.float64(10.307692307692308), np.float64(10.307692307692308), np.float64(10.307692307692308), np.float64(10.307692307692308)]"
4,"[np.float64(1.9448993459999997), np.float64(2.934692225), np.float64(3.0329908430000008), np.float64(3.3442698), np.float64(3.3442698), np.float64(3.52766212), np.float64(3.52766212), np.float64(3.6488241968000006), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(4.04835465), np.float64(4.04835465), np.float64(4.04835465), np.float64(5.198413833333333), np.float64(5.807619319999999), np.float64(9.246282752000013), np.float64(16.585893430000006)]","[np.float64(2.1595695), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(4.319139), np.float64(4.780542416666667), np.float64(4.780542416666667), np.float64(4.780542416666667), np.float64(4.780542416666667), np.float64(4.780542416666667), np.float64(4.780542416666667), np.float64(6.247004966666668), np.float64(6.247004966666668), np.float64(6.247004966666668), np.float64(6.247004966666668), np.float64(6.247004966666668)]","[np.float64(2.0), np.float64(2.0), np.float64(2.0), np.float64(2.0), np.float64(2.0), np.float64(2.0), np.float64(2.0), np.float64(2.25), np.float64(2.25), np.float64(2.25), np.float64(2.5), np.float64(2.5), np.float64(2.5), np.float64(2.75), np.float64(2.75), np.float64(4.5), np.float64(4.5), np.float64(5.95), np.float64(5.95), np.float64(5.95), np.float64(5.95), np.float64(5.95), np.float64(10.75), np.float64(10.75)]"
5,"[np.float64(2.9837180857142864), np.float64(2.9837180857142864), np.float64(3.163085471428577), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(4.888336750000001), np.float64(4.888336750000001), np.float64(5.024879333333334), np.float64(6.111154077333346), np.float64(6.835337239999999), np.float64(6.835337239999999), np.float64(10.70156215), np.float64(43.323665120000044)]","[np.float64(2.5322475), np.float64(3.2399304253333345), np.float64(3.647607233333333), np.float64(3.647607233333333), np.float64(3.647607233333333), np.float64(3.647607233333333), np.float64(3.647607233333333), np.float64(3.647607233333333), np.float64(3.647607233333333), np.float64(4.14909508), np.float64(4.14909508), np.float64(4.344157739200001), np.float64(4.4966147), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(6.27080445), np.float64(6.27080445)]","[np.float64(1.75), np.float64(1.75), np.float64(1.75), np.float64(2.0), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.95), np.float64(3.0833333333333335), np.float64(3.0833333333333335), np.float64(3.200000000000001), np.float64(4.0), np.float64(4.0), np.float64(5.300000000000011), np.float64(6.5), np.float64(6.5), np.float64(6.5), np.float64(28.920000000000087), np.float64(33.0)]"
6,"[np.float64(2.3084819728000006), np.float64(2.79415492), np.float64(2.79415492), np.float64(2.79415492), np.float64(2.79415492), np.float64(2.8420554072), np.float64(2.993740283333333), np.float64(2.993740283333333), np.float64(2.993740283333333), np.float64(2.993740283333333), np.float64(2.993740283333333), np.float64(3.2985963289333347), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(6.338682365400008), np.float64(12.0452415), np.float64(45.464415680000016)]","[np.float64(2.759284522222222), np.float64(2.759284522222222), np.float64(2.759284522222222), np.float64(2.759284522222222), np.float64(2.7924297757777774), np.float64(2.9250107900000004), np.float64(2.9250107900000004), np.float64(2.9250107900000004), np.float64(2.9250107900000004), np.float64(3.2461440246666684), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667)]","[np.float64(1.3), np.float64(1.3159999999999998), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.892857142857143), np.float64(2.892857142857143), np.float64(2.892857142857143), np.float64(2.892857142857143), np.float64(2.892857142857143), np.float64(2.892857142857143), np.float64(2.892857142857143), np.float64(8.320000000000004)]"
7,"[np.float64(3.04015854), np.float64(3.0423754037090913), np.float64(3.067869336363636), np.float64(3.067869336363636), np.float64(3.067869336363636), np.float64(3.067869336363636), np.float64(3.067869336363636), np.float64(3.4757662500000004), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(5.358757175), np.float64(5.358757175), np.float64(5.944066139999999), np.float64(5.944066139999999), np.float64(17.456431056800035), np.float64(33.998509999999996), np.float64(90.17870756000003)]","[np.float64(2.613560221428571), np.float64(2.613560221428571), np.float64(2.613560221428571), np.float64(2.613560221428571), np.float64(2.613560221428571), np.float64(2.613560221428571), np.float64(2.905668707199999), np.float64(3.10429024), np.float64(3.10429024), np.float64(3.6177984599999995), np.float64(3.6361693499999994), np.float64(3.6361693499999994), np.float64(3.6361693499999994), np.float64(3.6361693499999994), np.float64(3.8832635279999996), np.float64(4.04799298), np.float64(4.04799298), np.float64(4.5437319800000004), np.float64(4.5437319800000004), np.float64(4.9087463960000015), np.float64(5.32275585), np.float64(5.32275585), np.float64(5.817023884), np.float64(62.275626499999994)]","[np.float64(1.9285714285714286), np.float64(1.9285714285714286), np.float64(1.957142857142857), np.float64(2.1666666666666665), np.float64(2.3), np.float64(2.3), np.float64(2.496), np.float64(3.1666666666666665), np.float64(3.1666666666666665), np.float64(3.1666666666666665), np.float64(3.1666666666666665), np.float64(3.1666666666666665), np.float64(3.1666666666666665), np.float64(3.625), np.float64(3.625), np.float64(3.7222222222222223), np.float64(3.7222222222222223), np.float64(3.7222222222222223), np.float64(3.7222222222222223), np.float64(6.877777777777796), np.float64(7.666666666666667), np.float64(7.666666666666667), np.float64(10.27333333333334), np.float64(11.46)]"
