fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(0.9694625034332276)], [np.float64(1.1732395915985108)], [np.float64(1.2670958518981934)], [np.float64(1.4265822057724)], [np.float64(1.6128990173339843)], [np.float64(1.6866017208099364)], [np.float64(1.7235627622604368)], [np.float64(1.8076473531723019)], [np.float64(1.9412800674438475)], [np.float64(2.0228043746948243)], [np.float64(2.152021841049195)], [np.float64(2.391090796470642)], [np.float64(2.5063788766860955)], [np.float64(3.586077612876892)], [np.float64(4.217845358848575)], [np.float64(5.71757032585144)], [np.float64(6.026233469963073)], [np.float64(6.901775669097907)], [np.float64(8.922872711181641)], [np.float64(10.447960882186893)], [np.float64(14.17342815399172)], [np.float64(23.00999818801879)], [np.float64(64.51194296264654)], [np.float64(73.3156694946289)]]","[[np.float64(0.8177659555600686)], [np.float64(0.8980595897640274)], [np.float64(0.9437508575584833)], [np.float64(0.9803846593999388)], [np.float64(1.0126098078391232)], [np.float64(1.1216437833157018)], [np.float64(1.1792627382306555)], [np.float64(1.3501661543171173)], [np.float64(1.3735900525692426)], [np.float64(1.410199977813037)], [np.float64(1.4976921186749392)], [np.float64(1.5236795710857882)], [np.float64(1.943076567263311)], [np.float64(2.314734147122487)], [np.float64(2.619367869114253)], [np.float64(2.6544972128716227)], [np.float64(2.7450730743881615)], [np.float64(3.222033118860825)], [np.float64(3.998226072000747)], [np.float64(5.823444502048224)], [np.float64(6.893858952937089)], [np.float64(7.533934460025471)], [np.float64(8.62557218064375)], [np.float64(49.575158642407345)]]","[[np.float64(0.46794754405407996)], [np.float64(0.5024185857450185)], [np.float64(0.5218058032616698)], [np.float64(0.5845614285012696)], [np.float64(0.641738676374174)], [np.float64(0.6733643465856095)], [np.float64(0.6853861928626941)], [np.float64(0.712690319138902)], [np.float64(0.7378198720914347)], [np.float64(0.8199608648047282)], [np.float64(1.109238616841656)], [np.float64(1.2150457004153465)], [np.float64(1.3330673192956128)], [np.float64(1.4034510599100247)], [np.float64(1.511849204804106)], [np.float64(1.6288131687244696)], [np.float64(1.801751855519676)], [np.float64(2.364632372575305)], [np.float64(4.485059147240703)], [np.float64(7.470226961666523)], [np.float64(8.811556837031294)], [np.float64(11.700201554216731)], [np.float64(15.381157805916425)], [np.float64(22.64958847647862)]]"
1,"[[np.float64(0.8922152910232545)], [np.float64(1.04721360206604)], [np.float64(1.0567636232376096)], [np.float64(1.1093523740768432)], [np.float64(1.2125483322143553)], [np.float64(1.3471582803726196)], [np.float64(1.4544370517730714)], [np.float64(1.4954314212799074)], [np.float64(1.5987906103134155)], [np.float64(1.6503759670257567)], [np.float64(1.7270953378677367)], [np.float64(1.7754339485168458)], [np.float64(2.0006214981079102)], [np.float64(2.0719541110992443)], [np.float64(2.322040500640869)], [np.float64(2.504771412849426)], [np.float64(2.560904644012451)], [np.float64(2.5744737730026244)], [np.float64(2.881732304573059)], [np.float64(3.6437489700317385)], [np.float64(3.856892709732056)], [np.float64(4.33183250427246)], [np.float64(9.27889616394043)], [np.float64(24.387712554931664)]]","[[np.float64(0.6379883662586898)], [np.float64(0.7050773253688661)], [np.float64(0.7694005503170773)], [np.float64(0.8480279877840632)], [np.float64(0.8695668726198696)], [np.float64(0.9003342198807535)], [np.float64(0.9638496920954596)], [np.float64(1.036333656147764)], [np.float64(1.0901352191474123)], [np.float64(1.093922502357051)], [np.float64(1.1322188380544127)], [np.float64(1.1583140121414035)], [np.float64(1.2080134816807588)], [np.float64(1.3247613002720169)], [np.float64(1.4307846706810767)], [np.float64(1.5451466472653415)], [np.float64(1.7204372952873768)], [np.float64(2.0934363320981957)], [np.float64(2.3212451918643366)], [np.float64(2.493911315094931)], [np.float64(2.6871856241871663)], [np.float64(3.0688158235345093)], [np.float64(4.763887301958455)], [np.float64(7.505211424869907)]]","[[np.float64(0.5295745028917243)], [np.float64(0.6044582883936562)], [np.float64(0.6241342266725853)], [np.float64(0.6372129113590166)], [np.float64(0.6533888513759759)], [np.float64(0.7259764598834806)], [np.float64(0.762216015073739)], [np.float64(0.8101964596318572)], [np.float64(0.8157100197344119)], [np.float64(0.8506316109754758)], [np.float64(0.8815977512123548)], [np.float64(0.8904585569208672)], [np.float64(0.9123109441492123)], [np.float64(0.9894453331895451)], [np.float64(1.0096119118794562)], [np.float64(1.0240116654681934)], [np.float64(1.0542193297039406)], [np.float64(1.1657431524908064)], [np.float64(1.1994471440586274)], [np.float64(1.3234278455350312)], [np.float64(1.8520301972010849)], [np.float64(2.6471555415561574)], [np.float64(5.620636645456574)], [np.float64(10.068223877675033)]]"
2,"[[np.float64(1.342279221534729)], [np.float64(1.5707841196060182)], [np.float64(1.6437868041992187)], [np.float64(1.7518433961868285)], [np.float64(1.8298803186416621)], [np.float64(1.999998484611511)], [np.float64(2.1946233282089227)], [np.float64(2.29442720413208)], [np.float64(2.421018129348755)], [np.float64(2.5961553525924677)], [np.float64(2.7659913158416747)], [np.float64(3.420857506752014)], [np.float64(3.578679611206055)], [np.float64(4.0678354587554955)], [np.float64(5.610292377471925)], [np.float64(7.370288253784181)], [np.float64(11.191047744750977)], [np.float64(12.384417312622077)], [np.float64(15.729434799194335)], [np.float64(18.53543182373047)], [np.float64(33.70445939636234)], [np.float64(53.39540142822265)], [np.float64(64.0704581604004)], [np.float64(82.71896820068362)]]","[[np.float64(0.8301269457176236)], [np.float64(0.9715963443369996)], [np.float64(1.0348856591100752)], [np.float64(1.1152362762578085)], [np.float64(1.166600284454196)], [np.float64(1.3123542640649033)], [np.float64(1.4431723419930553)], [np.float64(1.471699759181698)], [np.float64(1.6986910353666738)], [np.float64(1.7807479055366984)], [np.float64(2.0343209154924353)], [np.float64(2.2175842134485326)], [np.float64(2.4558175161771256)], [np.float64(2.6492419998886083)], [np.float64(2.9237956580162496)], [np.float64(3.3895677317397865)], [np.float64(3.929169407127252)], [np.float64(4.251291603712911)], [np.float64(4.81936397022744)], [np.float64(5.616518888662687)], [np.float64(6.975057913521669)], [np.float64(7.486890447162772)], [np.float64(8.485474556977499)], [np.float64(10.724672987889925)]]","[[np.float64(0.576623215729587)], [np.float64(0.6185691252753729)], [np.float64(0.6489932751621185)], [np.float64(0.6891294110979331)], [np.float64(0.7764271266204026)], [np.float64(0.8133633912940055)], [np.float64(0.8865600624103673)], [np.float64(0.9215871914768086)], [np.float64(1.035049860972446)], [np.float64(1.0553079509639773)], [np.float64(1.0997652377195262)], [np.float64(1.1479344349307585)], [np.float64(1.2691905823177088)], [np.float64(1.4125896015631054)], [np.float64(1.520254993342829)], [np.float64(1.6563555876420102)], [np.float64(2.024579733996453)], [np.float64(2.1071796150000597)], [np.float64(2.3039551974977552)], [np.float64(2.456238905218752)], [np.float64(2.7014733006112355)], [np.float64(3.298678616293473)], [np.float64(4.529116622485703)], [np.float64(6.289146328745885)]]"
3,"[[np.float64(1.3788350868225097)], [np.float64(1.7639454231262208)], [np.float64(1.9804234399795533)], [np.float64(2.256311164855957)], [np.float64(2.3905882787704464)], [np.float64(2.454875658035278)], [np.float64(2.5275157184600827)], [np.float64(2.606703287124634)], [np.float64(2.879299253463745)], [np.float64(3.015680885314941)], [np.float64(3.3217515296936035)], [np.float64(3.600082384109497)], [np.float64(3.750586006164551)], [np.float64(3.9162364015579216)], [np.float64(4.350491800308228)], [np.float64(4.916917278289796)], [np.float64(6.320685405731201)], [np.float64(7.984094322204597)], [np.float64(13.732550018310562)], [np.float64(18.255052490234377)], [np.float64(26.836948196411182)], [np.float64(35.441786499023436)], [np.float64(42.43336346435548)], [np.float64(67.00680187988284)]]","[[np.float64(1.1113683855847405)], [np.float64(1.2541979148029077)], [np.float64(1.3416806569756359)], [np.float64(1.412202785309523)], [np.float64(1.4921835955814262)], [np.float64(1.5919048488117253)], [np.float64(1.611946538523613)], [np.float64(1.6603469203528518)], [np.float64(1.8100936167250246)], [np.float64(1.892888813229127)], [np.float64(1.9387699759779164)], [np.float64(1.9883243309914693)], [np.float64(2.532585843831092)], [np.float64(2.5559946007737517)], [np.float64(2.615414328439771)], [np.float64(2.8415706668296448)], [np.float64(3.07537485191273)], [np.float64(3.3330781007384114)], [np.float64(3.565459951581984)], [np.float64(3.940733977862646)], [np.float64(4.598748879375737)], [np.float64(4.995288292794969)], [np.float64(5.399344497138659)], [np.float64(5.76223164492643)]]","[[np.float64(0.5491787354258334)], [np.float64(0.6017880359600734)], [np.float64(0.6676215189497315)], [np.float64(0.6795137222942558)], [np.float64(0.6867223193331682)], [np.float64(0.6966030684693933)], [np.float64(0.7235628529259951)], [np.float64(0.7593759024260673)], [np.float64(0.8123108907518025)], [np.float64(0.8437734891413287)], [np.float64(0.8870253839447317)], [np.float64(0.9091518818505483)], [np.float64(0.9413591428937744)], [np.float64(0.98114357819186)], [np.float64(0.99606439031442)], [np.float64(1.1039437369494849)], [np.float64(1.2290785061449143)], [np.float64(1.2548518875637218)], [np.float64(1.4392814880634996)], [np.float64(1.589714401139389)], [np.float64(1.7606337262276301)], [np.float64(1.9764377546454401)], [np.float64(2.3440989083246757)], [np.float64(3.0927019429634988)]]"
4,"[[np.float64(1.1394288930892946)], [np.float64(1.24721360206604)], [np.float64(1.2557645874023438)], [np.float64(1.2979510602951048)], [np.float64(1.3772699117660523)], [np.float64(1.4662129917144775)], [np.float64(1.4951633358001708)], [np.float64(1.6771897678375243)], [np.float64(1.7152982473373413)], [np.float64(1.805773196220398)], [np.float64(1.8469905166625975)], [np.float64(1.8485281219482426)], [np.float64(1.9644003934860228)], [np.float64(2.0166109800338745)], [np.float64(2.076353206634522)], [np.float64(2.18082883644104)], [np.float64(2.210286662101746)], [np.float64(2.31551866722107)], [np.float64(2.5084590997695924)], [np.float64(2.708028292655945)], [np.float64(3.2095880031585695)], [np.float64(3.302916417121887)], [np.float64(5.117350017547611)], [np.float64(13.38517813110353)]]","[[np.float64(0.8087881844993514)], [np.float64(0.8537977398221676)], [np.float64(0.9005179970722167)], [np.float64(0.92439729463166)], [np.float64(0.9365328098057024)], [np.float64(0.9639367839444586)], [np.float64(0.9914043621421182)], [np.float64(1.0247792488055985)], [np.float64(1.0442469835564392)], [np.float64(1.0568119289003717)], [np.float64(1.0762073373390437)], [np.float64(1.091031091876469)], [np.float64(1.1947241324492552)], [np.float64(1.2199153875364805)], [np.float64(1.3450070849905176)], [np.float64(1.4382034604916478)], [np.float64(1.53535397960639)], [np.float64(1.5440906445346747)], [np.float64(1.6468840216172231)], [np.float64(2.0087100120002104)], [np.float64(2.234265708191956)], [np.float64(2.4178076259943473)], [np.float64(3.670656776499233)], [np.float64(3.995295244705327)]]","[[np.float64(0.8414009642565625)], [np.float64(0.8567209915399467)], [np.float64(0.9668367058982352)], [np.float64(0.989077657777034)], [np.float64(1.0067113899995515)], [np.float64(1.0371467733814042)], [np.float64(1.1038278300713633)], [np.float64(1.1166691476524828)], [np.float64(1.1356156916765587)], [np.float64(1.1670782415593695)], [np.float64(1.2330740422376119)], [np.float64(1.2515700247570758)], [np.float64(1.2655440674743836)], [np.float64(1.3732287959609204)], [np.float64(1.482335553042623)], [np.float64(1.577112959760555)], [np.float64(1.6663348418273989)], [np.float64(1.715945898148733)], [np.float64(1.9046914949471376)], [np.float64(2.3056265848682718)], [np.float64(2.418127483204342)], [np.float64(2.87204931913396)], [np.float64(3.100798032275181)], [np.float64(3.606434893261155)]]"
5,"[[np.float64(1.2132548332214355)], [np.float64(1.4713619785308838)], [np.float64(1.6009487094879151)], [np.float64(1.7213575172424318)], [np.float64(1.8244835138320925)], [np.float64(1.8662129917144774)], [np.float64(2.0080558433532714)], [np.float64(2.0817002239227294)], [np.float64(2.2427605533599855)], [np.float64(2.35821551322937)], [np.float64(2.503188320159912)], [np.float64(2.587708508491516)], [np.float64(3.0008523960113527)], [np.float64(3.2777993078231815)], [np.float64(3.4690590047836305)], [np.float64(3.734763149261475)], [np.float64(4.0804043350219725)], [np.float64(4.5317133331298844)], [np.float64(5.2433614120483405)], [np.float64(5.375899500846863)], [np.float64(6.218647464752202)], [np.float64(7.353445600509641)], [np.float64(9.449302448272709)], [np.float64(53.40928904724127)]]","[[np.float64(0.8099346372538268)], [np.float64(0.9253010718946301)], [np.float64(0.9570802742913596)], [np.float64(1.0197898306414135)], [np.float64(1.1358030021846668)], [np.float64(1.2281155384783464)], [np.float64(1.2957305246177049)], [np.float64(1.370725392957838)], [np.float64(1.495256674874488)], [np.float64(1.6965748590244092)], [np.float64(1.7385644953693544)], [np.float64(1.812271607637378)], [np.float64(1.9346415455205759)], [np.float64(2.0254619721070406)], [np.float64(2.2211126034125437)], [np.float64(2.647239495528409)], [np.float64(2.883990168233077)], [np.float64(3.0901215140192595)], [np.float64(3.161502795390886)], [np.float64(3.6279215288793107)], [np.float64(4.014590845182718)], [np.float64(4.671004733246227)], [np.float64(8.965585609269386)], [np.float64(15.205205838796507)]]","[[np.float64(0.5823836952236423)], [np.float64(0.6251496818074463)], [np.float64(0.6605195458455173)], [np.float64(0.6747959450259791)], [np.float64(0.7089952346581968)], [np.float64(0.7457854892159007)], [np.float64(0.7707936562378064)], [np.float64(0.7840674046232611)], [np.float64(0.8741561031077063)], [np.float64(0.9142537036727353)], [np.float64(0.9899941009045208)], [np.float64(1.0466367913150247)], [np.float64(1.098823702600254)], [np.float64(1.1971253122337475)], [np.float64(1.2912262820742892)], [np.float64(1.3525224471837618)], [np.float64(1.7012662668567253)], [np.float64(1.898405903019359)], [np.float64(2.1475432973439537)], [np.float64(2.4043590618785635)], [np.float64(3.19177052462453)], [np.float64(3.5221501614789994)], [np.float64(5.013695922814875)], [np.float64(6.745493807408656)]]"
6,"[[np.float64(0.9314814739227295)], [np.float64(1.2010319213867187)], [np.float64(1.251489094734192)], [np.float64(1.3418797731399537)], [np.float64(1.4569192266464233)], [np.float64(1.5855676651000976)], [np.float64(1.686454432487488)], [np.float64(1.853544228553772)], [np.float64(1.9300563097000123)], [np.float64(1.950515022277832)], [np.float64(1.9850630311965942)], [np.float64(2.0247171478271486)], [np.float64(2.0742930641174318)], [np.float64(2.116118803977966)], [np.float64(2.148795795440674)], [np.float64(2.303894833564758)], [np.float64(2.453869144439697)], [np.float64(2.7297027559280416)], [np.float64(3.0088078336715696)], [np.float64(3.321520490646364)], [np.float64(3.5652750835418705)], [np.float64(7.01533257293702)], [np.float64(18.863624763488787)], [np.float64(63.04896661376955)]]","[[np.float64(0.8572266772357066)], [np.float64(0.9220900480480725)], [np.float64(0.9598399854233386)], [np.float64(1.0011577076994633)], [np.float64(1.0871669825550299)], [np.float64(1.1464726194594936)], [np.float64(1.1704934376962417)], [np.float64(1.1913507234307683)], [np.float64(1.2781003700877565)], [np.float64(1.3238089904793449)], [np.float64(1.3497926347971092)], [np.float64(1.5083604391315963)], [np.float64(1.5673945485589742)], [np.float64(1.6774186999621943)], [np.float64(1.7037821285628216)], [np.float64(1.8317266441234068)], [np.float64(1.9267640829575348)], [np.float64(2.058670572108543)], [np.float64(2.252333447911599)], [np.float64(2.5706357027487297)], [np.float64(3.895496807535586)], [np.float64(4.1896717915873385)], [np.float64(4.533834749790245)], [np.float64(10.516161123060577)]]","[[np.float64(0.7064267134008595)], [np.float64(0.7645358691477571)], [np.float64(0.8135434625629372)], [np.float64(0.8240171004943183)], [np.float64(0.8620873615388314)], [np.float64(0.9269962065188518)], [np.float64(0.9628265351862885)], [np.float64(1.013850850850505)], [np.float64(1.0632432368571347)], [np.float64(1.1203069116160134)], [np.float64(1.1524134790631042)], [np.float64(1.2173975713482272)], [np.float64(1.3137783372200076)], [np.float64(1.3592740157629188)], [np.float64(1.4399390329792157)], [np.float64(1.5074714161507772)], [np.float64(1.5607576395632987)], [np.float64(1.6168409016161485)], [np.float64(1.6717586127910424)], [np.float64(1.705519472049158)], [np.float64(2.41249393639924)], [np.float64(2.8330473213598686)], [np.float64(4.699986738807893)], [np.float64(8.136185085145502)]]"
7,"[[np.float64(1.1380563097000125)], [np.float64(1.3329066381454469)], [np.float64(1.4038946647644042)], [np.float64(1.554204686164856)], [np.float64(1.6885848760604856)], [np.float64(1.7331520738601682)], [np.float64(1.9137897119522096)], [np.float64(2.001316703796386)], [np.float64(2.553834001541137)], [np.float64(2.707935228347778)], [np.float64(2.745105804443359)], [np.float64(2.8731294126510623)], [np.float64(3.018833339691162)], [np.float64(3.1179960432052614)], [np.float64(3.2926406955719005)], [np.float64(4.141030418395996)], [np.float64(4.594619110107422)], [np.float64(5.759075377464296)], [np.float64(6.31895124053955)], [np.float64(7.9959181499481256)], [np.float64(11.192284187316902)], [np.float64(40.63874886703497)], [np.float64(43.66075134277344)], [np.float64(73.59995104980469)]]","[[np.float64(0.8360257051517646)], [np.float64(0.933051374892671)], [np.float64(1.006766119525425)], [np.float64(1.0624918109439843)], [np.float64(1.1590926476130372)], [np.float64(1.2023427503713675)], [np.float64(1.3460626587471851)], [np.float64(1.4281246867303758)], [np.float64(1.5670735644439917)], [np.float64(1.7099758321969325)], [np.float64(1.9560834041613098)], [np.float64(2.12540138578259)], [np.float64(2.2455105382232095)], [np.float64(2.2709728641159055)], [np.float64(2.330810701549876)], [np.float64(2.422929494144986)], [np.float64(3.380496773611406)], [np.float64(3.7139972868514373)], [np.float64(4.035479964227732)], [np.float64(4.863131261154186)], [np.float64(5.283398089797473)], [np.float64(5.5340806311998385)], [np.float64(6.297287017359545)], [np.float64(8.0059607862366)]]","[[np.float64(0.6079757835608773)], [np.float64(0.654369103098877)], [np.float64(0.682123438452772)], [np.float64(0.7958887321527504)], [np.float64(0.8943448089364204)], [np.float64(0.9210120780595044)], [np.float64(0.9659996044814634)], [np.float64(1.0585833372131375)], [np.float64(1.0655239767455118)], [np.float64(1.116656252641536)], [np.float64(1.2195158401695512)], [np.float64(1.2642900666427723)], [np.float64(1.3576054305640055)], [np.float64(1.427075883166232)], [np.float64(1.4508069724197286)], [np.float64(1.65127238924992)], [np.float64(1.9253907862060005)], [np.float64(1.9993883095494562)], [np.float64(2.135386064682039)], [np.float64(2.9598740817224187)], [np.float64(3.6167289250503907)], [np.float64(5.014360858772253)], [np.float64(7.690458121228454)], [np.float64(11.96216246846928)]]"
