fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(1.645989270210266)], [np.float64(1.9767634916305539)], [np.float64(2.136271595954895)], [np.float64(2.7315646839141845)], [np.float64(3.049242210388184)], [np.float64(4.085958461761474)], [np.float64(7.343539371490494)], [np.float64(18.848644561767575)], [np.float64(42.64594329833985)]]","[[np.float64(1.22583453441196)], [np.float64(1.473583817483893)], [np.float64(1.7862670162540857)], [np.float64(2.0896129422235625)], [np.float64(2.5067098485968944)], [np.float64(3.5599081444682)], [np.float64(4.044607396734253)], [np.float64(5.9628741138935055)], [np.float64(8.241087642775378)]]","[[np.float64(0.772292935293667)], [np.float64(0.997680238823348)], [np.float64(1.1772991719642059)], [np.float64(1.3294975151541608)], [np.float64(1.582048390376024)], [np.float64(2.1733671332888442)], [np.float64(2.5985737713660377)], [np.float64(3.3171274901421874)], [np.float64(7.097079015687318)]]"
1,"[[np.float64(1.7041328287124633)], [np.float64(1.9512586498260498)], [np.float64(2.2797142362594607)], [np.float64(2.6677706718444827)], [np.float64(3.239007425308228)], [np.float64(4.760754537582397)], [np.float64(5.7891096496582035)], [np.float64(8.998676891326905)], [np.float64(46.336706161499116)]]","[[np.float64(1.267644654950984)], [np.float64(1.4889660741095725)], [np.float64(1.6591140156418136)], [np.float64(2.1754715331224155)], [np.float64(2.7736867430194145)], [np.float64(3.6648115784084556)], [np.float64(4.978993148850283)], [np.float64(6.344975880357581)], [np.float64(10.239485533087551)]]","[[np.float64(0.7739705734288538)], [np.float64(0.964181167329706)], [np.float64(1.1729902322796861)], [np.float64(1.2822498588422273)], [np.float64(1.7443747436140813)], [np.float64(2.2325902275051295)], [np.float64(2.950718313119566)], [np.float64(4.324910723036196)], [np.float64(9.564923064007232)]]"
2,"[[np.float64(2.2710772085189816)], [np.float64(3.236934404373169)], [np.float64(3.625933885574341)], [np.float64(4.465630340576172)], [np.float64(6.169918251037598)], [np.float64(8.73500461578369)], [np.float64(28.352482910156258)], [np.float64(55.83023986816408)], [np.float64(78.17488265991213)]]","[[np.float64(1.6699756933416996)], [np.float64(1.9578321184432963)], [np.float64(2.601926206467593)], [np.float64(3.1267555232168953)], [np.float64(4.096218544060515)], [np.float64(4.911518101710203)], [np.float64(6.477025383377803)], [np.float64(7.679711295668662)], [np.float64(10.815562997527355)]]","[[np.float64(1.0217825359961048)], [np.float64(1.1539225979698673)], [np.float64(1.426319679739329)], [np.float64(2.345876887317759)], [np.float64(3.307303599864527)], [np.float64(4.248610617684289)], [np.float64(6.810687983757595)], [np.float64(12.70862818687722)], [np.float64(29.108784880499655)]]"
3,"[[np.float64(1.9890976285934447)], [np.float64(2.45592387676239)], [np.float64(2.9876046228408817)], [np.float64(3.5897749853134155)], [np.float64(4.43386390209198)], [np.float64(5.885621409416199)], [np.float64(7.191272764205935)], [np.float64(14.707177295684817)], [np.float64(30.429946155548098)]]","[[np.float64(1.5443260552615514)], [np.float64(1.7785890262747397)], [np.float64(1.9677434139313696)], [np.float64(2.381767260941356)], [np.float64(2.787280828975416)], [np.float64(3.6928069998432083)], [np.float64(4.568842878903932)], [np.float64(6.608622159575663)], [np.float64(10.614461029976397)]]","[[np.float64(0.8587586741372739)], [np.float64(0.9396875343515151)], [np.float64(1.0221777908583514)], [np.float64(1.2048425795257316)], [np.float64(1.4418306702418628)], [np.float64(1.8603923979257886)], [np.float64(2.692428310690371)], [np.float64(3.6744874347388317)], [np.float64(9.27152768220498)]]"
4,"[[np.float64(2.215537452697754)], [np.float64(2.425881233215332)], [np.float64(2.888025336265564)], [np.float64(3.424949812889099)], [np.float64(4.630211091041565)], [np.float64(7.941760921478272)], [np.float64(11.327150573730474)], [np.float64(23.235351352691655)], [np.float64(40.182365036010744)]]","[[np.float64(1.4133851264408448)], [np.float64(1.7792237939348463)], [np.float64(1.9993951845796412)], [np.float64(2.497405322784999)], [np.float64(3.2094020860654684)], [np.float64(3.4434834224111563)], [np.float64(5.472438748122703)], [np.float64(8.222378785861341)], [np.float64(11.91281317183112)]]","[[np.float64(1.1983020125150816)], [np.float64(1.3692190445254617)], [np.float64(1.5292931119080062)], [np.float64(1.621841249580781)], [np.float64(1.8082624765724393)], [np.float64(2.159293414022947)], [np.float64(3.1415491876208868)], [np.float64(4.813748891795916)], [np.float64(12.771109442811131)]]"
5,"[[np.float64(1.5820009756088258)], [np.float64(2.038238515853882)], [np.float64(2.4824917459487916)], [np.float64(2.7238069629669193)], [np.float64(3.0825549602508544)], [np.float64(3.710537586212158)], [np.float64(5.292352333068849)], [np.float64(12.748172702789319)], [np.float64(38.21600517272952)]]","[[np.float64(1.3657849101876587)], [np.float64(1.5131168198976215)], [np.float64(1.8976311526398644)], [np.float64(2.379032069936382)], [np.float64(2.660765316262955)], [np.float64(3.0490934759750217)], [np.float64(3.9099467954507072)], [np.float64(4.883504388709708)], [np.float64(16.18825311053661)]]","[[np.float64(1.1686114767883442)], [np.float64(1.287186394593891)], [np.float64(1.4221170057963666)], [np.float64(1.6670725487694034)], [np.float64(1.7611992050358038)], [np.float64(1.9950363232223483)], [np.float64(2.2001028015522657)], [np.float64(3.6942565573592705)], [np.float64(8.105655010290047)]]"
6,"[[np.float64(1.9853662776947023)], [np.float64(2.2216133642196656)], [np.float64(2.922350709438324)], [np.float64(3.284978952407837)], [np.float64(3.8736804246902468)], [np.float64(6.260589990615842)], [np.float64(14.892640352249163)], [np.float64(27.491456069946302)], [np.float64(54.37275783538818)]]","[[np.float64(1.8356696185306)], [np.float64(2.009776759241618)], [np.float64(2.3017911254327448)], [np.float64(2.5693847880012415)], [np.float64(3.5788884200199984)], [np.float64(4.0920927833085115)], [np.float64(5.250493431173828)], [np.float64(6.803079851880835)], [np.float64(15.33760319593013)]]","[[np.float64(1.5555240265224355)], [np.float64(1.8386248642346432)], [np.float64(2.0720901073875173)], [np.float64(2.494163567951161)], [np.float64(3.5953774978141047)], [np.float64(4.096789235695259)], [np.float64(6.46047009535936)], [np.float64(8.61583276616966)], [np.float64(10.336511365151006)]]"
7,"[[np.float64(2.7080882167816163)], [np.float64(3.3139742994308476)], [np.float64(3.6503176116943363)], [np.float64(4.078570575714111)], [np.float64(5.408932948112488)], [np.float64(9.04775405883789)], [np.float64(22.167091512680074)], [np.float64(29.28516765594483)], [np.float64(61.35210845947264)]]","[[np.float64(1.6033887430237028)], [np.float64(1.9692192986296186)], [np.float64(2.1558290357246372)], [np.float64(2.4693987115070843)], [np.float64(2.8784829376215955)], [np.float64(3.503989474566143)], [np.float64(4.535873249025385)], [np.float64(5.906344803945948)], [np.float64(14.965247113707443)]]","[[np.float64(0.7394700753358588)], [np.float64(0.870699777525976)], [np.float64(1.093032359931985)], [np.float64(1.1538466751509542)], [np.float64(1.2594798580571336)], [np.float64(1.4377478176026401)], [np.float64(2.162773448387048)], [np.float64(2.9001807904126253)], [np.float64(6.208286937984528)]]"
