fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(2.084264636039734)], [np.float64(2.5428304862976074)], [np.float64(2.917270865440369)], [np.float64(3.1698944187164306)], [np.float64(3.990168881416321)], [np.float64(5.412011623382568)], [np.float64(11.926755280494724)], [np.float64(30.825673828125005)], [np.float64(56.592295837402396)]]","[[np.float64(1.4345380254641393)], [np.float64(1.5153900115934185)], [np.float64(1.5751007017756944)], [np.float64(1.9129645321548143)], [np.float64(2.594091045300577)], [np.float64(2.7476681574631305)], [np.float64(3.7282499607028496)], [np.float64(5.290786174537436)], [np.float64(11.65244044248298)]]","[[np.float64(0.8541329394608729)], [np.float64(1.024735974815146)], [np.float64(1.1524749578049964)], [np.float64(1.4608750227667362)], [np.float64(1.6531388684516344)], [np.float64(2.054015366076102)], [np.float64(2.6489362865907338)], [np.float64(3.8587276016837975)], [np.float64(7.5945205931650825)]]"
1,"[[np.float64(1.7744934225082396)], [np.float64(2.0033432483673095)], [np.float64(2.2032093381881714)], [np.float64(2.3692491197586056)], [np.float64(2.5152982473373413)], [np.float64(2.6690574455261227)], [np.float64(3.032238388061524)], [np.float64(4.918962945938112)], [np.float64(30.097162284851088)]]","[[np.float64(1.3049598084649037)], [np.float64(1.5207421262116443)], [np.float64(1.659323665643195)], [np.float64(1.7846468124067274)], [np.float64(1.8716672199116964)], [np.float64(2.0049812699988347)], [np.float64(2.229516593592528)], [np.float64(4.177845871673426)], [np.float64(7.297024041018039)]]","[[np.float64(0.7359657453742234)], [np.float64(0.9546573737947264)], [np.float64(1.0517475953390931)], [np.float64(1.1049311800494261)], [np.float64(1.234391153924919)], [np.float64(1.317669803223806)], [np.float64(1.4590382683358931)], [np.float64(1.7014003200818364)], [np.float64(8.827833985639646)]]"
2,"[[np.float64(1.4908450222015381)], [np.float64(1.9467320203781129)], [np.float64(2.294777889251709)], [np.float64(2.5784740781784063)], [np.float64(3.227112579345703)], [np.float64(3.9086616325378416)], [np.float64(7.059783821105961)], [np.float64(22.836599807739265)], [np.float64(38.49792953491212)]]","[[np.float64(1.1630907467141491)], [np.float64(1.3347237853776337)], [np.float64(1.4827126838780658)], [np.float64(1.674506035864625)], [np.float64(2.291271367154398)], [np.float64(3.020014471513259)], [np.float64(3.583690233251838)], [np.float64(4.454527592947287)], [np.float64(8.629389320714225)]]","[[np.float64(0.8926763267472058)], [np.float64(1.0216139987904942)], [np.float64(1.0948217019326887)], [np.float64(1.211345854479024)], [np.float64(1.4075496798312779)], [np.float64(1.470589924404028)], [np.float64(1.6289289786002559)], [np.float64(2.172430224629368)], [np.float64(4.139149216165954)]]"
3,"[[np.float64(1.8610723114013672)], [np.float64(2.2725981950759886)], [np.float64(2.7507878589630126)], [np.float64(2.890971884727478)], [np.float64(3.024621105194092)], [np.float64(3.3701724243164057)], [np.float64(3.9576935577392605)], [np.float64(7.321055665016175)], [np.float64(17.445464248657235)]]","[[np.float64(1.1721637579844453)], [np.float64(1.456226351969624)], [np.float64(1.6940745970751696)], [np.float64(1.9365303446178292)], [np.float64(2.028075642222232)], [np.float64(2.423410933719518)], [np.float64(2.8262473951640654)], [np.float64(3.565784179212396)], [np.float64(5.357140454020882)]]","[[np.float64(0.6838459496875283)], [np.float64(0.7421186013385054)], [np.float64(0.8741613330861385)], [np.float64(0.9596848646859407)], [np.float64(1.0291808258204884)], [np.float64(1.1494492706256842)], [np.float64(1.361082454420867)], [np.float64(1.5640157859340125)], [np.float64(2.041463138095024)]]"
4,"[[np.float64(1.3733389234542845)], [np.float64(1.608677978515625)], [np.float64(1.9872615861892702)], [np.float64(2.458637042045593)], [np.float64(2.68953218460083)], [np.float64(2.9266515684127805)], [np.float64(3.465053157806397)], [np.float64(7.646379051208498)], [np.float64(41.70569732666016)]]","[[np.float64(1.0809521822307206)], [np.float64(1.3056368517084838)], [np.float64(1.46275757057463)], [np.float64(1.5593164603815584)], [np.float64(1.7916351801455392)], [np.float64(2.4669807366315957)], [np.float64(3.0401260994830417)], [np.float64(5.369766953316597)], [np.float64(6.971876909262653)]]","[[np.float64(0.8504315960420308)], [np.float64(0.9505279387272437)], [np.float64(1.0372999260387608)], [np.float64(1.2268491991866264)], [np.float64(1.498469619305338)], [np.float64(1.5975563153478447)], [np.float64(2.042922251173377)], [np.float64(3.0180644192928603)], [np.float64(6.511462148568937)]]"
5,"[[np.float64(1.6128990173339843)], [np.float64(1.8266248512268066)], [np.float64(1.9375328063964843)], [np.float64(2.2983140230178836)], [np.float64(2.519048309326172)], [np.float64(3.2119557428359986)], [np.float64(3.6470862245559714)], [np.float64(6.832846574783326)], [np.float64(64.63805465698243)]]","[[np.float64(1.1706391883455853)], [np.float64(1.394848931457508)], [np.float64(1.5499362153312572)], [np.float64(1.8004777666071108)], [np.float64(2.0946617482890106)], [np.float64(2.4770231158436644)], [np.float64(3.325961157599539)], [np.float64(4.111183336111528)], [np.float64(6.2017954214212265)]]","[[np.float64(0.7817983744662003)], [np.float64(0.8503505417710789)], [np.float64(0.9155677054257408)], [np.float64(1.0345305829045128)], [np.float64(1.2025595349675842)], [np.float64(1.3193097097091682)], [np.float64(1.3859859993830639)], [np.float64(1.488218028988102)], [np.float64(3.122717382116291)]]"
6,"[[np.float64(1.366843864917755)], [np.float64(1.836265425682068)], [np.float64(2.007876310348511)], [np.float64(2.199260964393616)], [np.float64(2.4533908486366274)], [np.float64(3.043659439086914)], [np.float64(3.9481306505203255)], [np.float64(4.84699287414551)], [np.float64(33.8506665611267)]]","[[np.float64(1.1892015255445325)], [np.float64(1.359265173927233)], [np.float64(1.5100690876688923)], [np.float64(1.5707520457475141)], [np.float64(1.7531165175608696)], [np.float64(1.9911045347781475)], [np.float64(2.261238344571758)], [np.float64(3.271723593906682)], [np.float64(4.337117195618645)]]","[[np.float64(0.7889325714286946)], [np.float64(0.896072403854825)], [np.float64(0.9261583920540563)], [np.float64(1.0198085786912308)], [np.float64(1.1158853437910037)], [np.float64(1.2458671885423993)], [np.float64(1.5885527174149916)], [np.float64(1.8355729760665804)], [np.float64(2.0683965754358433)]]"
7,"[[np.float64(2.4729075074195865)], [np.float64(3.115292820930481)], [np.float64(4.229086155891419)], [np.float64(4.804896574020386)], [np.float64(5.2287181377410885)], [np.float64(6.070974864959717)], [np.float64(17.495803062915822)], [np.float64(37.28353588104252)], [np.float64(54.36120439529418)]]","[[np.float64(1.774459553620838)], [np.float64(2.3340304538287153)], [np.float64(2.6089966269859324)], [np.float64(2.976306341109667)], [np.float64(3.5943291930542633)], [np.float64(4.426531590391181)], [np.float64(6.083572945398254)], [np.float64(7.854618054508923)], [np.float64(9.882706312910733)]]","[[np.float64(0.8864878767638438)], [np.float64(0.970811398518657)], [np.float64(1.4260958308820009)], [np.float64(1.681693454782057)], [np.float64(1.9692613439925652)], [np.float64(2.3218012721209953)], [np.float64(3.0159915766542915)], [np.float64(5.333081816797881)], [np.float64(9.059796634607462)]]"
