fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.3071162549999995), np.float64(4.561552750000001), np.float64(7.71268422), np.float64(8.384097287999998), np.float64(11.06974956), np.float64(12.527649729000004), np.float64(30.147904200000024)]","[np.float64(3.9960189000000006), np.float64(4.886098383333334), np.float64(4.886098383333334), np.float64(4.886098383333334), np.float64(6.214436733333333), np.float64(8.964079333333332), np.float64(10.260625800000001), np.float64(34.60929207142858), np.float64(34.60929207142858)]","[np.float64(2.5833333333333335), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(6.611111111111111), np.float64(6.611111111111111), np.float64(8.0), np.float64(9.045454545454545), np.float64(9.045454545454545)]"
1,"[np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(6.3864035999999995), np.float64(7.836858506666666), np.float64(7.836858506666666), np.float64(7.836858506666666), np.float64(10.622883825000011)]","[np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(4.842996475), np.float64(7.6411150999999995), np.float64(7.6411150999999995), np.float64(8.165871875), np.float64(8.165871875)]","[np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(3.675), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(4.447368421052632), np.float64(7.2)]"
2,"[np.float64(3.7968599933333333), np.float64(4.643887783333334), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(13.820728149999999), np.float64(13.820728149999999), np.float64(43.77525053333337)]","[np.float64(3.7381460428571427), np.float64(3.953449), np.float64(4.504006875), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.1658698), np.float64(5.304967375), np.float64(11.311464866666668), np.float64(11.311464866666668)]","[np.float64(2.5714285714285716), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(12.055555555555555), np.float64(12.055555555555555)]"
3,"[np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(3.4156451736842106), np.float64(6.140827798666669), np.float64(6.401279873333335), np.float64(6.401279873333335), np.float64(7.531129), np.float64(15.216653600000011), np.float64(27.392363550000017)]","[np.float64(3.511896825), np.float64(3.511896825), np.float64(3.537482609999999), np.float64(4.890413130909094), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(5.224381463636363), np.float64(10.083896919999999)]","[np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(2.823529411764706), np.float64(3.4583333333333335), np.float64(3.4583333333333335), np.float64(3.9), np.float64(4.0), np.float64(10.307692307692308), np.float64(10.307692307692308)]"
4,"[np.float64(2.934692225), np.float64(3.3442698), np.float64(3.52766212), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(3.8495285790000002), np.float64(4.04835465), np.float64(6.066210160000001)]","[np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(4.319139), np.float64(4.780542416666667), np.float64(4.780542416666667), np.float64(6.247004966666668), np.float64(6.247004966666668)]","[np.float64(2.0), np.float64(2.0), np.float64(2.15), np.float64(2.25), np.float64(2.5), np.float64(2.75), np.float64(5.079999999999992), np.float64(5.95), np.float64(9.790000000000028)]"
5,"[np.float64(2.9837180857142864), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(4.888336750000001), np.float64(6.111154077333346), np.float64(9.928317168000019)]","[np.float64(3.647607233333333), np.float64(3.647607233333333), np.float64(3.647607233333333), np.float64(4.14909508), np.float64(4.35228535), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(4.998538716666666), np.float64(6.016351303333338)]","[np.float64(1.75), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(3.0833333333333335), np.float64(4.0), np.float64(6.5), np.float64(7.300000000000004)]"
6,"[np.float64(2.79415492), np.float64(2.79415492), np.float64(2.993740283333333), np.float64(2.993740283333333), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(3.628857045), np.float64(11.511537749999993)]","[np.float64(2.759284522222222), np.float64(2.7924297757777774), np.float64(2.9250107900000004), np.float64(3.2461440246666684), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667), np.float64(3.727843876666667)]","[np.float64(1.6196428571428607), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.892857142857143), np.float64(2.892857142857143), np.float64(2.892857142857143)]"
7,"[np.float64(3.067869336363636), np.float64(3.067869336363636), np.float64(3.1902384104545463), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(4.830853889166672), np.float64(5.944066139999999), np.float64(32.50128889999987)]","[np.float64(2.613560221428571), np.float64(2.613560221428571), np.float64(3.10429024), np.float64(3.61779846), np.float64(3.6361693499999994), np.float64(3.8832635279999996), np.float64(4.395010280000003), np.float64(4.9087463960000015), np.float64(5.623444185)]","[np.float64(1.9285714285714286), np.float64(2.3), np.float64(3.0500000000000007), np.float64(3.1666666666666665), np.float64(3.1666666666666665), np.float64(3.625), np.float64(3.7222222222222223), np.float64(6.877777777777796), np.float64(7.666666666666667)]"
