fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(1.2197619342803956)], [np.float64(1.6128990173339843)], [np.float64(1.7743942975997924)], [np.float64(2.0228043746948243)], [np.float64(2.4097254514694213)], [np.float64(4.217845358848572)], [np.float64(6.225220189094545)], [np.float64(10.447960882186893)], [np.float64(44.44230672836314)]]","[[np.float64(0.9279842248859321)], [np.float64(1.0126098078391232)], [np.float64(1.288533072912042)], [np.float64(1.4101999778130372)], [np.float64(1.5505690643657675)], [np.float64(2.619367869114253)], [np.float64(2.7977476333238034)], [np.float64(5.823444502048224)], [np.float64(7.668841288413067)]]","[[np.float64(0.5109300328700516)], [np.float64(0.641738676374174)], [np.float64(0.6870814272977137)], [np.float64(0.8199608648047284)], [np.float64(1.3259601398907128)], [np.float64(1.5118492048041057)], [np.float64(2.003588071473932)], [np.float64(7.470226961666523)], [np.float64(12.205012236205237)]]"
1,"[[np.float64(1.0474765062332154)], [np.float64(1.2125483322143553)], [np.float64(1.4601126194000245)], [np.float64(1.6503759670257567)], [np.float64(1.939919352531433)], [np.float64(2.322040500640869)], [np.float64(2.5706937313079834)], [np.float64(3.6437489700317385)], [np.float64(8.189519844055194)]]","[[np.float64(0.7313607411923206)], [np.float64(0.8695668726198696)], [np.float64(0.9882826341528191)], [np.float64(1.093922502357051)], [np.float64(1.1939795709218046)], [np.float64(1.4307846706810763)], [np.float64(1.819451283512087)], [np.float64(2.493911315094931)], [np.float64(3.5456829532250285)]]","[[np.float64(0.6142856968804791)], [np.float64(0.6533888513759759)], [np.float64(0.791775267099958)], [np.float64(0.8506316109754759)], [np.float64(0.8918946213700902)], [np.float64(1.0096119118794562)], [np.float64(1.0949894836559886)], [np.float64(1.3234278455350312)], [np.float64(3.1288588145333667)]]"
2,"[[np.float64(1.6178619384765625)], [np.float64(1.8298803186416621)], [np.float64(2.2747981452941892)], [np.float64(2.596155352592468)], [np.float64(3.475640630722046)], [np.float64(5.610292377471923)], [np.float64(11.676125564575196)], [np.float64(18.53543182373047)], [np.float64(59.493324279785185)]]","[[np.float64(1.0060358627059782)], [np.float64(1.166600284454196)], [np.float64(1.4596928684048829)], [np.float64(1.7807479055366984)], [np.float64(2.401786485855612)], [np.float64(2.9237956580162483)], [np.float64(3.9940095622000285)], [np.float64(5.616518888662687)], [np.float64(7.880397985503993)]]","[[np.float64(0.6310537949914136)], [np.float64(0.7764271266204026)], [np.float64(0.9197723089548224)], [np.float64(1.0553079509639773)], [np.float64(1.2228357896037472)], [np.float64(1.5202549933428289)], [np.float64(2.0722156068461293)], [np.float64(2.456238905218752)], [np.float64(3.4756960007815896)]]"
3,"[[np.float64(1.9228994607925416)], [np.float64(2.3905882787704464)], [np.float64(2.5533608531951906)], [np.float64(3.0156808853149415)], [np.float64(3.707737421989441)], [np.float64(4.350491800308228)], [np.float64(6.847385730743413)], [np.float64(18.255052490234377)], [np.float64(39.46952850341799)]]","[[np.float64(1.3129237226193926)], [np.float64(1.4921835955814262)], [np.float64(1.6178343909039383)], [np.float64(1.8928888132291273)], [np.float64(2.3351633472020623)], [np.float64(2.615414328439771)], [np.float64(3.1828737451515154)], [np.float64(3.940733977862646)], [np.float64(5.172830726069741)]]","[[np.float64(0.6495466742483805)], [np.float64(0.6867223193331682)], [np.float64(0.728663317939172)], [np.float64(0.8437734891413287)], [np.float64(0.9139003336913661)], [np.float64(0.9960643903144198)], [np.float64(1.2398304339574082)], [np.float64(1.589714401139389)], [np.float64(2.1225197031421383)]]"
4,"[[np.float64(1.24721360206604)], [np.float64(1.3772699117660523)], [np.float64(1.5943642616271974)], [np.float64(1.805773196220398)], [np.float64(1.9268827438354488)], [np.float64(2.0763532066345216)], [np.float64(2.236555676460266)], [np.float64(2.708028292655945)], [np.float64(4.162319903373723)]]","[[np.float64(0.8899574724217091)], [np.float64(0.9365328098057024)], [np.float64(1.002767867117893)], [np.float64(1.0568119289003717)], [np.float64(1.1844097509957163)], [np.float64(1.3450070849905174)], [np.float64(1.5409294613483666)], [np.float64(2.0087100120002104)], [np.float64(2.746648040892414)]]","[[np.float64(0.8812913613331634)], [np.float64(1.0067113899995515)], [np.float64(1.1097800320459565)], [np.float64(1.1670782415593697)], [np.float64(1.2587481880871387)], [np.float64(1.482335553042623)], [np.float64(1.680059896961235)], [np.float64(2.3056265848682718)], [np.float64(3.0229042423005947)]]"
5,"[[np.float64(1.5985127639770509)], [np.float64(1.8244835138320925)], [np.float64(2.076535367965698)], [np.float64(2.3582155132293705)], [np.float64(2.798717451095581)], [np.float64(3.4690590047836305)], [np.float64(4.293188295364381)], [np.float64(5.375899500846863)], [np.float64(8.258352479934697)]]","[[np.float64(0.9337691156602964)], [np.float64(1.1358030021846668)], [np.float64(1.332557504727612)], [np.float64(1.6965748590244092)], [np.float64(1.8209966415218262)], [np.float64(2.2211126034125432)], [np.float64(3.0346487516262535)], [np.float64(3.6279215288793107)], [np.float64(7.0712675152674915)]]","[[np.float64(0.6333808774022677)], [np.float64(0.7089952346581968)], [np.float64(0.778464005168588)], [np.float64(0.9142537036727353)], [np.float64(1.0887262599670569)], [np.float64(1.291226282074289)], [np.float64(1.774016070888606)], [np.float64(2.4043590618785635)], [np.float64(3.8340618693645907)]]"
6,"[[np.float64(1.21633047580719)], [np.float64(1.4569192266464233)], [np.float64(1.7343642616271977)], [np.float64(1.950515022277832)], [np.float64(2.045000600814819)], [np.float64(2.1487957954406736)], [np.float64(2.4958680987358095)], [np.float64(3.321520490646364)], [np.float64(10.237265567779538)]]","[[np.float64(0.9293713169707488)], [np.float64(1.0871669825550299)], [np.float64(1.1748112878074144)], [np.float64(1.3238089904793449)], [np.float64(1.546990796396615)], [np.float64(1.7037821285628216)], [np.float64(1.964548678316436)], [np.float64(2.5706357027487297)], [np.float64(4.319295807548085)]]","[[np.float64(0.7961045252701261)], [np.float64(0.8620873615388314)], [np.float64(0.9945849180331334)], [np.float64(1.1203069116160136)], [np.float64(1.2646229187792444)], [np.float64(1.4399390329792152)], [np.float64(1.5884444827208486)], [np.float64(1.705519472049158)], [np.float64(3.707249507785509)]]"
7,"[[np.float64(1.3691168737411499)], [np.float64(1.6885848760604856)], [np.float64(1.9401873278617858)], [np.float64(2.7079352283477784)], [np.float64(2.935933327674866)], [np.float64(3.2926406955718988)], [np.float64(5.248741471767429)], [np.float64(7.9959181499481256)], [np.float64(43.351240997314456)]]","[[np.float64(0.9624807607982747)], [np.float64(1.1590926476130372)], [np.float64(1.366707980666646)], [np.float64(1.7099758321969334)], [np.float64(2.2095661683853853)], [np.float64(2.330810701549876)], [np.float64(3.5762009585283856)], [np.float64(4.863131261154186)], [np.float64(5.600385866416204)]]","[[np.float64(0.6581883573940683)], [np.float64(0.8943448089364204)], [np.float64(1.0398898551568427)], [np.float64(1.1166562526415362)], [np.float64(1.3058505756484629)], [np.float64(1.4508069724197286)], [np.float64(1.9804955383763863)], [np.float64(2.9598740817224187)], [np.float64(6.903028794057056)]]"
