fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(4.9337184785714285), np.float64(4.9337184785714285), np.float64(5.587758841428576), np.float64(6.023785750000001), np.float64(6.9941569999999995), np.float64(7.8499281000000005), np.float64(17.090702), np.float64(18.1380215), np.float64(41.0538454)]","[np.float64(4.981269335294119), np.float64(4.981269335294119), np.float64(4.981269335294119), np.float64(5.00676655), np.float64(5.00676655), np.float64(14.357026533333332), np.float64(14.357026533333332), np.float64(19.358294166666667), np.float64(32.1559308333334)]","[np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(11.857142857142858), np.float64(54.875)]"
1,"[np.float64(4.588649515384616), np.float64(4.588649515384616), np.float64(4.6592978333333335), np.float64(4.747546833333334), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.247751966666666), np.float64(5.9970785), np.float64(31.274841)]","[np.float64(4.102702266666666), np.float64(5.04936018), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.89290355), np.float64(10.182999200000346)]","[np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.5), np.float64(3.6333333333333364), np.float64(3.6666666666666665), np.float64(3.6666666666666665), np.float64(32.75)]"
2,"[np.float64(6.3035227), np.float64(6.461028799999999), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(12.249073875), np.float64(38.789965)]","[np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(8.064482313333334), np.float64(8.064482313333334), np.float64(8.064482313333334), np.float64(26.94180142222222), np.float64(26.94180142222222)]","[np.float64(3.96875), np.float64(3.96875), np.float64(3.96875), np.float64(4.5), np.float64(13.384615384615385), np.float64(13.384615384615385), np.float64(13.384615384615385), np.float64(17.03000000000001), np.float64(18.05)]"
3,"[np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(17.13657925)]","[np.float64(4.564207311111111), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317)]","[np.float64(2.5714285714285716), np.float64(4.125), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(8.737500000000002), np.float64(9.21875), np.float64(9.21875)]"
4,"[np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(7.11247205), np.float64(7.11247205), np.float64(7.11247205), np.float64(39.070407)]","[np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(6.492051601904763), np.float64(25.543009375)]","[np.float64(2.7600000000000007), np.float64(3.7142857142857144), np.float64(3.829464285714287), np.float64(3.90625), np.float64(3.90625), np.float64(4.074999999999998), np.float64(5.375), np.float64(16.7), np.float64(31.916666666666668)]"
5,"[np.float64(3.8520545625), np.float64(4.615360279999999), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(42.964909999999996)]","[np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.764036241666667), np.float64(4.764036241666667), np.float64(5.747489076666672), np.float64(7.4218692399999995)]","[np.float64(2.8181818181818183), np.float64(2.8181818181818183), np.float64(3.2916666666666665), np.float64(3.2916666666666665), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(3.6842105263157894), np.float64(7.142857142857143)]"
6,"[np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(4.645798988888888), np.float64(4.645798988888888), np.float64(6.1879246), np.float64(22.604751499999985)]","[np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(4.5163032468571425), np.float64(5.591199233666677), np.float64(5.853065116666667), np.float64(6.434713879999999)]","[np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(3.0555555555555554), np.float64(3.0555555555555554), np.float64(4.666666666666667), np.float64(4.666666666666667), np.float64(4.666666666666667)]"
7,"[np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.365670629999999), np.float64(6.388022440857143), np.float64(6.421550157142858), np.float64(7.181169125), np.float64(12.658748254166689), np.float64(28.521409600000055), np.float64(44.66329216666667)]","[np.float64(6.253866726666668), np.float64(6.253866726666668), np.float64(6.377196958666671), np.float64(6.8485973), np.float64(6.8485973), np.float64(6.8485973), np.float64(15.93813194), np.float64(15.93813194), np.float64(22.714436625)]","[np.float64(2.8), np.float64(2.8), np.float64(3.25), np.float64(3.375), np.float64(3.6666666666666665), np.float64(4.833333333333333), np.float64(22.25), np.float64(27.857142857142858), np.float64(44.625)]"
