fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(1.9767634916305539)], [np.float64(2.7315646839141845)], [np.float64(4.085958461761475)], [np.float64(18.848644561767575)]]","[[np.float64(1.473583817483893)], [np.float64(2.0896129422235625)], [np.float64(3.5599081444682)], [np.float64(5.9628741138935055)]]","[[np.float64(0.997680238823348)], [np.float64(1.3294975151541608)], [np.float64(2.1733671332888447)], [np.float64(3.3171274901421874)]]"
1,"[[np.float64(1.9512586498260498)], [np.float64(2.6677706718444827)], [np.float64(4.760754537582398)], [np.float64(8.998676891326905)]]","[[np.float64(1.4889660741095725)], [np.float64(2.1754715331224155)], [np.float64(3.6648115784084565)], [np.float64(6.344975880357581)]]","[[np.float64(0.964181167329706)], [np.float64(1.2822498588422273)], [np.float64(2.23259022750513)], [np.float64(4.324910723036196)]]"
2,"[[np.float64(3.236934404373169)], [np.float64(4.465630340576172)], [np.float64(8.735004615783694)], [np.float64(55.83023986816408)]]","[[np.float64(1.9578321184432963)], [np.float64(3.1267555232168953)], [np.float64(4.911518101710205)], [np.float64(7.679711295668662)]]","[[np.float64(1.1539225979698673)], [np.float64(2.345876887317759)], [np.float64(4.248610617684289)], [np.float64(12.70862818687722)]]"
3,"[[np.float64(2.45592387676239)], [np.float64(3.5897749853134155)], [np.float64(5.8856214094162)], [np.float64(14.707177295684817)]]","[[np.float64(1.7785890262747397)], [np.float64(2.381767260941356)], [np.float64(3.692806999843209)], [np.float64(6.608622159575663)]]","[[np.float64(0.9396875343515151)], [np.float64(1.2048425795257316)], [np.float64(1.860392397925789)], [np.float64(3.6744874347388317)]]"
4,"[[np.float64(2.425881233215332)], [np.float64(3.424949812889099)], [np.float64(7.941760921478273)], [np.float64(23.235351352691655)]]","[[np.float64(1.7792237939348463)], [np.float64(2.497405322784999)], [np.float64(3.443483422411157)], [np.float64(8.222378785861341)]]","[[np.float64(1.3692190445254617)], [np.float64(1.621841249580781)], [np.float64(2.1592934140229474)], [np.float64(4.813748891795916)]]"
5,"[[np.float64(2.038238515853882)], [np.float64(2.7238069629669193)], [np.float64(3.7105375862121597)], [np.float64(12.748172702789319)]]","[[np.float64(1.5131168198976215)], [np.float64(2.379032069936382)], [np.float64(3.0490934759750217)], [np.float64(4.883504388709708)]]","[[np.float64(1.287186394593891)], [np.float64(1.6670725487694034)], [np.float64(1.9950363232223487)], [np.float64(3.6942565573592705)]]"
6,"[[np.float64(2.2216133642196656)], [np.float64(3.284978952407837)], [np.float64(6.26058999061585)], [np.float64(27.491456069946302)]]","[[np.float64(2.009776759241618)], [np.float64(2.5693847880012415)], [np.float64(4.092092783308513)], [np.float64(6.803079851880835)]]","[[np.float64(1.8386248642346432)], [np.float64(2.494163567951161)], [np.float64(4.096789235695259)], [np.float64(8.61583276616966)]]"
7,"[[np.float64(3.3139742994308476)], [np.float64(4.078570575714111)], [np.float64(9.04775405883789)], [np.float64(29.28516765594483)]]","[[np.float64(1.9692192986296186)], [np.float64(2.4693987115070843)], [np.float64(3.5039894745661444)], [np.float64(5.906344803945948)]]","[[np.float64(0.870699777525976)], [np.float64(1.1538466751509542)], [np.float64(1.4377478176026413)], [np.float64(2.9001807904126253)]]"
