fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(1.6128990173339843)], [np.float64(2.0228043746948243)], [np.float64(4.217845358848575)], [np.float64(10.447960882186893)]]","[[np.float64(1.0126098078391232)], [np.float64(1.4101999778130372)], [np.float64(2.619367869114253)], [np.float64(5.823444502048224)]]","[[np.float64(0.641738676374174)], [np.float64(0.8199608648047284)], [np.float64(1.511849204804106)], [np.float64(7.470226961666523)]]"
1,"[[np.float64(1.2125483322143553)], [np.float64(1.6503759670257567)], [np.float64(2.322040500640869)], [np.float64(3.6437489700317385)]]","[[np.float64(0.8695668726198696)], [np.float64(1.093922502357051)], [np.float64(1.4307846706810767)], [np.float64(2.493911315094931)]]","[[np.float64(0.6533888513759759)], [np.float64(0.8506316109754759)], [np.float64(1.0096119118794562)], [np.float64(1.3234278455350312)]]"
2,"[[np.float64(1.8298803186416621)], [np.float64(2.596155352592468)], [np.float64(5.610292377471925)], [np.float64(18.53543182373047)]]","[[np.float64(1.166600284454196)], [np.float64(1.7807479055366984)], [np.float64(2.9237956580162496)], [np.float64(5.616518888662687)]]","[[np.float64(0.7764271266204026)], [np.float64(1.0553079509639773)], [np.float64(1.520254993342829)], [np.float64(2.456238905218752)]]"
3,"[[np.float64(2.3905882787704464)], [np.float64(3.0156808853149415)], [np.float64(4.350491800308228)], [np.float64(18.255052490234377)]]","[[np.float64(1.4921835955814262)], [np.float64(1.8928888132291273)], [np.float64(2.615414328439771)], [np.float64(3.940733977862646)]]","[[np.float64(0.6867223193331682)], [np.float64(0.8437734891413287)], [np.float64(0.99606439031442)], [np.float64(1.589714401139389)]]"
4,"[[np.float64(1.3772699117660523)], [np.float64(1.805773196220398)], [np.float64(2.076353206634522)], [np.float64(2.708028292655945)]]","[[np.float64(0.9365328098057024)], [np.float64(1.0568119289003717)], [np.float64(1.3450070849905176)], [np.float64(2.0087100120002104)]]","[[np.float64(1.0067113899995515)], [np.float64(1.1670782415593697)], [np.float64(1.482335553042623)], [np.float64(2.3056265848682718)]]"
5,"[[np.float64(1.8244835138320925)], [np.float64(2.3582155132293705)], [np.float64(3.4690590047836305)], [np.float64(5.375899500846863)]]","[[np.float64(1.1358030021846668)], [np.float64(1.6965748590244092)], [np.float64(2.2211126034125437)], [np.float64(3.6279215288793107)]]","[[np.float64(0.7089952346581968)], [np.float64(0.9142537036727353)], [np.float64(1.2912262820742892)], [np.float64(2.4043590618785635)]]"
6,"[[np.float64(1.4569192266464233)], [np.float64(1.950515022277832)], [np.float64(2.148795795440674)], [np.float64(3.321520490646364)]]","[[np.float64(1.0871669825550299)], [np.float64(1.3238089904793449)], [np.float64(1.7037821285628216)], [np.float64(2.5706357027487297)]]","[[np.float64(0.8620873615388314)], [np.float64(1.1203069116160136)], [np.float64(1.4399390329792157)], [np.float64(1.705519472049158)]]"
7,"[[np.float64(1.6885848760604856)], [np.float64(2.7079352283477784)], [np.float64(3.2926406955719005)], [np.float64(7.9959181499481256)]]","[[np.float64(1.1590926476130372)], [np.float64(1.7099758321969334)], [np.float64(2.330810701549876)], [np.float64(4.863131261154186)]]","[[np.float64(0.8943448089364204)], [np.float64(1.1166562526415362)], [np.float64(1.4508069724197286)], [np.float64(2.9598740817224187)]]"
