fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(4.9337184785714285), np.float64(6.023785750000001), np.float64(7.8499281000000005), np.float64(18.1380215)]","[np.float64(4.981269335294119), np.float64(5.00676655), np.float64(14.357026533333332), np.float64(19.358294166666667)]","[np.float64(3.5), np.float64(6.555555555555555), np.float64(6.555555555555555), np.float64(11.857142857142858)]"
1,"[np.float64(4.588649515384616), np.float64(4.747546833333334), np.float64(5.247751966666666), np.float64(5.9970785)]","[np.float64(5.04936018), np.float64(5.660945770833334), np.float64(5.660945770833334), np.float64(5.89290355)]","[np.float64(3.5), np.float64(3.5), np.float64(3.6333333333333364), np.float64(3.6666666666666665)]"
2,"[np.float64(6.461028799999999), np.float64(6.610248929166667), np.float64(6.610248929166667), np.float64(12.249073875)]","[np.float64(6.102453818181818), np.float64(6.102453818181818), np.float64(8.064482313333334), np.float64(26.94180142222222)]","[np.float64(3.96875), np.float64(4.5), np.float64(13.384615384615385), np.float64(17.03000000000001)]"
3,"[np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425), np.float64(8.1404919425)]","[np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317), np.float64(8.889981231707317)]","[np.float64(4.125), np.float64(8.416666666666666), np.float64(8.416666666666666), np.float64(9.21875)]"
4,"[np.float64(5.461513288888888), np.float64(5.461513288888888), np.float64(7.11247205), np.float64(7.11247205)]","[np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(5.902382254761905), np.float64(6.492051601904763)]","[np.float64(3.7142857142857144), np.float64(3.90625), np.float64(4.0750000000000055), np.float64(16.7)]"
5,"[np.float64(4.615360279999999), np.float64(5.738090166666668), np.float64(5.738090166666668), np.float64(5.738090166666668)]","[np.float64(4.726043013333333), np.float64(4.726043013333333), np.float64(4.764036241666667), np.float64(5.747489076666672)]","[np.float64(2.8181818181818183), np.float64(3.2916666666666665), np.float64(3.6842105263157894), np.float64(3.6842105263157894)]"
6,"[np.float64(3.952207714814815), np.float64(3.952207714814815), np.float64(4.645798988888888), np.float64(6.1879246)]","[np.float64(3.820489857142857), np.float64(3.820489857142857), np.float64(4.516303246857149), np.float64(5.853065116666667)]","[np.float64(2.1052631578947367), np.float64(2.1052631578947367), np.float64(3.0555555555555554), np.float64(4.666666666666667)]"
7,"[np.float64(6.365670629999999), np.float64(6.388022440857143), np.float64(7.181169125), np.float64(28.521409600000055)]","[np.float64(6.253866726666668), np.float64(6.8485973), np.float64(6.8485973), np.float64(15.93813194)]","[np.float64(2.8), np.float64(3.375), np.float64(4.833333333333333), np.float64(27.857142857142858)]"
