fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[[np.float64(2.5428304862976074)], [np.float64(3.1698944187164306)], [np.float64(5.412011623382569)], [np.float64(30.825673828125005)]]","[[np.float64(1.5153900115934185)], [np.float64(1.9129645321548143)], [np.float64(2.7476681574631305)], [np.float64(5.290786174537436)]]","[[np.float64(1.024735974815146)], [np.float64(1.4608750227667362)], [np.float64(2.054015366076103)], [np.float64(3.8587276016837975)]]"
1,"[[np.float64(2.0033432483673095)], [np.float64(2.3692491197586056)], [np.float64(2.669057445526123)], [np.float64(4.918962945938112)]]","[[np.float64(1.5207421262116443)], [np.float64(1.7846468124067274)], [np.float64(2.0049812699988347)], [np.float64(4.177845871673426)]]","[[np.float64(0.9546573737947264)], [np.float64(1.1049311800494261)], [np.float64(1.317669803223806)], [np.float64(1.7014003200818364)]]"
2,"[[np.float64(1.9467320203781129)], [np.float64(2.5784740781784063)], [np.float64(3.908661632537842)], [np.float64(22.836599807739265)]]","[[np.float64(1.3347237853776337)], [np.float64(1.674506035864625)], [np.float64(3.020014471513259)], [np.float64(4.454527592947287)]]","[[np.float64(1.0216139987904942)], [np.float64(1.211345854479024)], [np.float64(1.470589924404028)], [np.float64(2.172430224629368)]]"
3,"[[np.float64(2.2725981950759886)], [np.float64(2.890971884727478)], [np.float64(3.3701724243164066)], [np.float64(7.321055665016175)]]","[[np.float64(1.456226351969624)], [np.float64(1.9365303446178292)], [np.float64(2.4234109337195187)], [np.float64(3.565784179212396)]]","[[np.float64(0.7421186013385054)], [np.float64(0.9596848646859407)], [np.float64(1.1494492706256842)], [np.float64(1.5640157859340125)]]"
4,"[[np.float64(1.608677978515625)], [np.float64(2.458637042045593)], [np.float64(2.926651568412781)], [np.float64(7.646379051208498)]]","[[np.float64(1.3056368517084838)], [np.float64(1.5593164603815584)], [np.float64(2.4669807366315966)], [np.float64(5.369766953316597)]]","[[np.float64(0.9505279387272437)], [np.float64(1.2268491991866264)], [np.float64(1.597556315347845)], [np.float64(3.0180644192928603)]]"
5,"[[np.float64(1.8266248512268066)], [np.float64(2.2983140230178836)], [np.float64(3.211955742835999)], [np.float64(6.832846574783326)]]","[[np.float64(1.394848931457508)], [np.float64(1.8004777666071108)], [np.float64(2.4770231158436653)], [np.float64(4.111183336111528)]]","[[np.float64(0.8503505417710789)], [np.float64(1.0345305829045128)], [np.float64(1.3193097097091684)], [np.float64(1.488218028988102)]]"
6,"[[np.float64(1.836265425682068)], [np.float64(2.199260964393616)], [np.float64(3.0436594390869143)], [np.float64(4.84699287414551)]]","[[np.float64(1.359265173927233)], [np.float64(1.5707520457475141)], [np.float64(1.9911045347781477)], [np.float64(3.271723593906682)]]","[[np.float64(0.896072403854825)], [np.float64(1.0198085786912308)], [np.float64(1.2458671885423995)], [np.float64(1.8355729760665804)]]"
7,"[[np.float64(3.115292820930481)], [np.float64(4.804896574020386)], [np.float64(6.070974864959719)], [np.float64(37.28353588104252)]]","[[np.float64(2.3340304538287153)], [np.float64(2.976306341109667)], [np.float64(4.426531590391183)], [np.float64(7.854618054508923)]]","[[np.float64(0.970811398518657)], [np.float64(1.681693454782057)], [np.float64(2.3218012721209957)], [np.float64(5.333081816797881)]]"
