fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(4.3071162549999995), np.float64(4.561552750000001), np.float64(8.384097288000008), np.float64(12.527649729000004)]","[np.float64(4.886098383333334), np.float64(4.886098383333334), np.float64(8.964079333333332), np.float64(34.60929207142858)]","[np.float64(3.0588235294117645), np.float64(3.0588235294117645), np.float64(6.611111111111111), np.float64(9.045454545454545)]"
1,"[np.float64(4.844776891304348), np.float64(4.844776891304348), np.float64(7.836858506666666), np.float64(7.836858506666666)]","[np.float64(4.842996475), np.float64(4.842996475), np.float64(7.6411150999999995), np.float64(8.165871875)]","[np.float64(3.675), np.float64(3.675), np.float64(4.447368421052632), np.float64(4.447368421052632)]"
2,"[np.float64(4.643887783333334), np.float64(5.129438666666666), np.float64(5.129438666666666), np.float64(13.820728149999999)]","[np.float64(3.953449), np.float64(5.1658698), np.float64(5.1658698), np.float64(11.311464866666668)]","[np.float64(3.0), np.float64(3.0), np.float64(3.0), np.float64(12.055555555555555)]"
3,"[np.float64(3.4156451736842106), np.float64(6.140827798666669), np.float64(6.401279873333335), np.float64(15.216653600000011)]","[np.float64(3.511896825), np.float64(4.890413130909094), np.float64(5.224381463636363), np.float64(5.224381463636363)]","[np.float64(2.823529411764706), np.float64(3.4583333333333335), np.float64(3.9), np.float64(10.307692307692308)]"
4,"[np.float64(3.3442698), np.float64(3.7169778650000005), np.float64(3.7169778650000005), np.float64(4.04835465)]","[np.float64(2.897603236363637), np.float64(2.897603236363637), np.float64(4.780542416666667), np.float64(6.247004966666668)]","[np.float64(2.0), np.float64(2.25), np.float64(2.75), np.float64(5.95)]"
5,"[np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(3.7310821928571434), np.float64(6.111154077333346)]","[np.float64(3.647607233333333), np.float64(4.14909508), np.float64(4.998538716666666), np.float64(4.998538716666666)]","[np.float64(2.9444444444444446), np.float64(2.9444444444444446), np.float64(3.0833333333333335), np.float64(6.5)]"
6,"[np.float64(2.79415492), np.float64(2.993740283333333), np.float64(3.628857045), np.float64(3.628857045)]","[np.float64(2.7924297757777774), np.float64(3.2461440246666684), np.float64(3.727843876666667), np.float64(3.727843876666667)]","[np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.6964285714285716), np.float64(2.892857142857143)]"
7,"[np.float64(3.067869336363636), np.float64(3.599079555555556), np.float64(3.599079555555556), np.float64(5.944066139999999)]","[np.float64(2.613560221428571), np.float64(3.61779846), np.float64(3.8832635279999996), np.float64(4.9087463960000015)]","[np.float64(2.3), np.float64(3.1666666666666665), np.float64(3.625), np.float64(6.877777777777796)]"
