fold,E-CPV Uncertainty bounds,E-MHA Uncertainty bounds,S-MHA Uncertainty bounds
0,"[np.float64(8.596026145454546), np.float64(9.951451342105264), np.float64(9.951451342105264), np.float64(18.106367916666667)]","[np.float64(8.462176655999999), np.float64(8.462176655999999), np.float64(12.541906370525991), np.float64(24.973607852631577)]","[np.float64(5.684210526315789), np.float64(5.936842105263159), np.float64(10.636363636363637), np.float64(10.636363636363637)]"
1,"[np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044), np.float64(8.064671344186044)]","[np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(7.896611217142857), np.float64(9.292439300000002)]","[np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(4.905405405405405), np.float64(22.083333333333332)]"
2,"[np.float64(6.360151875), np.float64(8.29958438181818), np.float64(9.861154766666667), np.float64(52.42558675)]","[np.float64(7.26432672), np.float64(7.73196605), np.float64(33.325035373333336), np.float64(34.10357491933333)]","[np.float64(4.291666666666667), np.float64(18.822580645161292), np.float64(18.822580645161292), np.float64(18.822580645161292)]"
3,"[np.float64(7.239388759999999), np.float64(7.280320845333333), np.float64(7.290553866666666), np.float64(27.882313666666665)]","[np.float64(7.018772155555556), np.float64(7.018772155555556), np.float64(11.747710217647061), np.float64(11.747710217647061)]","[np.float64(4.0), np.float64(4.84375), np.float64(4.84375), np.float64(19.323529411764707)]"
4,"[np.float64(7.02374751), np.float64(8.3254787), np.float64(14.157274999999998), np.float64(29.03064205833333)]","[np.float64(6.623053109999999), np.float64(8.178081536363637), np.float64(29.366382663157896), np.float64(29.366382663157896)]","[np.float64(6.5), np.float64(6.5), np.float64(12.03125), np.float64(46.625)]"
5,"[np.float64(8.580537211538463), np.float64(8.580537211538463), np.float64(10.138637035714284), np.float64(13.719304400000006)]","[np.float64(8.67476715393939), np.float64(9.634287384848486), np.float64(9.634287384848486), np.float64(9.634287384848486)]","[np.float64(6.333333333333333), np.float64(6.8088235294117645), np.float64(6.8088235294117645), np.float64(6.8088235294117645)]"
6,"[np.float64(8.4084587375), np.float64(8.4084587375), np.float64(8.4084587375), np.float64(54.027104800000004)]","[np.float64(8.8052273), np.float64(8.921989142857141), np.float64(13.888070028571425), np.float64(44.09338400000001)]","[np.float64(10.153846153846153), np.float64(10.153846153846153), np.float64(11.1), np.float64(31.946590909090958)]"
7,"[np.float64(11.788993450000001), np.float64(11.788993450000001), np.float64(25.791802771428568), np.float64(32.27989157142857)]","[np.float64(9.672288063636364), np.float64(9.672288063636364), np.float64(11.382912), np.float64(26.023265944444447)]","[np.float64(3.3461538461538463), np.float64(8.75), np.float64(16.58823529411765), np.float64(16.58823529411765)]"
